fname time Tem kT_1 A1 A2 m1 m2 dev 
01RV 1rv.dat 294.2 39.41 1.001E-007 0.000E+000 3.348E+000 0.000E+000 9.326E-003 
03RV 3rv.dat 298.4 38.85 1.171E-007 0.000E+000 3.413E+000 0.000E+000 6.793E-003 
05RV 5rv.dat 301.7 38.43 1.321E-007 0.000E+000 3.409E+000 0.000E+000 2.541E-003 
07RV 7rv.dat 306.6 37.82 1.572E-007 0.000E+000 3.373E+000 0.000E+000 4.240E-003 
09RV 9rv.dat 310.9 37.29 1.823E-007 0.000E+000 3.367E+000 0.000E+000 3.665E-003 
11RV 11rv.dat 316.8 36.6 2.219E-007 0.000E+000 3.421E+000 0.000E+000 4.973E-003 
13RV 13rv.dat 322.4 35.96 2.657E-007 0.000E+000 3.347E+000 0.000E+000 1.526E-002 
15RV 15rv.dat 327.9 35.36 3.153E-007 0.000E+000 3.430E+000 0.000E+000 2.586E-003 
17RV 17rv.dat 333.4 34.78 3.719E-007 0.000E+000 3.469E+000 0.000E+000 2.073E-003 
19RV 19rv.dat 338.3 34.27 4.290E-007 0.000E+000 3.688E+000 0.000E+000 3.433E-003 
21RV 21rv.dat 345.7 33.54 5.281E-007 0.000E+000 3.610E+000 0.000E+000 3.398E-003 
