Name T I01 I01tr n1 n1tr Rsh1 Rsh1tr I02 I02tr n2 n2tr Rsh2 Rsh2tr Rs Rstr Iph Iphtr rmsre
DE 300 2.000543231E-10 1.600000000E-09 1.620606647E+00 1.920000000E+00 2.441013417E+02 1.900000000E+02 1.214763887E-06 1.600000000E-04 3.558748206E+01 1.920000000E+00 8.479762090E+01 1.900000000E+02 4.241187304E+00 4.500000000E+01 7.867187090E-03 8.000000000E-03 1.285773911E-01
DE 300 8.358688833E-09 1.600000000E-09 2.143209139E+00 1.920000000E+00 1.402667529E+02 1.900000000E+02 6.293252234E-04 1.600000000E-04 1.670114698E+01 1.920000000E+00 1.017648924E+02 1.900000000E+02 2.264004924E-01 4.500000000E+01 9.187984971E-03 8.000000000E-03 2.113968422E-01
DE 300 8.548741349E-09 1.600000000E-09 2.082480042E+00 1.920000000E+00 2.210369382E+02 1.900000000E+02 2.472821693E-06 1.600000000E-04 3.976001601E+01 1.920000000E+00 7.879591547E+01 1.900000000E+02 3.197882539E+00 4.500000000E+01 7.872873091E-03 8.000000000E-03 1.382529021E-01
DE 300 6.259531979E-13 1.600000000E-09 1.223243741E+00 1.920000000E+00 4.765938631E+02 1.900000000E+02 4.818125438E-05 1.600000000E-04 1.313256655E+01 1.920000000E+00 7.873227114E+01 1.900000000E+02 2.064384313E+01 4.500000000E+01 6.901558232E-03 8.000000000E-03 1.445521036E-01
DE 300 3.551736457E-09 1.600000000E-09 1.956971058E+00 1.920000000E+00 2.146615059E+02 1.900000000E+02 4.481730203E-04 1.600000000E-04 2.964177703E+01 1.920000000E+00 6.063482647E+01 1.900000000E+02 2.627141593E+01 4.500000000E+01 8.039576928E-03 8.000000000E-03 1.185162050E-01
DE 300 1.293463248E-05 1.600000000E-09 4.489116032E+00 1.920000000E+00 5.613661433E+03 1.900000000E+02 7.061095366E-03 1.600000000E-04 1.612905650E+01 1.920000000E+00 1.702902827E+02 1.900000000E+02 4.129032140E+01 4.500000000E+01 6.499049753E-03 8.000000000E-03 2.836397676E-01
DE 300 4.349810843E-15 1.600000000E-09 1.007574249E+00 1.920000000E+00 1.261508609E+02 1.900000000E+02 9.868352598E-04 1.600000000E-04 1.947163880E+00 1.920000000E+00 3.404503589E+01 1.900000000E+02 8.022057378E+01 4.500000000E+01 1.011735122E-02 8.000000000E-03 2.260233061E-01
DE 300 1.101129982E-04 1.600000000E-09 7.322573089E+00 1.920000000E+00 2.858672263E+02 1.900000000E+02 6.879757761E-04 1.600000000E-04 5.176836107E+00 1.920000000E+00 8.860993628E+01 1.900000000E+02 8.253485741E+00 4.500000000E+01 7.284725277E-03 8.000000000E-03 4.415490052E-01
DE 300 5.483480771E-04 1.600000000E-09 1.181835305E+01 1.920000000E+00 6.127838138E+02 1.900000000E+02 9.821144345E-04 1.600000000E-04 2.700430047E+00 1.920000000E+00 5.247275322E+03 1.900000000E+02 3.105523815E+00 4.500000000E+01 6.357740053E-03 8.000000000E-03 1.315858482E-01
DE 300 1.050242435E-10 1.600000000E-09 1.603040037E+00 1.920000000E+00 1.949449210E+02 1.900000000E+02 4.943329499E-05 1.600000000E-04 6.033874521E+00 1.920000000E+00 8.182743247E+01 1.900000000E+02 1.467240326E+01 4.500000000E+01 8.331442040E-03 8.000000000E-03 1.290367000E-01
DE 300 7.396940172E-16 1.600000000E-09 9.493359457E-01 1.920000000E+00 1.651243246E+02 1.900000000E+02 1.876474265E-04 1.600000000E-04 1.336263656E+01 1.920000000E+00 9.984702479E+01 1.900000000E+02 6.048127157E+00 4.500000000E+01 9.058978192E-03 8.000000000E-03 1.354858136E-01
DE 300 6.230160101E-11 1.600000000E-09 1.537404945E+00 1.920000000E+00 1.100606026E+02 1.900000000E+02 1.286429503E-09 1.600000000E-04 2.371968171E+01 1.920000000E+00 7.392148822E+01 1.900000000E+02 8.562589316E+00 4.500000000E+01 1.019862878E-02 8.000000000E-03 2.226992774E-01
DE 300 3.067792416E-05 1.600000000E-09 5.397787398E+00 1.920000000E+00 3.086123941E+02 1.900000000E+02 6.164281027E-03 1.600000000E-04 2.121879979E+01 1.920000000E+00 4.482855336E+02 1.900000000E+02 2.989761545E-01 4.500000000E+01 7.199106100E-03 8.000000000E-03 2.703023411E-01
DE 300 5.986353910E-10 1.600000000E-09 1.763326250E+00 1.920000000E+00 1.307275181E+02 1.900000000E+02 2.661772488E-04 1.600000000E-04 1.621662326E+01 1.920000000E+00 2.075893582E+01 1.900000000E+02 6.469846426E+01 4.500000000E+01 9.617718185E-03 8.000000000E-03 2.072074924E-01
DE 300 1.979670522E-05 1.600000000E-09 5.793154271E+00 1.920000000E+00 1.840888271E+02 1.900000000E+02 2.626757344E-05 1.600000000E-04 1.079465936E+00 1.920000000E+00 1.411308467E+02 1.900000000E+02 3.625633153E+00 4.500000000E+01 6.781442964E-03 8.000000000E-03 2.323360666E-01
DE 300 1.376145662E-16 1.600000000E-09 8.946491829E-01 1.920000000E+00 1.268180696E+02 1.900000000E+02 1.081418980E-03 1.600000000E-04 1.469003239E+01 1.920000000E+00 9.155238488E+01 1.900000000E+02 2.645754869E+01 4.500000000E+01 9.920025602E-03 8.000000000E-03 1.988675780E-01
