fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
L0820UW60S05 1393859446 0 555 8.893410189E+18 6.477788662E-07 4.900000000E-04 6.273815320E-01 2.787069304E+02 1.230565627E-03 
L0820UW60S10 1393859446 0 555 1.495596464E+19 8.259268064E-07 4.900000000E-04 6.278301257E-01 2.830031745E+02 1.227707948E-03 
L0820UW60S20 1393859446 0 555 2.404409083E+19 1.425220473E-06 4.900000000E-04 6.288450874E-01 2.929696190E+02 1.378264031E-03 
L0820UW60S25 1393859446 0 555 2.710651475E+19 1.782073964E-06 4.900000000E-04 6.295566456E-01 3.001653450E+02 1.785960527E-03 
L0820UW60S30 1393859446 0 555 2.819161525E+19 1.899911885E-06 4.900000000E-04 6.296184098E-01 3.007982183E+02 1.912311143E-03 
L0820UW60S35 1393859446 0 555 2.799944234E+19 1.886345813E-06 4.900000000E-04 6.294600778E-01 2.991785202E+02 1.813192661E-03 
L0820UW65S10 1393859703 0 555 2.598772138E+19 1.618715766E-06 4.900000000E-04 6.291011949E-01 2.955394503E+02 1.627959334E-03 
L0820UW70S01 1393859446 0 555 1.023428582E+19 6.749803501E-07 4.900000000E-04 6.253463735E-01 2.600205537E+02 1.205401783E-03 
L0820UW70S25 1393859446 0 555 3.586103239E+19 8.674588245E-06 4.900000000E-04 6.318136090E-01 3.241794669E+02 2.785622719E-03 
L0820UW70S30 1393859446 0 555 3.644437451E+19 1.540765398E-05 4.900000000E-04 6.323995990E-01 3.307225748E+02 3.005415981E-03 
