fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g Iph Voc Isc Pm FF Vm Im dev 
0T01 9:02:10 294.9 39.32 1.000E+000 7.825E-001 2.099E-006 1.377E+004 2.945E+000 2.880E-008 2.000E-007 1.762E-003 2.000E-007 8.823E-011 2.504E-001 9.000E-004 8.668E-008 1.319E-003 
0T02 9:04:08 295 39.3 1.000E+000 7.675E-001 2.185E-006 1.257E+004 2.897E+000 3.151E-008 4.433E-007 3.747E-003 4.433E-007 4.168E-010 2.509E-001 1.900E-003 2.075E-007 1.359E-003 
0T03 9:05:56 295 39.3 1.000E+000 7.745E-001 2.163E-006 1.397E+004 2.947E+000 2.883E-008 2.014E-007 1.787E-003 2.014E-007 9.012E-011 2.505E-001 9.000E-004 8.887E-008 1.393E-003 
0T11 9:12:06 294.6 39.36 1.000E+000 7.586E-001 2.123E-006 1.353E+004 2.940E+000 2.918E-008 1.961E-007 1.731E-003 1.961E-007 8.488E-011 2.501E-001 9.000E-004 8.297E-008 1.469E-003 
0T12 9:14:04 294.8 39.33 1.000E+000 7.576E-001 2.165E-006 1.314E+004 2.923E+000 3.027E-008 2.175E-007 1.891E-003 2.175E-007 1.028E-010 2.499E-001 9.000E-004 1.027E-007 1.388E-003 
0T13 9:16:26 295 39.3 1.000E+000 7.514E-001 2.201E-006 1.327E+004 2.919E+000 3.048E-008 2.186E-007 1.907E-003 2.186E-007 1.042E-010 2.499E-001 1.000E-003 9.273E-008 1.392E-003 
0T14 9:18:22 295.1 39.29 1.000E+000 7.580E-001 2.179E-006 1.357E+004 2.938E+000 2.969E-008 2.174E-007 1.906E-003 2.174E-007 1.035E-010 2.499E-001 1.000E-003 9.213E-008 1.439E-003 
0T15 9:20:46 294.9 39.32 1.000E+000 7.638E-001 2.138E-006 1.396E+004 2.946E+000 2.900E-008 1.740E-007 1.551E-003 1.739E-007 6.749E-011 2.502E-001 8.000E-004 7.314E-008 1.428E-003 
0T16 9:26:22 295.2 39.28 1.000E+000 7.561E-001 2.229E-006 1.430E+004 2.945E+000 2.942E-008 1.551E-007 1.399E-003 1.551E-007 5.434E-011 2.504E-001 7.000E-004 6.654E-008 1.378E-003 
0T17 9:31:32 294.9 39.32 1.000E+000 7.587E-001 2.178E-006 1.396E+004 2.941E+000 2.939E-008 1.756E-007 1.572E-003 1.756E-007 6.914E-011 2.504E-001 8.000E-004 7.526E-008 1.450E-003 
0T18 9:37:56 295.1 39.29 1.000E+000 7.523E-001 2.271E-006 1.405E+004 2.939E+000 2.985E-008 1.762E-007 1.583E-003 1.762E-007 6.987E-011 2.504E-001 8.000E-004 7.621E-008 1.399E-003 
0T19 9:42:12 295.1 39.29 1.000E+000 7.520E-001 2.251E-006 1.409E+004 2.938E+000 2.973E-008 1.809E-007 1.626E-003 1.808E-007 7.359E-011 2.504E-001 8.000E-004 8.087E-008 1.404E-003 
0T20 9:47:26 294.9 39.32 1.000E+000 7.611E-001 2.241E-006 1.416E+004 2.952E+000 2.918E-008 1.715E-007 1.547E-003 1.715E-007 6.637E-011 2.502E-001 8.000E-004 7.188E-008 1.471E-003 
0T21 9:52:20 295 39.3 1.000E+000 7.578E-001 2.286E-006 1.412E+004 2.942E+000 2.974E-008 1.707E-007 1.542E-003 1.707E-007 6.584E-011 2.501E-001 8.000E-004 7.123E-008 1.426E-003 
0T22 9:57:32 295 39.3 1.000E+000 7.552E-001 2.268E-006 1.386E+004 2.930E+000 3.028E-008 1.804E-007 1.618E-003 1.804E-007 7.306E-011 2.504E-001 8.000E-004 8.017E-008 1.413E-003 
0T23 10:02:22 295.1 39.29 1.000E+000 7.554E-001 2.311E-006 1.394E+004 2.935E+000 3.024E-008 1.790E-007 1.607E-003 1.790E-007 7.202E-011 2.504E-001 8.000E-004 7.888E-008 1.369E-003 
