fname time Tem kT_1 n0 Eefo E_B E_T Nb dev 
B175FE100_T 1317817142 0 555 5.107081347E-04 1.616681695E+00 7.646945143E-01 4.591140609E-02 1.778000000E+15 2.316166987E-03 
B175FE101_T 1317817142 0 555 5.119752305E-04 1.565656577E+00 2.874158781E-01 1.478393917E-02 1.778000000E+15 2.071382441E-03 
B175FE102_T 1317817142 0 555 5.214126952E-04 1.652054269E+00 8.855186335E-01 5.379763241E-02 1.778000000E+15 2.545853974E-03 
B175FE103_T 1317817142 0 555 5.574502912E-04 1.726883150E+00 8.260814067E-01 4.975683739E-02 1.778000000E+15 3.107465975E-03 
B175FE140_T 1317817142 0 555 5.107892579E-04 1.612995664E+00 1.864279230E-01 8.004281102E-03 1.778000000E+15 2.303809413E-03 
B175FE141_T 1317817142 0 555 5.127128846E-04 1.558373010E+00 4.979315111E-01 2.861496885E-02 1.778000000E+15 1.902976704E-03 
B175FE142_T 1317817142 0 555 5.278715730E-04 1.598508418E+00 8.082921083E-01 4.891926548E-02 1.778000000E+15 2.243819059E-03 
B175FE210_T 1317817142 0 555 5.110877364E-04 1.603874928E+00 1.454593572E-01 5.347176189E-03 1.778000000E+15 2.272123811E-03 
B175FE211_T 1317817142 0 555 5.134911521E-04 1.568756011E+00 9.262886929E-01 5.667682446E-02 1.778000000E+15 1.735945931E-03 
B175FE212_T 1317817142 0 555 5.335953743E-04 1.578901919E+00 3.990866533E-01 2.215979223E-02 1.778000000E+15 2.083451055E-03 
B175FE310_T 1317817142 0 555 5.111527109E-04 1.600483975E+00 4.656152466E-01 2.635281453E-02 1.778000000E+15 2.246457621E-03 
B175FE311_T 1317817142 0 555 5.148912880E-04 1.537220991E+00 6.374251115E-01 3.783986014E-02 1.778000000E+15 1.684525686E-03 
B175FE312_T 1317817142 0 555 5.412340948E-04 1.582279327E+00 4.127866989E-01 2.306023759E-02 1.778000000E+15 2.306557132E-03 
B175FE460_T 1317817142 0 555 5.112879505E-04 1.595062649E+00 2.488621950E-01 1.215792963E-02 1.778000000E+15 2.207372994E-03 
B175FE461_T 1317817142 0 555 5.171653377E-04 1.529977109E+00 5.625512801E-01 3.296347714E-02 1.778000000E+15 1.818007636E-03 
B175FE462_T 1317817142 0 555 5.428050845E-04 1.690912589E+00 3.298643294E-01 1.730962324E-02 1.778000000E+15 2.659957076E-03 
B175FE680_T 1317817142 0 555 5.116453164E-04 1.584437207E+00 2.141816033E-01 9.919068763E-03 1.778000000E+15 2.140787246E-03 
B175FE681_T 1317817142 0 555 5.193856134E-04 1.575490157E+00 3.946681760E-01 2.182939840E-02 1.778000000E+15 2.304570548E-03 
B175FE682_T 1317817142 0 555 5.472131226E-04 1.703044999E+00 3.526837994E-01 1.877854169E-02 1.778000000E+15 2.949129221E-03 
