fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_340 001_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.360840558E-13 1.000000000E+20 1.227307427E+00 1.652778980E-14 3.397916482E-05 
001_340_SRH 001_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.178786945E-14 1.000000000E+20 1.282160428E+00 1.430943630E-14 1.487110829E-04 
002_340 002_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.688169352E-13 1.000000000E+20 1.241816146E+00 2.315891247E-14 4.728307387E-05 
002_340_SRH 002_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.049381365E-13 1.000000000E+20 1.282542741E+00 2.099579497E-14 1.497113450E-04 
003_340 003_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.164267849E-13 1.000000000E+20 1.254709623E+00 3.289010896E-14 6.370080136E-05 
003_340_SRH 003_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.531084814E-13 1.000000000E+20 1.283094493E+00 3.080156618E-14 1.512112588E-04 
004_340 004_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.851783218E-13 1.000000000E+20 1.263106933E+00 4.723947338E-14 8.043947043E-05 
004_340_SRH 004_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.227857720E-13 1.000000000E+20 1.283884919E+00 4.517685559E-14 1.534750299E-04 
005_340 005_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.839443981E-13 1.000000000E+20 1.269360023E+00 6.829733879E-14 9.757568005E-05 
005_340_SRH 005_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.229163971E-13 1.000000000E+20 1.285004912E+00 6.624075064E-14 1.569143353E-04 
006_340 006_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.247090347E-13 1.000000000E+20 1.275674078E+00 9.909191105E-14 1.149463972E-04 
006_340_SRH 006_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.655175345E-13 1.000000000E+20 1.287408524E+00 9.715061077E-14 1.617984042E-04 
007_340 007_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.226969044E-13 1.000000000E+20 1.282755158E+00 1.443332690E-13 1.326769731E-04 
007_340_SRH 007_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.803481577E-13 1.000000000E+20 1.840693739E+00 2.260236541E-13 1.709422978E-03 
008_340 008_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.096440779E-12 1.000000000E+20 1.291788837E+00 2.109722544E-13 1.537697256E-04 
008_340_SRH 008_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.431275623E-13 1.000000000E+20 1.297145119E+00 2.091589474E-13 1.823774987E-04 
009_340 009_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.465745507E-12 1.000000000E+20 1.296945274E+00 3.078158111E-13 1.753941274E-04 
009_340_SRH 009_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.316815082E-12 1.000000000E+20 1.300169951E+00 3.061127600E-13 1.968113961E-04 
010_340 010_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.949576334E-12 1.000000000E+20 1.300283231E+00 4.494400022E-13 1.971835271E-04 
010_340_SRH 010_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.806357491E-12 1.000000000E+20 1.302433008E+00 4.478208914E-13 2.138384842E-04 
011_340 011_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.563429166E-12 1.000000000E+20 1.303746526E+00 6.562079233E-13 2.247033824E-04 
011_340_SRH 011_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.427079985E-12 1.000000000E+20 1.305167619E+00 6.546867267E-13 2.379398366E-04 
012_340 012_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.315794090E-12 1.000000000E+20 1.307362477E+00 9.580074107E-13 2.602636460E-04 
012_340_SRH 012_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.187218753E-12 1.000000000E+20 1.308294260E+00 9.565944870E-13 2.710717866E-04 
013_340 013_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.210032969E-12 1.000000000E+20 1.311053126E+00 1.398619765E-12 3.061802451E-04 
013_340_SRH 013_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.089671162E-12 1.000000000E+20 1.311659952E+00 1.397319326E-12 3.152650412E-04 
014_340 014_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.249937193E-12 1.000000000E+20 1.314235122E+00 2.043005492E-12 3.662305495E-04 
014_340_SRH 014_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.137655757E-12 1.000000000E+20 1.314629356E+00 2.041807756E-12 3.741052550E-04 
015_340 015_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.451985824E-12 1.000000000E+20 1.318345060E+00 2.986910207E-12 4.377182554E-04 
015_340_SRH 015_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.347100383E-12 1.000000000E+20 1.318600388E+00 2.985820152E-12 4.446738389E-04 
016_340 016_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.848784583E-12 1.000000000E+20 1.321345234E+00 4.366193913E-12 5.262753147E-04 
