N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.194476214E+00 1.193334021E+00 1.191948078E+00 1.190183431E+00
1.600000000E+01 1.249008882E+00 1.248807946E+00 1.249007318E+00 1.248939425E+00
1.700000000E+01 1.294454091E+00 1.294549902E+00 1.294389836E+00 1.294375216E+00
1.549996187E+01 1.226237378E+00 1.225843660E+00 1.225732103E+00 1.225401480E+00
1.649996187E+01 1.264007958E+00 1.263573896E+00 1.263682962E+00 1.263791658E+00
1.674996808E+01 1.275712844E+00 1.275618006E+00 1.275354306E+00 1.275617386E+00
1.624993176E+01 1.257096005E+00 1.256784561E+00 1.256881381E+00 1.257027325E+00
1.574996808E+01 1.237612284E+00 1.237395100E+00 1.237425325E+00 1.237419024E+00
1.524993176E+01 1.215318666E+00 1.214826690E+00 1.214124884E+00 1.213493168E+00
