T nFsrh nFBsrh dnsrh nF nFB dn
290 1.181103904E+00 1.147361456E+00 3.374244800E-02 1.181092835E+00 1.147352356E+00 3.374047900E-02
295 1.178762061E+00 1.154279761E+00 2.448230000E-02 1.178747979E+00 1.154266937E+00 2.448104200E-02
300 1.186368488E+00 1.161077966E+00 2.529052200E-02 1.186350226E+00 1.161059910E+00 2.529031600E-02
305 1.193750047E+00 1.167504862E+00 2.624518500E-02 1.193726638E+00 1.167481962E+00 2.624467600E-02
310 1.191423470E+00 1.164436347E+00 2.698712300E-02 1.191394613E+00 1.164274658E+00 2.711995500E-02
315 1.198143438E+00 1.169876265E+00 2.826717300E-02 1.198107128E+00 1.169842253E+00 2.826487500E-02
320 1.199134650E+00 1.175720208E+00 2.341444200E-02 1.199091999E+00 1.175677588E+00 2.341441100E-02
325 1.202898694E+00 1.180983473E+00 2.191522100E-02 1.202696302E+00 1.180930023E+00 2.176627900E-02
330 1.205145638E+00 1.185789127E+00 1.935651100E-02 1.205083664E+00 1.185722872E+00 1.936079200E-02
335 1.207872394E+00 1.188615362E+00 1.925703200E-02 1.207797344E+00 1.188513069E+00 1.928427500E-02
340 1.193477472E+00 1.189732769E+00 3.744703000E-03 1.193369782E+00 1.189646654E+00 3.723128000E-03
