X GE200 GE300 Orion400 Orion600 Orion700 Osram200 Osram400 Osram600 Osram700
4.64000E+2 5.11300E-6 1.00832E-4 5.06907E-5 2.65171E-4 3.72780E-4 9.04436E-6 5.89398E-5 2.32973E-4 3.18193E-4
4.65000E+2 1.16597E-5 1.01927E-4 5.92861E-5 2.69572E-4 3.82144E-4 1.10083E-5 6.84113E-5 2.33663E-4 3.19772E-4
4.66000E+2 1.63530E-5 1.06281E-4 6.44001E-5 2.72464E-4 3.86063E-4 7.47865E-6 6.24653E-5 2.37289E-4 3.35429E-4
4.67000E+2 2.70887E-5 1.13186E-4 6.81062E-5 2.78757E-4 3.89589E-4 1.10983E-5 6.95505E-5 2.41907E-4 3.33973E-4
4.68000E+2 2.62779E-5 1.19981E-4 7.26624E-5 2.84034E-4 3.92176E-4 1.37688E-5 7.66743E-5 2.47669E-4 3.40597E-4
4.69000E+2 3.14864E-5 1.26711E-4 7.84551E-5 2.87815E-4 3.99156E-4 1.69559E-5 8.26264E-5 2.55710E-4 3.47202E-4
4.70000E+2 3.56502E-5 1.35074E-4 8.33413E-5 2.93752E-4 4.07382E-4 1.89556E-5 9.07153E-5 2.60689E-4 3.54078E-4
4.71000E+2 4.01844E-5 1.40692E-4 8.87098E-5 3.02563E-4 4.14246E-4 2.25059E-5 9.71649E-5 2.67937E-4 3.60373E-4
4.72000E+2 4.56056E-5 1.45912E-4 9.42472E-5 3.06677E-4 4.16529E-4 2.50242E-5 1.03246E-4 2.74839E-4 3.67720E-4
4.73000E+2 4.94857E-5 1.51613E-4 9.81384E-5 3.09819E-4 4.20606E-4 2.84679E-5 1.09860E-4 2.80833E-4 3.74584E-4
4.74000E+2 5.52099E-5 1.55928E-4 1.01967E-4 3.15933E-4 4.26729E-4 2.96591E-5 1.14409E-4 2.86403E-4 3.82359E-4
4.75000E+2 6.26984E-5 1.61057E-4 1.05613E-4 3.19365E-4 4.30403E-4 3.24451E-5 1.20089E-4 2.93613E-4 3.89282E-4
