T nFsrh nFBsrh dnsrh nF nFB dn
290 1.173976103E+00 1.007370773E+0 1.666053300E-01 1.173976103E+00 1.007370773E+0 1.666053300E-01
295 1.181689424E+00 1.007182709E+0 1.745067150E-01 1.181689424E+00 1.007182709E+0 1.745067150E-01
300 1.188716982E+00 1.007007452E+0 1.817095300E-01 1.188716982E+00 1.007007452E+0 1.817095300E-01
305 1.186779445E+00 1.006843877E+0 1.799355680E-01 1.186779445E+00 1.006843877E+0 1.799355680E-01
310 1.190251798E+00 1.006690982E+0 1.835608160E-01 1.190251798E+00 1.006690982E+0 1.835608160E-01
315 1.193777797E+00 1.006547870E+0 1.872299270E-01 1.193777797E+00 1.006547870E+0 1.872299270E-01
320 1.196320628E+00 1.006413739E+0 1.899068890E-01 1.196320628E+00 1.006413739E+0 1.899068890E-01
325 1.200981679E+00 1.006287866E+0 1.946938130E-01 1.200981679E+00 1.006287866E+0 1.946938130E-01
330 1.204362654E+00 1.006169605E+0 1.981930490E-01 1.204362654E+00 1.006169605E+0 1.981930490E-01
335 1.206058648E+00 1.006058368E+0 2.000002800E-01 1.206058648E+00 1.006058368E+0 2.000002800E-01
340 1.195691079E+00 1.005953626E+0 1.897374530E-01 1.195691079E+00 1.005953626E+0 1.897374530E-01
