N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.241020620E+00 1.237366067E+00 1.234164817E+00 1.231888680E+00
1.016672606E+01 1.241596513E+00 1.238168615E+00 1.235234291E+00 1.233238116E+00
1.033324570E+01 1.242378415E+00 1.239264502E+00 1.236665190E+00 1.235007368E+00
1.049996187E+01 1.243459469E+00 1.240720499E+00 1.238517087E+00 1.237270567E+00
1.066670514E+01 1.244875857E+00 1.242589473E+00 1.240818866E+00 1.239983497E+00
1.083333839E+01 1.246687922E+00 1.244892239E+00 1.243551456E+00 1.243072515E+00
1.100000000E+01 1.248925764E+00 1.247604461E+00 1.246644666E+00 1.246462341E+00
1.116672606E+01 1.251553426E+00 1.250658592E+00 1.249995703E+00 1.250015204E+00
1.133324570E+01 1.254522198E+00 1.253964918E+00 1.253502873E+00 1.253644848E+00
1.149996187E+01 1.257759712E+00 1.257442028E+00 1.257096306E+00 1.257287349E+00
1.166670514E+01 1.261196538E+00 1.261040467E+00 1.260750881E+00 1.260963262E+00
1.183333839E+01 1.264828379E+00 1.264750000E+00 1.264475124E+00 1.264695724E+00
1.200000000E+01 1.268614949E+00 1.268591944E+00 1.268308259E+00 1.268546641E+00
1.216672606E+01 1.272609411E+00 1.272604901E+00 1.272316554E+00 1.272564630E+00
1.233324570E+01 1.276832428E+00 1.276831406E+00 1.276529020E+00 1.276784391E+00
1.249996187E+01 1.281278791E+00 1.281305708E+00 1.281005623E+00 1.281310947E+00
1.266670514E+01 1.286034504E+00 1.286084738E+00 1.285789454E+00 1.286088620E+00
1.283333839E+01 1.291107234E+00 1.291148693E+00 1.290912118E+00 1.291159874E+00
1.300000000E+01 1.296467931E+00 1.296555715E+00 1.296281092E+00 1.296529467E+00
