T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 1.199140433E+00 1.205059132E+00 1.211441743E+00 1.221970200E+00 1.231346297E+00 1.237267497E+00 1.243469799E+00 1.255682595E+00 1.274945380E+00
295 1.198349429E+00 1.205099068E+00 1.211897739E+00 1.221819895E+00 1.231739839E+00 1.238009097E+00 1.243987530E+00 1.255771332E+00 1.275255446E+00
300 1.197814826E+00 1.205706746E+00 1.212457711E+00 1.222711221E+00 1.232853361E+00 1.239389646E+00 1.245000540E+00 1.256548506E+00 1.275488288E+00
305 1.196087378E+00 1.206465389E+00 1.214260067E+00 1.224214045E+00 1.234354004E+00 1.241136608E+00 1.247169218E+00 1.258548462E+00 1.276784391E+00
310 1.191116482E+00 1.206708441E+00 1.215530303E+00 1.226153560E+00 1.236444416E+00 1.243602596E+00 1.249892231E+00 1.261168484E+00 1.279029139E+00
315 1.177891232E+00 1.205184058E+00 1.216639595E+00 1.227819191E+00 1.238715548E+00 1.246363825E+00 1.252703804E+00 1.263934338E+00 1.281997982E+00
320 1.146829609E+00 1.199702479E+00 1.217058840E+00 1.229590739E+00 1.240803732E+00 1.248964544E+00 1.256079015E+00 1.267334797E+00 1.285005211E+00
325 1.083030663E+00 1.185273557E+00 1.215393807E+00 1.230704813E+00 1.242781298E+00 1.251709666E+00 1.259286480E+00 1.270698066E+00 1.288406356E+00
330 1.014531544E+00 1.152991806E+00 1.209252798E+00 1.230407076E+00 1.244290861E+00 1.254031719E+00 1.262033543E+00 1.273691693E+00 1.292055658E+00
335 1.015498424E+00 1.089377139E+00 1.194440785E+00 1.227989902E+00 1.244567703E+00 1.255600114E+00 1.264738420E+00 1.276911353E+00 1.294755063E+00
340 1.018446251E+00 1.011489939E+00 1.162812683E+00 1.220746959E+00 1.243549896E+00 1.256360869E+00 1.266879926E+00 1.279548312E+00 1.297362505E+00
