N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.196695512E+00 1.196160792E+00 1.195742329E+00 1.193853794E+00 1.188067614E+00 1.172477567E+00 1.135887284E+00 1.061882101E+00 1.013666215E+00 1.015070811E+00 1.018565086E+00
1.600000000E+01 1.226967491E+00 1.227799786E+00 1.229258447E+00 1.231016566E+00 1.233252531E+00 1.235561074E+00 1.237553026E+00 1.239338407E+00 1.240553330E+00 1.240406578E+00 1.238922838E+00
1.700000000E+01 1.269410062E+00 1.270197189E+00 1.270877502E+00 1.272564630E+00 1.275052866E+00 1.278146321E+00 1.281123187E+00 1.284375428E+00 1.287659123E+00 1.289817195E+00 1.291745325E+00
1.549996187E+01 1.207954507E+00 1.208794435E+00 1.209655715E+00 1.211653958E+00 1.213054741E+00 1.214153100E+00 1.214421265E+00 1.212347412E+00 1.205260575E+00 1.188372665E+00 1.152485214E+00
1.649996187E+01 1.238499531E+00 1.239476587E+00 1.240905469E+00 1.243375063E+00 1.246285616E+00 1.249163115E+00 1.252461589E+00 1.255456051E+00 1.257823416E+00 1.260030119E+00 1.261545661E+00
1.674996808E+01 1.250420818E+00 1.250996052E+00 1.252193705E+00 1.254528825E+00 1.257373626E+00 1.260242333E+00 1.263595381E+00 1.266767452E+00 1.269393316E+00 1.272104716E+00 1.274086112E+00
1.624993176E+01 1.232603940E+00 1.233785278E+00 1.235528439E+00 1.237552610E+00 1.240177566E+00 1.242979064E+00 1.245479186E+00 1.248004693E+00 1.249986069E+00 1.251059943E+00 1.251263702E+00
1.574996808E+01 1.217972057E+00 1.218236846E+00 1.219466341E+00 1.221231728E+00 1.223297135E+00 1.224989313E+00 1.226692512E+00 1.227632916E+00 1.227012027E+00 1.224114793E+00 1.216043316E+00
1.524993176E+01 1.202127676E+00 1.202489971E+00 1.203353921E+00 1.204250710E+00 1.204477155E+00 1.202643582E+00 1.196210942E+00 1.179413449E+00 1.141930377E+00 1.069094344E+00 1.010663883E+00
