0.DAT T=288.2 Voc=0.009081 Isc=1.382E-005
1.DAT T=288.4 Voc=0.01045 Isc=1.662E-005
2.DAT T=288.5 Voc=0.01075 Isc=1.682E-005
3.DAT T=288.6 Voc=0.009679 Isc=1.535E-005
40.DAT T=291.6 Voc=0.009322 Isc=1.445E-005
4.DAT T=288.7 Voc=0.009548 Isc=1.501E-005
5.DAT T=288.8 Voc=0.01121 Isc=1.808E-005
5.DAT T=288.8 Voc=0.01121 Isc=1.808E-005
6.DAT T=289 Voc=0.01263 Isc=1.654E-005
7.DAT T=289 Voc=0.01078 Isc=1.7E-005
8.DAT T=289 Voc=0.01069 Isc=1.687E-005
9.DAT T=289.1 Voc=0.01131 Isc=1.822E-005
41.DAT T=291.7 Voc=0.009463 Isc=1.466E-005
42.DAT T=291.7 Voc=0.009534 Isc=1.463E-005
43.DAT T=291.7 Voc=0.009684 Isc=1.495E-005
44.DAT T=291.8 Voc=0.00973 Isc=1.509E-005
45.DAT T=291.8 Voc=0.009638 Isc=1.496E-005
46.DAT T=291.8 Voc=0.009631 Isc=1.492E-005
47.DAT T=291.8 Voc=0.01124 Isc=1.753E-005
48.DAT T=291.8 Voc=0.01048 Isc=1.616E-005
48.DAT T=291.8 Voc=0.01048 Isc=1.616E-005
49.DAT T=291.9 Voc=0.01083 Isc=1.668E-005
20.DAT T=290.6 Voc=0.1144 Isc=0.0001885
20.DAT T=290.6 Voc=0.1143 Isc=0.0001885
20.DAT T=290.6 Voc=0.1144 Isc=0.0001885
20.DAT T=290.6 Voc=0.1143 Isc=0.0001885
20.DAT T=290.6 Voc=0.115 Isc=0.0001876
21.DAT T=290.6 Voc=0.1151 Isc=0.000188
22.DAT T=290.6 Voc=0.1143 Isc=0.0001882
22.DAT T=290.6 Voc=0.1151 Isc=0.0001871
23.DAT T=290.7 Voc=0.1146 Isc=0.0001879
23.DAT T=290.7 Voc=0.1149 Isc=0.0001874
24.DAT T=290.7 Voc=0.1151 Isc=0.000187
25.DAT T=290.7 Voc=0.1154 Isc=0.0001881
26.DAT T=290.7 Voc=0.1149 Isc=0.0001873
27.DAT T=290.8 Voc=0.1139 Isc=0.0001857
28.DAT T=290.8 Voc=0.117 Isc=0.0001903
29.DAT T=290.8 Voc=0.1172 Isc=0.0001907
50.DAT T=291.9 Voc=0.1175 Isc=0.0001891
51.DAT T=291.9 Voc=0.1173 Isc=0.0001891
52.DAT T=292 Voc=0.116 Isc=0.000188
53.DAT T=292 Voc=0.117 Isc=0.000189
54.DAT T=292 Voc=0.1167 Isc=0.000189
55.DAT T=292 Voc=0.1154 Isc=0.000187
55.DAT T=292 Voc=0.1155 Isc=0.0001869
56.DAT T=292.1 Voc=0.1161 Isc=0.0001878
57.DAT T=292.1 Voc=0.1185 Isc=0.0001918
58.DAT T=292.1 Voc=0.1192 Isc=0.000193
59.DAT T=292.2 Voc=0.1175 Isc=0.0001876
