N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.192528490E+00 1.193523019E+00 1.193332985E+00 1.191509678E+00
1.600000000E+01 1.272439353E+00 1.272363612E+00 1.272125199E+00 1.271751042E+00
1.700000000E+01 1.350700265E+00 1.350570492E+00 1.349232287E+00 1.350021953E+00
1.549996187E+01 1.243202729E+00 1.242093653E+00 1.242836419E+00 1.242695204E+00
1.649996187E+01 1.306659626E+00 1.306139556E+00 1.306474736E+00 1.306669727E+00
1.674996808E+01 1.327597358E+00 1.326052059E+00 1.326803326E+00 1.327192394E+00
1.624993176E+01 1.288174585E+00 1.288291244E+00 1.288499218E+00 1.288700313E+00
1.574996808E+01 1.257854108E+00 1.257852394E+00 1.257059976E+00 1.257384294E+00
1.524993176E+01 1.224947137E+00 1.224787817E+00 1.224884908E+00 1.224660729E+00
