T d154 d184 d214 d244
d 150 180 210 240
290 8.592000000E-03 1.015308600E-02 1.077743500E-02 1.086338700E-02
295 6.399454000E-03 7.957369000E-03 8.595420000E-03 7.703900000E-03
300 7.199010000E-04 2.421257000E-03 3.053482000E-03 2.088211000E-03
305 -1.135257700E-02 -9.438077000E-03 -8.764720000E-03 -9.795926000E-03
310 -3.487769700E-02 -3.243989000E-02 -3.173591900E-02 -3.287076200E-02
315 -7.564050000E-02 -7.216442500E-02 -7.128641600E-02 -7.261848500E-02
320 -1.355071200E-01 -1.303193190E-01 -1.294500130E-01 -1.302542800E-01
325 -9.758792000E-02 -9.751191700E-02 -9.550939000E-02 -9.201392900E-02
330 -8.329187000E-03 -9.802429000E-03 -7.925353000E-03 -3.133569000E-03
335 8.120611000E-03 7.697473000E-03 7.722644000E-03 7.893977000E-03
340 1.313268000E-02 1.182119000E-02 1.146839100E-02 1.151299100E-02
