fname time Tem kT_1 Io Et Ud Iph dev 
01RV 1rv.dat 291.3 39.8 3.957E-024 4.069E-002 4.595E-001 2.169E-009 1.560E-002 
03RV 3rv.dat 295.5 39.24 3.777E-023 4.670E-002 5.690E-001 4.490E-009 8.115E-003 
05RV 5rv.dat 300.1 38.63 1.594E-023 4.287E-002 4.983E-001 4.804E-009 6.044E-003 
07RV 7rv.dat 304 38.14 1.212E-022 5.064E-002 7.125E-001 3.275E-009 8.325E-003 
09RV 9rv.dat 309.2 37.5 8.393E-024 3.893E-002 4.651E-001 5.361E-009 6.284E-003 
11RV 11rv.dat 316.4 36.64 7.891E-024 3.897E-002 4.987E-001 2.797E-009 6.690E-003 
13RV 13rv.dat 320.5 36.18 4.292E-024 3.616E-002 4.516E-001 2.700E-009 5.711E-003 
15RV 15rv.dat 327.8 35.37 2.240E-023 4.182E-002 6.044E-001 3.788E-010 4.208E-003 
17RV 17rv.dat 332.7 34.85 5.569E-024 3.537E-002 4.732E-001 2.039E-009 5.322E-003 
19RV 19rv.dat 337.9 34.31 5.890E-024 3.435E-002 4.494E-001 2.225E-030 1.427E-002 
21RV 21rv.dat 342.9 33.81 6.851E-024 3.458E-002 4.657E-001 4.820E-009 5.384E-003 
