T d154 d184 d214 d244
d 150 180 210 240
290 1.381988700E-02 1.332326300E-02 1.342426200E-02 1.318780900E-02
295 1.012405300E-02 9.194744000E-03 8.639944000E-03 7.768315000E-03
300 1.938759000E-03 -4.224060000E-04 -2.292655000E-03 -4.327245000E-03
305 -1.526195600E-02 -2.033132700E-02 -2.470370400E-02 -2.895893900E-02
310 -4.907482800E-02 -5.891207200E-02 -6.752403700E-02 -7.548116300E-02
315 -1.106482370E-01 -1.264455130E-01 -1.410399010E-01 -1.538284280E-01
320 -1.777795460E-01 -1.734642510E-01 -1.688335420E-01 -1.641848810E-01
325 -1.520807370E-01 -1.433412370E-01 -1.346025760E-01 -1.261967940E-01
330 -9.441885500E-02 -7.781216100E-02 -6.212289800E-02 -4.760147400E-02
335 8.817065000E-03 9.182485000E-03 9.408170000E-03 9.537719000E-03
340 1.474868700E-02 1.504925800E-02 1.520138400E-02 1.525818000E-02
