N_A T tau
20 280 5.42966944725887
20 285 5.38494987868138
20 290 5.37554348778339
20 295 5.4056992894456
20 300 5.47835958946373
20 305 5.59490593087796
20 310 5.75463049178095
20 315 5.95385413089221
20 320 6.18464153331206
20 325 6.43313943543552
20 330 6.67771826255826
20 335 6.88736167760495
20 340 7.02112541101712
20 345 7.02990123281974
20 350 6.86195300852164
20.2 280 3.37440302420352
20.2 285 3.34805651427551
20.2 290 3.34327073855233
20.2 295 3.36269672820468
20.2 300 3.40817006706773
20.2 305 3.48055108070621
20.2 310 3.57939975413608
20.2 315 3.70243817893247
20.2 320 3.84477181437175
20.2 325 3.9978867758288
20.2 330 4.14853225266595
20.2 335 4.27775227403892
20.2 340 4.36055083273375
20.2 345 4.36691774987343
20.2 350 4.26508910691522
20.4 280 2.07957121817273
20.4 285 2.0646942893197
20.4 290 2.06274400938182
20.4 295 2.07536215502822
20.4 300 2.103685441987
20.4 305 2.14824523909862
20.4 310 2.20877044041638
20.4 315 2.28386605120394
20.4 320 2.37055165553176
20.4 325 2.46367124758291
20.4 330 2.5552388043364
20.4 335 2.63387136294073
20.4 340 2.68458387424485
20.4 345 2.6893572928751
20.4 350 2.62898360717793
20.6 280 1.26546049542461
20.6 285 1.25764504747875
20.6 290 1.25737003268155
20.6 295 1.26563938150923
20.6 300 1.28314826628183
20.6 305 1.31022046918321
20.6 310 1.34669134004557
20.6 315 1.39172110541315
20.6 320 1.44353047423155
20.6 325 1.49906615647173
20.6 330 1.5536327984719
20.6 335 1.60057396558725
20.6 340 1.63114839704629
20.6 345 1.63482034405993
20.6 350 1.60023982827808
20.8 280 0.755851741157643
20.8 285 0.752255700989454
20.8 290 0.752884670367597
20.8 295 0.758339456919856
20.8 300 0.769036312105685
20.8 305 0.785168193798269
20.8 310 0.806637380371552
20.8 315 0.832951557751789
20.8 320 0.863079793398725
20.8 325 0.89527329426738
20.8 330 0.92687037237445
20.8 335 0.95412701130257
20.8 340 0.972143921623999
20.8 345 0.974995787807543
20.8 350 0.956202181481514
21 280 0.439727664455885
21 285 0.438501343904959
21 290 0.439511610349941
21 295 0.443105447364021
21 300 0.44952357471973
21 305 0.458876953800416
21 310 0.471109636601587
21 315 0.485944312278874
21 320 0.502809298027979
21 325 0.520749900698886
21 330 0.538333485680778
21 335 0.553566444568298
21 340 0.563852620736731
21 345 0.566037060386498
21 350 0.556597342080893
21.2 280 0.246936892779429
21.2 285 0.246883409966825
21.2 290 0.247927256008898
21.2 295 0.250257995517416
21.2 300 0.254007480899092
21.2 305 0.25923612252996
21.2 310 0.265913568701894
21.2 315 0.273892383070218
21.2 320 0.282874484187095
21.2 325 0.292371877443897
21.2 330 0.301665484801232
21.2 335 0.309768513366715
21.2 340 0.31540388431349
21.2 345 0.317009760768558
21.2 350 0.312795842306624
21.4 280 0.132681796857684
21.4 285 0.133065328886584
21.4 290 0.133938547141232
21.4 295 0.135397101388285
21.4 300 0.137507794776592
21.4 305 0.140301053017837
21.4 310 0.143761600177021
21.4 315 0.147816947102233
21.4 320 0.152323766192249
21.4 325 0.157052796867207
21.4 330 0.161673440704962
21.4 335 0.165739513559429
21.4 340 0.168677799391542
21.4 345 0.169781794435358
21.4 350 0.168216180628079
21.6 280 0.0677760357766323
21.6 285 0.0682035127500816
21.6 290 0.0688269946484172
21.6 295 0.0696900727587558
21.6 300 0.0708233556856826
21.6 305 0.0722407071023564
21.6 310 0.073935132093801
21.6 315 0.0758742798060604
21.6 320 0.0779956557527382
21.6 325 0.0802017330685893
21.6 330 0.0823551220349911
21.6 335 0.0842737286002489
21.6 340 0.0857254489535981
21.6 345 0.0864217128120283
21.6 350 0.0860098854056723
21.8 280 0.0328531666494703
21.8 285 0.0331717117371258
21.8 290 0.0335602402874791
21.8 295 0.034036457938405
21.8 300 0.0346128696838544
21.8 305 0.0352951079693388
21.8 310 0.0360802904788344
21.8 315 0.0369554511321881
21.8 320 0.037896094051712
21.8 325 0.0388648911808395
21.8 330 0.0398104435879987
21.8 335 0.0406658315526334
21.8 340 0.0413464047844866
21.8 345 0.0417459956222995
21.8 350 0.0417306856441427
22 280 0.0151644076543446
22 285 0.0153574368651242
22 290 0.0155728187446864
22 295 0.0158169638800654
22 300 0.0160944233323899
22 305 0.0164072329986592
22 310 0.0167543212197168
22 315 0.0171310135411607
22 320 0.0175286534125434
22 325 0.01793432427817
22 330 0.0183305979760558
22 335 0.0186951420091139
22 340 0.0189998965502785
22 345 0.0192093909692553
22 350 0.0192776337654299
