Frac Clast T TCmean TCstd
0.04 0.00 300 138.2976 0.1269
0.04 0.05 300 138.2831 0.1378
0.04 0.10 300 138.2677 0.1643
0.04 0.15 300 138.2257 0.2020
0.04 0.20 300 138.1717 0.2753
0.04 0.25 300 138.1337 0.3376
0.04 0.30 300 138.0654 0.4277
0.04 0.35 300 138.0566 0.5056
0.04 0.40 300 138.0418 0.5428
0.04 0.45 300 138.0548 0.6006
0.04 0.50 300 138.0839 0.6552
0.04 0.55 300 138.0666 0.7249
0.04 0.60 300 138.1112 0.7306
0.04 0.65 300 138.0976 0.7879
0.04 0.70 300 138.0845 0.8720
0.04 0.75 300 138.1443 0.8860
0.04 0.80 300 138.1771 0.9217
0.04 0.85 300 138.1883 0.9902
0.04 0.90 300 138.1168 0.9569
0.04 0.95 300 138.1748 0.9797
0.04 1.00 300 138.1884 1.0258
0.08 0.00 300 132.3028 0.1889
0.08 0.05 300 132.2762 0.2031
0.08 0.10 300 132.2175 0.2632
0.08 0.15 300 132.1069 0.3326
0.08 0.20 300 131.9603 0.4436
0.08 0.25 300 131.8303 0.5687
0.08 0.30 300 131.7642 0.6836
0.08 0.35 300 131.6838 0.8165
0.08 0.40 300 131.6752 0.8936
0.08 0.45 300 131.7259 0.9533
0.08 0.50 300 131.7540 1.0649
0.08 0.55 300 131.7528 1.1731
0.08 0.60 300 131.7344 1.2084
0.08 0.65 300 131.8720 1.3086
0.08 0.70 300 131.8761 1.4535
0.08 0.75 300 132.0131 1.4442
0.08 0.80 300 131.9713 1.5343
0.08 0.85 300 132.0012 1.5626
0.08 0.90 300 132.1485 1.5865
0.08 0.95 300 132.0156 1.7450
0.08 1.00 300 132.1280 1.6206
0.12 0.00 300 126.1318 0.3450
0.12 0.05 300 126.0953 0.3656
0.12 0.10 300 126.5898 0.3317
0.12 0.15 300 126.4253 0.4298
0.12 0.20 300 126.1871 0.5419
0.12 0.25 300 125.9484 0.7245
0.12 0.30 300 125.8279 0.8560
0.12 0.35 300 125.8800 1.0239
0.12 0.40 300 125.8413 1.1260
0.12 0.45 300 125.8465 1.2807
0.12 0.50 300 125.8312 1.3681
0.12 0.55 300 125.9232 1.5018
0.12 0.60 300 125.8556 1.6056
0.12 0.65 300 126.0466 1.6981
0.12 0.70 300 126.1028 1.8097
0.12 0.75 300 126.1180 1.8679
0.12 0.80 300 126.2260 1.9753
0.12 0.85 300 126.3486 2.0129
0.12 0.90 300 126.3649 2.0220
0.12 0.95 300 126.4291 2.1363
0.12 1.00 300 126.4463 2.2069
0.16 0.00 300 120.6660 0.4279
0.16 0.05 300 120.6225 0.4397
0.16 0.10 300 121.3476 0.3971
0.16 0.15 300 121.1027 0.4931
0.16 0.20 300 120.7950 0.6330
0.16 0.25 300 120.5184 0.8328
0.16 0.30 300 120.4378 1.0060
0.16 0.35 300 120.3329 1.1451
0.16 0.40 300 120.3279 1.3025
0.16 0.45 300 120.3853 1.4697
0.16 0.50 300 120.3692 1.6132
0.16 0.55 300 120.4949 1.7578
0.16 0.60 300 120.5185 1.8267
0.16 0.65 300 120.5605 1.9690
0.16 0.70 300 120.7934 2.0731
0.16 0.75 300 120.6434 2.1480
0.16 0.80 300 120.7421 2.2813
0.16 0.85 300 120.9949 2.2866
0.16 0.90 300 121.0131 2.4424
0.16 0.95 300 121.1188 2.4117
0.16 1.00 300 121.2531 2.6590
0.20 0.00 300 115.4890 0.4777
0.20 0.05 300 115.5169 0.5000
0.20 0.10 300 116.4192 0.4068
0.20 0.15 300 116.1121 0.5479
0.20 0.20 300 115.7315 0.7402
0.20 0.25 300 115.3872 0.9038
0.20 0.30 300 115.2447 1.0795
0.20 0.35 300 115.3166 1.2530
0.20 0.40 300 115.2700 1.3875
0.20 0.45 300 115.2647 1.5755
0.20 0.50 300 115.3009 1.7781
0.20 0.55 300 115.3375 1.9446
0.20 0.60 300 115.4519 2.1020
0.20 0.65 300 115.5549 2.1270
0.20 0.70 300 115.7250 2.3192
0.20 0.75 300 115.6028 2.3226
0.20 0.80 300 115.7890 2.6318
0.20 0.85 300 115.8387 2.6359
0.20 0.90 300 116.1068 2.6438
0.20 0.95 300 116.1950 2.7888
0.20 1.00 300 116.3633 2.9136
0.24 0.00 300 110.6976 0.4938
0.24 0.05 300 110.6633 0.5254
0.24 0.10 300 109.9645 0.7438
0.24 0.15 300 111.4264 0.5981
0.24 0.20 300 111.0309 0.7919
0.24 0.25 300 110.6468 0.9339
0.24 0.30 300 110.5693 1.1709
0.24 0.35 300 110.4845 1.3416
0.24 0.40 300 110.5156 1.5379
0.24 0.45 300 110.5168 1.7179
0.24 0.50 300 110.6376 1.7886
0.24 0.55 300 110.6869 2.0149
0.24 0.60 300 110.8046 2.1464
0.24 0.65 300 110.8934 2.2897
0.24 0.70 300 110.8955 2.3816
0.24 0.75 300 111.1741 2.5833
0.24 0.80 300 111.1204 2.6678
0.24 0.85 300 111.4259 2.7708
0.24 0.90 300 111.4156 2.8408
0.24 0.95 300 111.6353 2.9621
0.24 1.00 300 111.6253 3.2425
0.28 0.00 300 106.1636 0.5131
0.28 0.05 300 106.1470 0.5110
0.28 0.10 300 105.4724 0.7608
0.28 0.15 300 107.0295 0.6102
0.28 0.20 300 106.5175 0.8142
0.28 0.25 300 106.2820 0.9845
0.28 0.30 300 106.1294 1.1913
0.28 0.35 300 106.0345 1.3743
0.28 0.40 300 106.0673 1.5197
0.28 0.45 300 106.0638 1.8015
0.28 0.50 300 106.2080 1.9244
0.28 0.55 300 106.3012 2.0114
0.28 0.60 300 106.4136 2.2322
0.28 0.65 300 106.5528 2.3463
0.28 0.70 300 106.6744 2.4917
0.28 0.75 300 106.6777 2.7183
0.28 0.80 300 106.9276 2.8575
0.28 0.85 300 106.7813 2.8685
0.28 0.90 300 107.1103 2.9128
0.28 0.95 300 107.2630 3.1824
0.28 1.00 300 107.4083 3.1873
0.32 0.00 300 101.9652 0.5287
0.32 0.05 300 101.9213 0.5056
0.32 0.10 300 101.3525 0.7330
0.32 0.15 300 101.2360 1.1376
0.32 0.20 300 102.4442 0.7801
0.32 0.25 300 102.1072 1.0017
0.32 0.30 300 101.9816 1.2083
0.32 0.35 300 101.9317 1.3699
0.32 0.40 300 101.9400 1.6172
0.32 0.45 300 102.0409 1.6966
0.32 0.50 300 102.1922 1.9591
0.32 0.55 300 102.2141 2.1595
0.32 0.60 300 102.2536 2.3222
0.32 0.65 300 102.3635 2.3461
0.32 0.70 300 102.3676 2.5571
0.32 0.75 300 102.5661 2.6542
0.32 0.80 300 102.6786 2.8390
0.32 0.85 300 102.8988 3.1562
0.32 0.90 300 102.9245 3.1515
0.32 0.95 300 103.1059 3.3051
0.32 1.00 300 103.1690 3.4053
0.36 0.00 300 97.9800 0.5168
0.36 0.05 300 97.9701 0.5165
0.36 0.10 300 97.4531 0.7598
0.36 0.15 300 97.5008 1.1227
0.36 0.20 300 98.5370 0.7969
0.36 0.25 300 98.2898 0.9946
0.36 0.30 300 98.1043 1.1848
0.36 0.35 300 98.0496 1.3241
0.36 0.40 300 98.1323 1.5312
0.36 0.45 300 98.2028 1.7623
0.36 0.50 300 98.1905 1.8327
0.36 0.55 300 98.3036 2.0128
0.36 0.60 300 98.6021 2.1744
0.36 0.65 300 98.5395 2.2726
0.36 0.70 300 98.6189 2.6589
0.36 0.75 300 98.7358 2.7217
0.36 0.80 300 98.8624 2.7594
0.36 0.85 300 98.8930 2.9399
0.36 0.90 300 99.2597 3.1214
0.36 0.95 300 99.2526 3.3200
0.36 1.00 300 99.4155 3.2820
0.40 0.00 300 94.2679 0.4854
0.40 0.05 300 94.2762 0.4936
0.40 0.10 300 93.8648 0.7278
0.40 0.15 300 93.8988 1.0771
0.40 0.20 300 94.9067 0.7794
0.40 0.25 300 94.6144 0.9416
0.40 0.30 300 94.5797 1.1069
0.40 0.35 300 94.4273 1.3461
0.40 0.40 300 94.4697 1.5207
0.40 0.45 300 94.5802 1.7140
0.40 0.50 300 94.6117 1.8754
0.40 0.55 300 94.7259 2.0892
0.40 0.60 300 94.8476 2.1235
0.40 0.65 300 94.9467 2.4204
0.40 0.70 300 94.9547 2.5149
0.40 0.75 300 95.2991 2.7234
0.40 0.80 300 95.3802 2.8345
0.40 0.85 300 95.4792 2.9632
0.40 0.90 300 95.4709 3.1301
0.40 0.95 300 95.7142 3.1711
0.40 1.00 300 95.8444 3.3234
0.44 0.00 300 90.8271 0.4748
0.44 0.05 300 90.8002 0.4799
0.44 0.10 300 90.5172 0.6919
0.44 0.15 300 90.5912 1.0717
0.44 0.20 300 90.7823 1.3571
0.44 0.25 300 91.2599 0.9326
0.44 0.30 300 91.1801 1.0360
0.44 0.35 300 91.0674 1.2878
0.44 0.40 300 91.1500 1.4290
0.44 0.45 300 91.2035 1.5908
0.44 0.50 300 91.3040 1.8477
0.44 0.55 300 91.3980 1.9474
0.44 0.60 300 91.4062 2.0727
0.44 0.65 300 91.6707 2.3183
0.44 0.70 300 91.7605 2.4204
0.44 0.75 300 91.8755 2.5604
0.44 0.80 300 91.9438 2.6238
0.44 0.85 300 91.9460 2.9028
0.44 0.90 300 92.1196 3.0692
0.44 0.95 300 92.3633 3.1473
0.44 1.00 300 92.3558 3.3291
0.48 0.00 300 87.5983 0.4444
0.48 0.05 300 87.5931 0.4406
0.48 0.10 300 87.4026 0.6222
0.48 0.15 300 87.4341 1.0121
0.48 0.20 300 87.7089 1.3039
0.48 0.25 300 88.0737 0.8676
0.48 0.30 300 87.9692 1.0787
0.48 0.35 300 88.0329 1.2116
0.48 0.40 300 87.9351 1.3579
0.48 0.45 300 88.0713 1.5702
0.48 0.50 300 88.1501 1.6993
0.48 0.55 300 88.1793 1.8890
0.48 0.60 300 88.2257 1.9987
0.48 0.65 300 88.3158 2.2753
0.48 0.70 300 88.4609 2.2923
0.48 0.75 300 88.5464 2.4441
0.48 0.80 300 88.7899 2.7290
0.48 0.85 300 88.8818 2.7890
0.48 0.90 300 88.8105 2.8855
0.48 0.95 300 89.1484 2.9351
0.48 1.00 300 89.1944 3.1718
0.52 0.00 300 84.5827 0.4142
0.52 0.05 300 84.5699 0.4100
0.52 0.10 300 84.4695 0.5855
0.52 0.15 300 84.5953 0.9234
0.52 0.20 300 84.7760 1.1830
0.52 0.25 300 84.7835 0.8160
0.52 0.30 300 84.8060 0.9588
0.52 0.35 300 84.9005 1.1079
0.52 0.40 300 84.9756 1.3195
0.52 0.45 300 85.0283 1.4598
0.52 0.50 300 85.1241 1.5954
0.52 0.55 300 85.3495 1.7716
0.52 0.60 300 85.3249 1.8871
0.52 0.65 300 85.4546 2.0155
0.52 0.70 300 85.5999 2.1373
0.52 0.75 300 85.5938 2.4032
0.52 0.80 300 85.7061 2.4947
0.52 0.85 300 85.8785 2.6339
0.52 0.90 300 85.9358 2.7907
0.52 0.95 300 86.0764 2.9257
0.52 1.00 300 86.0468 3.0222
0.56 0.00 300 81.7811 0.3833
0.56 0.05 300 81.7868 0.3981
0.56 0.10 300 81.7421 0.5350
0.56 0.15 300 81.8631 0.8342
0.56 0.20 300 82.0579 1.1384
0.56 0.25 300 81.9764 0.7586
0.56 0.30 300 82.0915 0.8889
0.56 0.35 300 82.1986 0.9941
0.56 0.40 300 82.1682 1.2284
0.56 0.45 300 82.3654 1.3661
0.56 0.50 300 82.3818 1.4224
0.56 0.55 300 82.3568 1.6325
0.56 0.60 300 82.5247 1.7488
0.56 0.65 300 82.7144 1.9567
0.56 0.70 300 82.7783 2.0570
0.56 0.75 300 82.7657 2.1141
0.56 0.80 300 82.8649 2.3493
