Frac Clast T TCmean TCstd
0.04 0.00 300 138.3837 0.1208
0.04 0.05 300 138.3626 0.1323
0.04 0.10 300 138.3321 0.1605
0.04 0.15 300 138.2865 0.1983
0.04 0.20 300 138.2329 0.2710
0.04 0.25 300 138.1944 0.3315
0.04 0.30 300 138.1257 0.4210
0.04 0.35 300 138.1141 0.4956
0.04 0.40 300 138.0975 0.5363
0.04 0.45 300 138.1108 0.5923
0.04 0.50 300 138.1353 0.6483
0.04 0.55 300 138.1139 0.7173
0.04 0.60 300 138.1550 0.7223
0.04 0.65 300 138.1375 0.7817
0.04 0.70 300 138.1235 0.8662
0.04 0.75 300 138.1809 0.8819
0.04 0.80 300 138.2115 0.9153
0.04 0.85 300 138.2210 0.9871
0.04 0.90 300 138.1480 0.9517
0.04 0.95 300 138.2055 0.9759
0.04 1.00 300 138.2147 1.0249
0.08 0.00 300 132.4185 0.1862
0.08 0.05 300 132.3784 0.1999
0.08 0.10 300 132.3015 0.2619
0.08 0.15 300 132.1886 0.3300
0.08 0.20 300 132.0472 0.4396
0.08 0.25 300 131.9240 0.5635
0.08 0.30 300 131.8577 0.6762
0.08 0.35 300 131.7756 0.8086
0.08 0.40 300 131.7652 0.8853
0.08 0.45 300 131.8072 0.9442
0.08 0.50 300 131.8297 1.0586
0.08 0.55 300 131.8230 1.1686
0.08 0.60 300 131.7972 1.2059
0.08 0.65 300 131.9291 1.3093
0.08 0.70 300 131.9302 1.4542
0.08 0.75 300 132.0607 1.4475
0.08 0.80 300 132.0152 1.5391
0.08 0.85 300 132.0413 1.5701
0.08 0.90 300 132.1860 1.5961
0.08 0.95 300 132.0473 1.7642
0.08 1.00 300 132.1604 1.6339
0.12 0.00 300 126.5562 0.3231
0.12 0.05 300 126.5216 0.3444
0.12 0.10 300 126.6578 0.3296
0.12 0.15 300 126.5038 0.4265
0.12 0.20 300 126.2803 0.5403
0.12 0.25 300 126.0510 0.7194
0.12 0.30 300 125.9323 0.8496
0.12 0.35 300 125.9813 1.0196
0.12 0.40 300 125.9354 1.1264
0.12 0.45 300 125.9348 1.2777
0.12 0.50 300 125.9088 1.3655
0.12 0.55 300 125.9957 1.5051
0.12 0.60 300 125.9160 1.6135
0.12 0.65 300 126.0996 1.7149
0.12 0.70 300 126.1505 1.8230
0.12 0.75 300 126.1561 1.8880
0.12 0.80 300 126.2594 1.9975
0.12 0.85 300 126.3777 2.0326
0.12 0.90 300 126.3909 2.0429
0.12 0.95 300 126.4503 2.1582
0.12 1.00 300 126.4642 2.2367
0.16 0.00 300 121.1593 0.4082
0.16 0.05 300 121.1156 0.4202
0.16 0.10 300 121.3912 0.3990
0.16 0.15 300 121.1630 0.4925
0.16 0.20 300 120.8762 0.6326
0.16 0.25 300 120.6132 0.8350
0.16 0.30 300 120.5356 1.0060
0.16 0.35 300 120.4293 1.1450
0.16 0.40 300 120.4143 1.3060
0.16 0.45 300 120.4599 1.4763
0.16 0.50 300 120.4315 1.6216
0.16 0.55 300 120.5446 1.7782
0.16 0.60 300 120.5603 1.8427
0.16 0.65 300 120.5896 1.9960
0.16 0.70 300 120.8152 2.1026
0.16 0.75 300 120.6599 2.1771
