Frac Clast T TCmean TCstd
0.05 0.00 300 137.6494 0.1490
0.05 0.05 300 137.6292 0.1628
0.05 0.10 300 137.2179 0.3461
0.05 0.15 300 136.9552 0.4781
0.05 0.20 300 136.8211 0.6229
0.05 0.25 300 136.8086 0.7359
0.05 0.30 300 136.7223 0.8343
0.05 0.35 300 136.8041 0.8979
0.05 0.40 300 136.7954 0.9940
0.05 0.45 300 136.7680 1.0877
0.05 0.50 300 136.8431 1.0941
0.05 0.55 300 136.8946 1.2278
0.05 0.60 300 136.9674 1.2231
0.05 0.65 300 136.9962 1.2061
0.05 0.70 300 137.0499 1.3201
0.05 0.75 300 137.0041 1.2871
0.05 0.80 300 137.0970 1.3123
0.05 0.85 300 137.1039 1.3761
0.05 0.90 300 137.1866 1.3782
0.05 0.95 300 137.2256 1.4141
0.05 1.00 300 137.2670 1.3799
0.10 0.00 300 130.8878 0.2513
0.10 0.05 300 130.8671 0.2737
0.10 0.10 300 129.9943 0.5029
0.10 0.15 300 129.5474 0.7317
0.10 0.20 300 129.3278 0.9597
0.10 0.25 300 129.2721 1.1553
0.10 0.30 300 129.2331 1.3380
0.10 0.35 300 129.2264 1.4865
0.10 0.40 300 129.5416 1.5899
0.10 0.45 300 129.3942 1.7434
0.10 0.50 300 129.6003 1.8428
0.10 0.55 300 129.8258 1.8865
0.10 0.60 300 129.8761 2.0229
0.10 0.65 300 129.9310 2.1662
0.10 0.70 300 130.1028 2.0121
0.10 0.75 300 130.1655 2.1661
0.10 0.80 300 130.2496 2.1877
0.10 0.85 300 130.3444 2.3505
0.10 0.90 300 130.3292 2.2354
0.10 0.95 300 130.3832 2.3240
0.10 1.00 300 130.6727 2.2536
0.15 0.00 300 124.4733 0.3565
0.15 0.05 300 124.4374 0.3581
0.15 0.10 300 123.2148 0.6415
0.15 0.15 300 122.6077 0.9217
0.15 0.20 300 122.3857 1.1909
0.15 0.25 300 122.2890 1.3682
0.15 0.30 300 122.4433 1.6458
0.15 0.35 300 122.4767 1.8689
0.15 0.40 300 122.5477 2.0970
0.15 0.45 300 122.7232 2.2078
0.15 0.50 300 122.9039 2.3513
0.15 0.55 300 123.1798 2.4285
0.15 0.60 300 123.2665 2.5610
0.15 0.65 300 123.3561 2.7138
0.15 0.70 300 123.6630 2.7808
0.15 0.75 300 123.7271 2.7706
0.15 0.80 300 123.8986 2.8571
0.15 0.85 300 123.9437 2.9552
0.15 0.90 300 124.2377 2.9060
0.15 0.95 300 124.2672 3.0458
0.15 1.00 300 124.3408 2.9311
0.20 0.00 300 118.3801 0.4244
0.20 0.05 300 118.3488 0.4219
0.20 0.10 300 116.8850 0.6996
0.20 0.15 300 116.1811 1.0186
0.20 0.20 300 115.9611 1.3694
0.20 0.25 300 115.9697 1.6106
0.20 0.30 300 116.0647 1.9628
0.20 0.35 300 116.2581 2.2088
0.20 0.40 300 116.3274 2.4574
0.20 0.45 300 116.5954 2.4947
0.20 0.50 300 116.7245 2.7983
0.20 0.55 300 116.9799 2.8868
0.20 0.60 300 117.1094 2.9823
0.20 0.65 300 117.2858 3.0242
0.20 0.70 300 117.5726 3.1547
0.20 0.75 300 117.6835 3.2536
0.20 0.80 300 117.9520 3.2159
0.20 0.85 300 118.1355 3.3657
0.20 0.90 300 118.2806 3.5831
0.20 0.95 300 118.3217 3.5662
0.20 1.00 300 118.7261 3.3990
0.25 0.00 300 112.6021 0.4882
0.25 0.05 300 112.5363 0.4754
0.25 0.10 300 110.9925 0.7327
0.25 0.15 300 110.2086 1.0693
0.25 0.20 300 110.1273 1.4184
0.25 0.25 300 110.1318 1.7510
0.25 0.30 300 110.0270 2.1111
0.25 0.35 300 110.3405 2.3859
0.25 0.40 300 110.3122 2.6506
0.25 0.45 300 110.6943 2.9122
0.25 0.50 300 110.9773 3.0064
0.25 0.55 300 111.2014 3.3893
0.25 0.60 300 111.4195 3.3474
0.25 0.65 300 111.6796 3.6204
0.25 0.70 300 111.9193 3.7803
0.25 0.75 300 112.0671 3.7337
0.25 0.80 300 112.3688 3.7453
0.25 0.85 300 112.4737 3.9116
0.25 0.90 300 112.7062 4.0171
0.25 0.95 300 112.8655 3.8948
0.25 1.00 300 113.1830 3.9874
0.30 0.00 300 107.1284 0.4988
0.30 0.05 300 107.0970 0.5030
0.30 0.10 300 105.5452 0.7495
0.30 0.15 300 104.8170 1.1091
0.30 0.20 300 104.5959 1.4531
0.30 0.25 300 104.6805 1.8484
0.30 0.30 300 104.7778 2.1449
0.30 0.35 300 105.0161 2.3378
0.30 0.40 300 105.1829 2.7646
0.30 0.45 300 105.4044 2.9609
0.30 0.50 300 105.7060 3.1032
