Frac Clast T TCmean TCstd
0.05 0.00 300 136.5711 0.2092
0.05 0.05 300 136.5627 0.2258
0.05 0.10 300 136.3567 0.4174
0.05 0.15 300 136.2422 0.5477
0.05 0.20 300 136.2282 0.7043
0.05 0.25 300 136.2935 0.8289
0.05 0.30 300 136.2605 0.9268
0.05 0.35 300 136.3942 0.9967
0.05 0.40 300 136.4181 1.0970
0.05 0.45 300 136.4077 1.2058
0.05 0.50 300 136.5142 1.2062
0.05 0.55 300 136.5789 1.3560
0.05 0.60 300 136.6763 1.3423
0.05 0.65 300 136.7125 1.3288
0.05 0.70 300 136.7889 1.4363
0.05 0.75 300 136.7270 1.4309
0.05 0.80 300 136.8414 1.4385
0.05 0.85 300 136.8493 1.5101
0.05 0.90 300 136.9597 1.5047
0.05 0.95 300 136.9901 1.5508
0.05 1.00 300 137.0403 1.5061
0.10 0.00 300 128.9791 0.3323
0.10 0.05 300 128.9669 0.3516
0.10 0.10 300 128.5141 0.5913
0.10 0.15 300 128.3587 0.8256
0.10 0.20 300 128.3358 1.0734
0.10 0.25 300 128.4306 1.2870
0.10 0.30 300 128.4794 1.4805
0.10 0.35 300 128.5401 1.6359
0.10 0.40 300 128.9277 1.7407
0.10 0.45 300 128.8142 1.9028
0.10 0.50 300 129.0490 2.0186
0.10 0.55 300 129.3177 2.0572
0.10 0.60 300 129.3874 2.2092
0.10 0.65 300 129.4675 2.3615
0.10 0.70 300 129.6674 2.2027
0.10 0.75 300 129.7378 2.3543
0.10 0.80 300 129.8437 2.3791
0.10 0.85 300 129.9368 2.5664
0.10 0.90 300 129.9492 2.4230
0.10 0.95 300 129.9918 2.5246
0.10 1.00 300 130.3132 2.4362
0.15 0.00 300 121.9788 0.4339
0.15 0.05 300 121.9624 0.4407
0.15 0.10 300 121.3461 0.7218
0.15 0.15 300 121.1507 1.0111
0.15 0.20 300 121.1898 1.3106
0.15 0.25 300 121.2552 1.5033
0.15 0.30 300 121.5203 1.7975
0.15 0.35 300 121.6216 2.0377
0.15 0.40 300 121.7704 2.2868
0.15 0.45 300 121.9911 2.4065
0.15 0.50 300 122.2099 2.5518
0.15 0.55 300 122.5216 2.6318
0.15 0.60 300 122.6539 2.7800
0.15 0.65 300 122.7535 2.9294
0.15 0.70 300 123.0825 3.0065
0.15 0.75 300 123.1566 3.0098
0.15 0.80 300 123.3550 3.0936
0.15 0.85 300 123.4050 3.1865
0.15 0.90 300 123.7208 3.1353
0.15 0.95 300 123.7559 3.2916
0.15 1.00 300 123.8618 3.1559
0.20 0.00 300 115.4990 0.4979
0.20 0.05 300 115.4880 0.4923
0.20 0.10 300 114.7982 0.7709
0.20 0.15 300 114.6129 1.1074
0.20 0.20 300 114.6580 1.4784
0.20 0.25 300 114.8444 1.7396
0.20 0.30 300 115.0548 2.1236
0.20 0.35 300 115.3336 2.3901
0.20 0.40 300 115.4654 2.6612
0.20 0.45 300 115.7940 2.6856
0.20 0.50 300 115.9465 3.0291
0.20 0.55 300 116.2460 3.1279
0.20 0.60 300 116.3913 3.2205
0.20 0.65 300 116.5975 3.2536
0.20 0.70 300 116.9065 3.4118
0.20 0.75 300 117.0141 3.5004
0.20 0.80 300 117.3070 3.4688
0.20 0.85 300 117.5100 3.6249
0.20 0.90 300 117.6700 3.8537
0.20 0.95 300 117.7213 3.8344
0.20 1.00 300 118.1434 3.6464
0.25 0.00 300 109.5221 0.5307
0.25 0.05 300 109.4801 0.5301
0.25 0.10 300 108.8254 0.7918
0.25 0.15 300 108.6131 1.1450
0.25 0.20 300 108.8347 1.5181
0.25 0.25 300 108.9923 1.8767
0.25 0.30 300 108.9812 2.2604
0.25 0.35 300 109.3834 2.5668
0.25 0.40 300 109.3858 2.8562
0.25 0.45 300 109.8216 3.1331
