Frac Clast T TCmean TCstd
0.05 0.00 300 136.8551 0.1400
0.05 0.05 300 136.8302 0.1387
0.05 0.10 300 136.7837 0.1846
0.05 0.15 300 136.7251 0.2393
0.05 0.20 300 136.6514 0.3076
0.05 0.25 300 136.5926 0.3981
0.05 0.30 300 136.5157 0.5020
0.05 0.35 300 136.4840 0.5772
0.05 0.40 300 136.4775 0.6482
0.05 0.45 300 136.5163 0.6972
0.05 0.50 300 136.4698 0.7424
0.05 0.55 300 136.5143 0.8191
0.05 0.60 300 136.5090 0.8572
0.05 0.65 300 136.5299 0.9350
0.05 0.70 300 136.5519 1.0021
0.05 0.75 300 136.5363 1.0519
0.05 0.80 300 136.5818 1.1068
0.05 0.85 300 136.5914 1.1278
0.05 0.90 300 136.6399 1.1546
0.05 0.95 300 136.6582 1.2079
0.05 1.00 300 136.6569 1.2571
0.10 0.00 300 129.5665 0.2339
0.10 0.05 300 129.5317 0.2498
0.10 0.10 300 129.4602 0.3040
0.10 0.15 300 129.2959 0.3838
0.10 0.20 300 129.1185 0.4852
0.10 0.25 300 128.9413 0.6325
0.10 0.30 300 128.8546 0.7822
0.10 0.35 300 128.8344 0.9323
0.10 0.40 300 128.8181 0.9815
0.10 0.45 300 128.8301 1.1350
0.10 0.50 300 128.8475 1.2635
0.10 0.55 300 128.8287 1.3428
0.10 0.60 300 128.9017 1.4034
0.10 0.65 300 128.9555 1.5247
0.10 0.70 300 128.9143 1.6142
0.10 0.75 300 129.0509 1.6663
0.10 0.80 300 129.0655 1.8066
0.10 0.85 300 129.1201 1.7839
0.10 0.90 300 129.1968 1.9097
0.10 0.95 300 129.3425 1.8936
0.10 1.00 300 129.2523 1.9914
0.15 0.00 300 122.8329 0.2853
0.15 0.05 300 122.7719 0.3186
0.15 0.10 300 122.6944 0.3821
0.15 0.15 300 122.4593 0.4959
0.15 0.20 300 122.1782 0.6082
0.15 0.25 300 121.9554 0.8251
0.15 0.30 300 121.8423 0.9888
0.15 0.35 300 121.7910 1.1828
0.15 0.40 300 121.7538 1.2740
0.15 0.45 300 121.7535 1.3707
