Frac Clast T TCmean TCstd
0.04 0.00 300 139.2895 0.1036
0.04 0.05 300 139.2381 0.1129
0.04 0.10 300 139.1299 0.1429
0.04 0.15 300 139.0170 0.1781
0.04 0.20 300 138.8910 0.2433
0.04 0.25 300 138.7577 0.3083
0.04 0.30 300 138.6134 0.3898
0.04 0.35 300 138.5375 0.4673
0.04 0.40 300 138.4605 0.5055
0.04 0.45 300 138.4311 0.5569
0.04 0.50 300 138.4230 0.6122
0.04 0.55 300 138.3814 0.6729
0.04 0.60 300 138.3978 0.6780
0.04 0.65 300 138.3674 0.7371
0.04 0.70 300 138.3399 0.8158
0.04 0.75 300 138.3831 0.8329
0.04 0.80 300 138.4044 0.8645
0.04 0.85 300 138.4069 0.9288
0.04 0.90 300 138.3324 0.8970
0.04 0.95 300 138.3787 0.9209
0.04 1.00 300 138.3836 0.9682
0.08 0.00 300 134.1771 0.1517
0.08 0.05 300 134.0524 0.1722
0.08 0.10 300 133.7971 0.2250
0.08 0.15 300 133.5427 0.2868
0.08 0.20 300 133.2177 0.3973
0.08 0.25 300 132.8932 0.5187
0.08 0.30 300 132.6520 0.6313
0.08 0.35 300 132.4573 0.7581
0.08 0.40 300 132.3513 0.8350
0.08 0.45 300 132.3205 0.8929
0.08 0.50 300 132.2886 1.0019
0.08 0.55 300 132.2397 1.1047
0.08 0.60 300 132.1923 1.1408
0.08 0.65 300 132.2847 1.2328
0.08 0.70 300 132.2670 1.3771
0.08 0.75 300 132.3772 1.3686
0.08 0.80 300 132.3207 1.4563
0.08 0.85 300 132.3344 1.4891
0.08 0.90 300 132.4593 1.5082
0.08 0.95 300 132.3247 1.6646
0.08 1.00 300 132.4260 1.5440
0.12 0.00 300 128.2918 0.2848
0.12 0.05 300 128.2497 0.3007
0.12 0.10 300 128.7657 0.2840
0.12 0.15 300 128.3621 0.3810
0.12 0.20 300 127.8073 0.5030
0.12 0.25 300 127.2944 0.6715
0.12 0.30 300 126.9434 0.7996
0.12 0.35 300 126.8223 0.9536
0.12 0.40 300 126.6574 1.0649
0.12 0.45 300 126.5717 1.2088
0.12 0.50 300 126.4860 1.2957
0.12 0.55 300 126.5131 1.4273
0.12 0.60 300 126.4035 1.5289
0.12 0.65 300 126.5524 1.6161
0.12 0.70 300 126.5808 1.7246
0.12 0.75 300 126.5627 1.7883
0.12 0.80 300 126.6479 1.8934
0.12 0.85 300 126.7475 1.9289
0.12 0.90 300 126.7554 1.9306
0.12 0.95 300 126.7932 2.0475
0.12 1.00 300 126.8052 2.1192
0.16 0.00 300 123.2496 0.3641
0.16 0.05 300 123.1937 0.3761
0.16 0.10 300 124.0025 0.3465
0.16 0.15 300 123.4059 0.4503
0.16 0.20 300 122.6570 0.5869
0.16 0.25 300 122.0100 0.7854
0.16 0.30 300 121.6660 0.9418
0.16 0.35 300 121.3728 1.0831
0.16 0.40 300 121.2273 1.2286
0.16 0.45 300 121.1767 1.4008
0.16 0.50 300 121.0728 1.5479
0.16 0.55 300 121.1466 1.6792
0.16 0.60 300 121.1118 1.7494
0.16 0.65 300 121.1129 1.8829
0.16 0.70 300 121.3091 1.9852
0.16 0.75 300 121.1366 2.0642
0.16 0.80 300 121.2076 2.1959
0.16 0.85 300 121.4341 2.2017
0.16 0.90 300 121.4326 2.3608
0.16 0.95 300 121.5268 2.3252
0.16 1.00 300 121.6384 2.5661
0.20 0.00 300 118.3774 0.4177
0.20 0.05 300 118.3788 0.4424
0.20 0.10 300 119.4565 0.3723
0.20 0.15 300 118.6721 0.5083
0.20 0.20 300 117.7181 0.6863
0.20 0.25 300 116.9502 0.8572
0.20 0.30 300 116.5206 1.0299
0.20 0.35 300 116.3841 1.1942
0.20 0.40 300 116.1938 1.3252
0.20 0.45 300 116.0798 1.5208
0.20 0.50 300 116.0267 1.7014
0.20 0.55 300 116.0098 1.8717
0.20 0.60 300 116.0614 2.0287
0.20 0.65 300 116.1201 2.0598
0.20 0.70 300 116.2476 2.2474
0.20 0.75 300 116.1054 2.2400
0.20 0.80 300 116.2619 2.5481
0.20 0.85 300 116.2875 2.5521
0.20 0.90 300 116.5330 2.5574
0.20 0.95 300 116.6082 2.7035
0.20 1.00 300 116.7533 2.8281
0.24 0.00 300 113.7551 0.4507
0.24 0.05 300 113.6911 0.4786
0.24 0.10 300 112.1651 0.7053
0.24 0.15 300 114.1286 0.5587
0.24 0.20 300 113.0785 0.7529
0.24 0.25 300 112.2209 0.9023
0.24 0.30 300 111.8252 1.1258
0.24 0.35 300 111.5378 1.2850
0.24 0.40 300 111.4179 1.4912
0.24 0.45 300 111.3087 1.6533
0.24 0.50 300 111.3526 1.7260
0.24 0.55 300 111.3359 1.9483
0.24 0.60 300 111.3979 2.0819
0.24 0.65 300 111.4431 2.2181
0.24 0.70 300 111.4200 2.3116
0.24 0.75 300 111.6642 2.5088
0.24 0.80 300 111.5809 2.5947
0.24 0.85 300 111.8607 2.7009
0.24 0.90 300 111.8361 2.7577
0.24 0.95 300 112.0362 2.8839
0.24 1.00 300 112.0166 3.1611
0.28 0.00 300 109.2778 0.4776
0.28 0.05 300 109.2427 0.4827
0.28 0.10 300 107.6676 0.7399
0.28 0.15 300 109.7920 0.5781
0.28 0.20 300 108.5594 0.7872
0.28 0.25 300 107.8200 0.9538
0.28 0.30 300 107.3542 1.1586
0.28 0.35 300 107.0372 1.3441
0.28 0.40 300 106.9228 1.4723
0.28 0.45 300 106.8138 1.7559
0.28 0.50 300 106.8784 1.8764
0.28 0.55 300 106.9148 1.9555
0.28 0.60 300 106.9775 2.1765
0.28 0.65 300 107.0738 2.2970
0.28 0.70 300 107.1601 2.4320
0.28 0.75 300 107.1351 2.6521
0.28 0.80 300 107.3628 2.7873
0.28 0.85 300 107.1950 2.8079
0.28 0.90 300 107.5047 2.8534
0.28 0.95 300 107.6384 3.1168
0.28 1.00 300 107.7755 3.1183
0.32 0.00 300 105.0544 0.5029
0.32 0.05 300 104.9793 0.4939
0.32 0.10 300 103.4637 0.7221
0.32 0.15 300 102.7096 1.1193
0.32 0.20 300 104.4112 0.7691
0.32 0.25 300 103.5622 0.9864
0.32 0.30 300 103.1199 1.1783
0.32 0.35 300 102.8638 1.3381
0.32 0.40 300 102.7273 1.5871
0.32 0.45 300 102.7313 1.6619
0.32 0.50 300 102.8149 1.9165
0.32 0.55 300 102.7713 2.1296
0.32 0.60 300 102.7655 2.2817
0.32 0.65 300 102.8460 2.3009
0.32 0.70 300 102.8142 2.5069
0.32 0.75 300 102.9887 2.6069
0.32 0.80 300 103.0743 2.7860
0.32 0.85 300 103.2817 3.0952
0.32 0.90 300 103.2934 3.0980
0.32 0.95 300 103.4475 3.2506
0.32 1.00 300 103.5043 3.3398
0.36 0.00 300 100.9569 0.5147
0.36 0.05 300 100.9116 0.5143
0.36 0.10 300 99.4485 0.7687
0.36 0.15 300 98.8657 1.1149
0.36 0.20 300 100.3872 0.7857
0.36 0.25 300 99.6261 0.9857
0.36 0.30 300 99.1347 1.1687
0.36 0.35 300 98.8884 1.3171
0.36 0.40 300 98.8333 1.5161
0.36 0.45 300 98.8190 1.7424
0.36 0.50 300 98.7383 1.8053
0.36 0.55 300 98.7996 1.9817
0.36 0.60 300 99.0568 2.1506
0.36 0.65 300 98.9584 2.2410
0.36 0.70 300 99.0116 2.6236
0.36 0.75 300 99.1082 2.6850
0.36 0.80 300 99.2119 2.7193
0.36 0.85 300 99.2275 2.8945
0.36 0.90 300 99.5758 3.0785
0.36 0.95 300 99.5571 3.2725
0.36 1.00 300 99.7068 3.2359
0.40 0.00 300 97.0557 0.4976
0.40 0.05 300 97.0354 0.5072
0.40 0.10 300 95.7094 0.7305
0.40 0.15 300 95.1152 1.0799
0.40 0.20 300 96.6145 0.7836
0.40 0.25 300 95.8264 0.9446
0.40 0.30 300 95.4926 1.1057
0.40 0.35 300 95.1540 1.3402
0.40 0.40 300 95.0846 1.5081
0.40 0.45 300 95.1196 1.7007
0.40 0.50 300 95.0854 1.8664
0.40 0.55 300 95.1539 2.0727
0.40 0.60 300 95.2297 2.1081
0.40 0.65 300 95.3054 2.4044
0.40 0.70 300 95.2943 2.4968
0.40 0.75 300 95.6087 2.6958
0.40 0.80 300 95.6707 2.8144
0.40 0.85 300 95.7666 2.9352
0.40 0.90 300 95.7468 3.1033
0.40 0.95 300 95.9697 3.1456
0.40 1.00 300 96.1045 3.2860
0.44 0.00 300 93.3818 0.4941
0.44 0.05 300 93.3216 0.4973
0.44 0.10 300 92.1760 0.7095
0.44 0.15 300 91.6640 1.0849
0.44 0.20 300 91.5967 1.3641
0.44 0.25 300 92.3336 0.9420
0.44 0.30 300 91.9745 1.0407
0.44 0.35 300 91.6952 1.2919
0.44 0.40 300 91.6681 1.4347
0.44 0.45 300 91.6475 1.5955
0.44 0.50 300 91.6888 1.8452
0.44 0.55 300 91.7490 1.9400
0.44 0.60 300 91.7216 2.0780
0.44 0.65 300 91.9619 2.3137
0.44 0.70 300 92.0325 2.4122
0.44 0.75 300 92.1359 2.5452
0.44 0.80 300 92.1848 2.6160
0.44 0.85 300 92.1780 2.8947
0.44 0.90 300 92.3484 3.0563
0.44 0.95 300 92.5782 3.1300
0.44 1.00 300 92.5642 3.3051
0.48 0.00 300 89.8831 0.4720
0.48 0.05 300 89.8495 0.4644
0.48 0.10 300 88.8646 0.6444
0.48 0.15 300 88.3637 1.0296
0.48 0.20 300 88.3966 1.3171
0.48 0.25 300 88.9911 0.8811
0.48 0.30 300 88.6466 1.0949
0.48 0.35 300 88.5569 1.2170
0.48 0.40 300 88.3578 1.3598
0.48 0.45 300 88.4324 1.5825
0.48 0.50 300 88.4642 1.7047
0.48 0.55 300 88.4607 1.8965
0.48 0.60 300 88.4772 2.0074
0.48 0.65 300 88.5438 2.2798
0.48 0.70 300 88.6752 2.3016
0.48 0.75 300 88.7462 2.4400
0.48 0.80 300 88.9765 2.7333
0.48 0.85 300 89.0573 2.7847
0.48 0.90 300 88.9790 2.8875
0.48 0.95 300 89.3168 2.9269
0.48 1.00 300 89.3549 3.1604
0.52 0.00 300 86.5696 0.4498
0.52 0.05 300 86.5359 0.4422
0.52 0.10 300 85.7150 0.6175
0.52 0.15 300 85.3719 0.9436
0.52 0.20 300 85.3390 1.1982
0.52 0.25 300 85.5686 0.8410
0.52 0.30 300 85.3617 0.9795
0.52 0.35 300 85.3324 1.1289
0.52 0.40 300 85.3139 1.3351
0.52 0.45 300 85.3118 1.4771
0.52 0.50 300 85.3684 1.6121
0.52 0.55 300 85.5669 1.7816
0.52 0.60 300 85.5182 1.9024
0.52 0.65 300 85.6287 2.0315
0.52 0.70 300 85.7628 2.1473
0.52 0.75 300 85.7471 2.4134
0.52 0.80 300 85.8507 2.4948
0.52 0.85 300 86.0191 2.6344
0.52 0.90 300 86.0695 2.8040
0.52 0.95 300 86.2081 2.9275
0.52 1.00 300 86.1705 3.0236
0.56 0.00 300 83.4760 0.4196
0.56 0.05 300 83.4590 0.4249
0.56 0.10 300 82.7829 0.5711
0.56 0.15 300 82.4926 0.8625
0.56 0.20 300 82.5105 1.1647
0.56 0.25 300 82.6231 0.7872
