Frac Clast T TCmean TCstd
0.05 0.00 300 136.7275 0.1717
0.05 0.05 300 136.7626 0.1764
0.05 0.10 300 136.7585 0.2216
0.05 0.15 300 136.7018 0.2663
0.05 0.20 300 136.6277 0.3267
0.05 0.25 300 136.5751 0.4231
0.05 0.30 300 136.4924 0.5241
0.05 0.35 300 136.4602 0.6035
0.05 0.40 300 136.4499 0.6733
0.05 0.45 300 136.4921 0.7219
0.05 0.50 300 136.4460 0.7739
0.05 0.55 300 136.4891 0.8460
0.05 0.60 300 136.4845 0.8809
0.05 0.65 300 136.5149 0.9677
0.05 0.70 300 136.5350 1.0148
0.05 0.75 300 136.5174 1.0874
0.05 0.80 300 136.5566 1.1403
0.05 0.85 300 136.5760 1.1637
0.05 0.90 300 136.6262 1.1809
0.05 0.95 300 136.6408 1.2299
0.05 1.00 300 136.6361 1.2924
0.10 0.00 300 129.3951 0.2666
0.10 0.05 300 129.4366 0.2861
0.10 0.10 300 129.4142 0.3331
0.10 0.15 300 129.2604 0.4029
0.10 0.20 300 129.0725 0.5084
0.10 0.25 300 128.8866 0.6515
0.10 0.30 300 128.7921 0.8037
0.10 0.35 300 128.7703 0.9520
0.10 0.40 300 128.7522 1.0179
0.10 0.45 300 128.7559 1.1612
0.10 0.50 300 128.7711 1.2927
0.10 0.55 300 128.7512 1.3880
0.10 0.60 300 128.8239 1.4488
0.10 0.65 300 128.8808 1.5636
0.10 0.70 300 128.8387 1.6571
0.10 0.75 300 128.9820 1.7072
0.10 0.80 300 128.9963 1.8519
0.10 0.85 300 129.0514 1.8442
0.10 0.90 300 129.1432 1.9422
0.10 0.95 300 129.2745 1.9278
0.10 1.00 300 129.1770 2.0501
0.15 0.00 300 122.6589 0.3164
0.15 0.05 300 122.6791 0.3500
0.15 0.10 300 122.6501 0.4110
0.15 0.15 300 122.4171 0.5178
0.15 0.20 300 122.1219 0.6267
0.15 0.25 300 121.8696 0.8469
0.15 0.30 300 121.7487 1.0157
0.15 0.35 300 121.6824 1.2166
0.15 0.40 300 121.6394 1.3127
0.15 0.45 300 121.6415 1.4080
0.15 0.50 300 121.6192 1.6263
0.15 0.55 300 121.6144 1.7388
0.15 0.60 300 121.7574 1.8528
0.15 0.65 300 121.8118 2.0746
0.15 0.70 300 121.8616 2.1501
0.15 0.75 300 122.1882 2.1443
0.15 0.80 300 122.1008 2.1622
0.15 0.85 300 122.1245 2.3752
0.15 0.90 300 122.3152 2.4423
0.15 0.95 300 122.3851 2.4530
0.15 1.00 300 122.4598 2.6511
0.20 0.00 300 116.4187 0.3547
0.20 0.05 300 116.4667 0.3853
0.20 0.10 300 116.4087 0.4512
0.20 0.15 300 116.0886 0.5681
0.20 0.20 300 115.7261 0.7743
0.20 0.25 300 115.4210 0.9313
0.20 0.30 300 115.3371 1.1266
0.20 0.35 300 115.1722 1.2957
0.20 0.40 300 115.1907 1.4740
0.20 0.45 300 115.2494 1.6351
0.20 0.50 300 115.1970 1.7674
0.20 0.55 300 115.2715 2.0099
0.20 0.60 300 115.3485 2.1322
0.20 0.65 300 115.3137 2.2452
0.20 0.70 300 115.4330 2.4393
0.20 0.75 300 115.6774 2.5730
0.20 0.80 300 115.7308 2.6027
0.20 0.85 300 115.7525 2.7722
0.20 0.90 300 115.7484 2.8929
0.20 0.95 300 116.0965 2.8754
0.20 1.00 300 116.2137 3.0524
0.25 0.00 300 110.7006 0.3912
0.25 0.05 300 110.7334 0.4009
0.25 0.10 300 110.6368 0.4621
0.25 0.15 300 110.2207 0.6240
0.25 0.20 300 109.8305 0.7800
0.25 0.25 300 109.4932 0.9958
0.25 0.30 300 109.3151 1.2094
0.25 0.35 300 109.1787 1.3348
0.25 0.40 300 109.2953 1.5000
0.25 0.45 300 109.2000 1.7795
0.25 0.50 300 109.2881 1.8690
0.25 0.55 300 109.3719 2.1353
0.25 0.60 300 109.5849 2.2545
0.25 0.65 300 109.4981 2.5480
0.25 0.70 300 109.7197 2.5312
0.25 0.75 300 109.7509 2.8624
0.25 0.80 300 109.8482 2.8302
0.25 0.85 300 109.8143 3.0363
0.25 0.90 300 110.1650 2.9700
0.25 0.95 300 110.1739 3.3435
0.25 1.00 300 110.2017 3.2783
0.30 0.00 300 105.3832 0.3905
0.30 0.05 300 105.4025 0.4302
0.30 0.10 300 105.3234 0.5102
0.30 0.15 300 104.8519 0.6521
0.30 0.20 300 104.3732 0.8261
0.30 0.25 300 104.0883 1.0189
0.30 0.30 300 103.9047 1.2227
0.30 0.35 300 103.8431 1.4057
0.30 0.40 300 103.7499 1.5861
0.30 0.45 300 103.7813 1.8641
0.30 0.50 300 103.9179 2.0308
0.30 0.55 300 104.0969 2.1894
0.30 0.60 300 104.0211 2.3513
0.30 0.65 300 104.1615 2.5400
0.30 0.70 300 104.1472 2.7614
0.30 0.75 300 104.2404 2.9458
0.30 0.80 300 104.5282 3.0040
0.30 0.85 300 104.5361 3.1781
0.30 0.90 300 104.7509 3.3146
0.30 0.95 300 104.8452 3.4363
0.30 1.00 300 104.9060 3.4696
0.35 0.00 300 100.4904 0.3816
0.35 0.05 300 100.4699 0.4179
0.35 0.10 300 100.3903 0.4713
0.35 0.15 300 99.8509 0.6216
0.35 0.20 300 99.3579 0.8495
0.35 0.25 300 99.0289 1.0057
0.35 0.30 300 98.9244 1.1868
0.35 0.35 300 98.8254 1.4688
0.35 0.40 300 98.7260 1.5717
0.35 0.45 300 98.8570 1.7953
0.35 0.50 300 98.9303 2.0257
0.35 0.55 300 98.9593 2.2146
0.35 0.60 300 98.9806 2.3227
0.35 0.65 300 99.2986 2.5050
0.35 0.70 300 99.3093 2.7900
0.35 0.75 300 99.4653 2.8166
0.35 0.80 300 99.4294 3.0742
0.35 0.85 300 99.4390 3.2509
0.35 0.90 300 99.7797 3.3521
0.35 0.95 300 99.8628 3.4627
0.35 1.00 300 99.8532 3.5037
0.40 0.00 300 95.9123 0.3846
0.40 0.05 300 95.9284 0.4178
0.40 0.10 300 95.7909 0.4590
0.40 0.15 300 95.2313 0.6004
0.40 0.20 300 94.7162 0.8281
0.40 0.25 300 94.3932 0.9856
0.40 0.30 300 94.3306 1.1630
0.40 0.35 300 94.2647 1.3518
0.40 0.40 300 94.1754 1.5557
0.40 0.45 300 94.2206 1.7906
0.40 0.50 300 94.3303 1.9840
0.40 0.55 300 94.4012 2.0934
0.40 0.60 300 94.5155 2.2917
0.40 0.65 300 94.4962 2.4687
0.40 0.70 300 94.5866 2.6194
0.40 0.75 300 94.8115 2.8208
0.40 0.80 300 94.7850 3.0707
0.40 0.85 300 94.9481 3.1255
0.40 0.90 300 95.1504 3.2468
0.40 0.95 300 95.4215 3.4562
0.40 1.00 300 95.2724 3.5802
0.45 0.00 300 91.6993 0.3642
0.45 0.05 300 91.7102 0.3899
0.45 0.10 300 91.4948 0.4451
0.45 0.15 300 90.9461 0.5518
0.45 0.20 300 90.4413 0.7289
0.45 0.25 300 90.2029 0.9227
0.45 0.30 300 90.0553 1.1486
0.45 0.35 300 90.0081 1.2733
0.45 0.40 300 90.0235 1.4507
0.45 0.45 300 89.9503 1.7656
0.45 0.50 300 90.0343 1.9719
0.45 0.55 300 90.1432 2.0498
0.45 0.60 300 90.0512 2.2227
0.45 0.65 300 90.1935 2.3543
0.45 0.70 300 90.4409 2.4797
0.45 0.75 300 90.4561 2.5794
0.45 0.80 300 90.6887 2.9752
0.45 0.85 300 90.6466 3.0610
0.45 0.90 300 90.7439 3.1331
0.45 0.95 300 90.9853 3.3831
0.45 1.00 300 90.9565 3.4891
0.50 0.00 300 87.7767 0.3326
0.50 0.05 300 87.7635 0.3615
0.50 0.10 300 87.5425 0.4097
0.50 0.15 300 86.9738 0.5496
0.50 0.20 300 86.5346 0.7244
0.50 0.25 300 86.2966 0.8571
0.50 0.30 300 86.2116 1.0588
0.50 0.35 300 86.2129 1.2265
0.50 0.40 300 86.1954 1.4318
0.50 0.45 300 86.1763 1.5293
0.50 0.50 300 86.2223 1.7764
0.50 0.55 300 86.3102 1.9020
0.50 0.60 300 86.3933 2.1263
0.50 0.65 300 86.2748 2.2374
