Frac Clast T TCmean TCstd
0.05 0.00 300 136.7539 0.1451
0.05 0.05 300 136.7399 0.1434
0.05 0.10 300 136.7113 0.1903
0.05 0.15 300 136.6556 0.2430
0.05 0.20 300 136.5793 0.3117
0.05 0.25 300 136.5201 0.4033
0.05 0.30 300 136.4443 0.5099
0.05 0.35 300 136.4140 0.5850
0.05 0.40 300 136.4092 0.6573
0.05 0.45 300 136.4549 0.7045
0.05 0.50 300 136.4115 0.7491
0.05 0.55 300 136.4600 0.8260
0.05 0.60 300 136.4575 0.8641
0.05 0.65 300 136.4824 0.9410
0.05 0.70 300 136.5065 1.0071
0.05 0.75 300 136.4940 1.0572
0.05 0.80 300 136.5428 1.1109
0.05 0.85 300 136.5556 1.1306
0.05 0.90 300 136.6088 1.1554
0.05 0.95 300 136.6276 1.2061
0.05 1.00 300 136.6269 1.2568
0.10 0.00 300 129.4537 0.2359
0.10 0.05 300 129.4317 0.2512
0.10 0.10 300 129.3812 0.3069
0.10 0.15 300 129.2114 0.3867
0.10 0.20 300 129.0269 0.4890
0.10 0.25 300 128.8413 0.6352
0.10 0.30 300 128.7535 0.7885
0.10 0.35 300 128.7351 0.9381
0.10 0.40 300 128.7250 0.9867
0.10 0.45 300 128.7425 1.1383
0.10 0.50 300 128.7685 1.2625
0.10 0.55 300 128.7563 1.3430
0.10 0.60 300 128.8361 1.4023
0.10 0.65 300 128.9002 1.5166
0.10 0.70 300 128.8600 1.6080
0.10 0.75 300 129.0066 1.6537
0.10 0.80 300 129.0251 1.7946
0.10 0.85 300 129.0832 1.7688
0.10 0.90 300 129.1650 1.8940
0.10 0.95 300 129.3103 1.8718
0.10 1.00 300 129.2274 1.9684
0.15 0.00 300 122.7510 0.2820
0.15 0.05 300 122.7034 0.3176
0.15 0.10 300 122.6411 0.3814
0.15 0.15 300 122.3933 0.4948
0.15 0.20 300 122.0941 0.6054
0.15 0.25 300 121.8566 0.8274
0.15 0.30 300 121.7411 0.9915
0.15 0.35 300 121.6952 1.1825
0.15 0.40 300 121.6620 1.2706
0.15 0.45 300 121.6697 1.3664
0.15 0.50 300 121.6618 1.5752
0.15 0.55 300 121.6602 1.6855
0.15 0.60 300 121.8057 1.7927
0.15 0.65 300 121.8870 1.9923
0.15 0.70 300 121.9388 2.0692
0.15 0.75 300 122.2626 2.0648
0.15 0.80 300 122.1799 2.0754
0.15 0.85 300 122.2213 2.2900
0.15 0.90 300 122.4130 2.3555
0.15 0.95 300 122.4800 2.3747
0.15 1.00 300 122.5611 2.5486
0.20 0.00 300 116.5473 0.3241
0.20 0.05 300 116.5239 0.3561
0.20 0.10 300 116.4210 0.4325
0.20 0.15 300 116.0913 0.5513
0.20 0.20 300 115.7317 0.7525
0.20 0.25 300 115.4404 0.9070
0.20 0.30 300 115.3663 1.0940
0.20 0.35 300 115.2231 1.2591
0.20 0.40 300 115.2528 1.4343
0.20 0.45 300 115.3269 1.5725
0.20 0.50 300 115.2925 1.7075
0.20 0.55 300 115.3940 1.9394
0.20 0.60 300 115.4793 2.0544
0.20 0.65 300 115.4594 2.1528
0.20 0.70 300 115.5766 2.3360
0.20 0.75 300 115.8342 2.4619
0.20 0.80 300 115.8867 2.5011
0.20 0.85 300 115.9175 2.6636
0.20 0.90 300 115.9349 2.7725
0.20 0.95 300 116.2629 2.7538
0.20 1.00 300 116.3842 2.9298
0.25 0.00 300 110.8554 0.3524
0.25 0.05 300 110.8187 0.3754
0.25 0.10 300 110.6754 0.4445
0.25 0.15 300 110.2597 0.6035
0.25 0.20 300 109.8780 0.7602
0.25 0.25 300 109.5549 0.9681
0.25 0.30 300 109.3917 1.1713
0.25 0.35 300 109.2896 1.2941
0.25 0.40 300 109.4172 1.4479
0.25 0.45 300 109.3425 1.7160
0.25 0.50 300 109.4469 1.8026
0.25 0.55 300 109.5411 2.0471
0.25 0.60 300 109.7713 2.1530
0.25 0.65 300 109.7099 2.4427
0.25 0.70 300 109.9365 2.4281
0.25 0.75 300 109.9785 2.7391
0.25 0.80 300 110.0860 2.7082
0.25 0.85 300 110.0638 2.8960
0.25 0.90 300 110.4034 2.8414
0.25 0.95 300 110.4280 3.1933
0.25 1.00 300 110.4548 3.1381
0.30 0.00 300 105.5507 0.3634
0.30 0.05 300 105.5054 0.4075
0.30 0.10 300 105.3913 0.4827
0.30 0.15 300 104.9196 0.6333
0.30 0.20 300 104.4529 0.7987
0.30 0.25 300 104.1825 0.9851
0.30 0.30 300 104.0244 1.1985
0.30 0.35 300 103.9914 1.3631
0.30 0.40 300 103.9290 1.5369
0.30 0.45 300 103.9877 1.7846
0.30 0.50 300 104.1489 1.9435
0.30 0.55 300 104.3248 2.1037
0.30 0.60 300 104.2787 2.2431
0.30 0.65 300 104.4341 2.4065
0.30 0.70 300 104.4364 2.6251
0.30 0.75 300 104.5441 2.7977
0.30 0.80 300 104.8247 2.8598
0.30 0.85 300 104.8632 3.0245
0.30 0.90 300 105.0619 3.1569
0.30 0.95 300 105.1700 3.2661
0.30 1.00 300 105.2431 3.2951
0.35 0.00 300 100.6607 0.3568
0.35 0.05 300 100.5974 0.3997
0.35 0.10 300 100.4806 0.4524
0.35 0.15 300 99.9483 0.6103
0.35 0.20 300 99.4737 0.8227
0.35 0.25 300 99.1731 0.9783
0.35 0.30 300 99.0943 1.1554
0.35 0.35 300 99.0351 1.4185
0.35 0.40 300 98.9652 1.5083
0.35 0.45 300 99.1180 1.7184
0.35 0.50 300 99.2097 1.9323
0.35 0.55 300 99.2633 2.1195
0.35 0.60 300 99.3143 2.2087
0.35 0.65 300 99.6510 2.3841
0.35 0.70 300 99.6682 2.6459
0.35 0.75 300 99.8326 2.6647
0.35 0.80 300 99.8098 2.9130
0.35 0.85 300 99.8411 3.0629
0.35 0.90 300 100.1774 3.1722
0.35 0.95 300 100.2570 3.2823
0.35 1.00 300 100.2675 3.3050
0.40 0.00 300 96.0856 0.3651
0.40 0.05 300 96.0584 0.3992
0.40 0.10 300 95.9025 0.4453
0.40 0.15 300 95.3492 0.5883
0.40 0.20 300 94.8742 0.8038
0.40 0.25 300 94.5847 0.9503
0.40 0.30 300 94.5534 1.1193
0.40 0.35 300 94.5225 1.2997
0.40 0.40 300 94.4650 1.4793
0.40 0.45 300 94.5392 1.7123
0.40 0.50 300 94.6732 1.8834
0.40 0.55 300 94.7722 1.9803
0.40 0.60 300 94.8943 2.1808
0.40 0.65 300 94.9032 2.3425
0.40 0.70 300 95.0126 2.4763
0.40 0.75 300 95.2255 2.6685
0.40 0.80 300 95.2216 2.9108
0.40 0.85 300 95.3960 2.9514
0.40 0.90 300 95.6077 3.0654
0.40 0.95 300 95.8688 3.2710
0.40 1.00 300 95.7492 3.3745
0.45 0.00 300 91.8672 0.3472
0.45 0.05 300 91.8529 0.3751
0.45 0.10 300 91.6263 0.4361
0.45 0.15 300 91.1042 0.5392
0.45 0.20 300 90.6529 0.7086
0.45 0.25 300 90.4513 0.8932
0.45 0.30 300 90.3405 1.0994
0.45 0.35 300 90.3254 1.2211
0.45 0.40 300 90.3652 1.3864
0.45 0.45 300 90.3279 1.6736
0.45 0.50 300 90.4416 1.8741
0.45 0.55 300 90.5501 1.9523
0.45 0.60 300 90.4943 2.1024
0.45 0.65 300 90.6533 2.2199
0.45 0.70 300 90.9074 2.3335
0.45 0.75 300 90.9369 2.4267
0.45 0.80 300 91.1917 2.7944
0.45 0.85 300 91.1540 2.8699
0.45 0.90 300 91.2535 2.9397
0.45 0.95 300 91.5020 3.1771
0.45 1.00 300 91.4825 3.2837
0.50 0.00 300 87.9378 0.3218
0.50 0.05 300 87.9089 0.3464
0.50 0.10 300 87.6920 0.3967
0.50 0.15 300 87.1748 0.5402
0.50 0.20 300 86.7842 0.7049
0.50 0.25 300 86.5860 0.8267
0.50 0.30 300 86.5358 1.0189
0.50 0.35 300 86.5737 1.1771
0.50 0.40 300 86.5874 1.3701
0.50 0.45 300 86.5794 1.4517
0.50 0.50 300 86.6584 1.6804
0.50 0.55 300 86.7716 1.8097
0.50 0.60 300 86.8735 2.0094
0.50 0.65 300 86.7864 2.1043
0.50 0.70 300 86.9987 2.2892
0.50 0.75 300 87.0019 2.4307
0.50 0.80 300 87.2343 2.6335
0.50 0.85 300 87.3275 2.7352
0.50 0.90 300 87.4218 2.7814
0.50 0.95 300 87.3528 2.9940
0.50 1.00 300 87.6777 3.1949
0.55 0.00 300 83.2554 0.3024
0.55 0.05 300 83.0955 0.3270
0.55 0.10 300 82.8750 0.3777
0.55 0.15 300 82.6958 0.4865
0.55 0.20 300 82.6210 0.6292
0.55 0.25 300 82.7233 0.7898
0.55 0.30 300 82.7288 0.9443
0.55 0.35 300 82.7552 1.0759
0.55 0.40 300 82.9290 1.1648
0.55 0.45 300 82.9904 1.3238
0.55 0.50 300 83.0696 1.5411
0.55 0.55 300 83.1636 1.6628
