fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
00S1 7:0 297.1 39.02 3.49E+00 3.58E-11 4.20E-06 1 2.778 6.85E+02 1.466E-005 0.009629 1.458E-005 3.510E-008 0.25 
00S2 7:21 300.5 38.58 3.50E+00 6.47E-11 4.35E-06 1 2.712 6.89E+02 1.602E-005 0.01055 1.593E-005 8.344E-009 0.04963 
00S3 7:42 303.9 38.15 3.52E+00 1.13E-10 5.11E-06 1 2.685 7.16E+02 1.524E-005 0.01033 1.516E-005 4.921E-009 0.03141 
00S4 8:3 307.1 37.75 3.53E+00 1.93E-10 6.11E-06 1 2.686 7.33E+02 1.541E-005 0.01058 1.533E-005 8.412E-009 0.05188 
00S5 8:24 310 37.4 3.54E+00 3.43E-10 8.22E-06 1 2.771 7.60E+02 1.430E-005 0.009969 1.423E-005 3.557E-008 0.2507 
00S6 8:40 313.2 37.02 3.56E+00 5.72E-10 9.28E-06 1 2.747 7.73E+02 1.496E-005 0.01047 1.489E-005 6.753E-009 0.04332 
00S7 8:58 315.6 36.74 3.57E+00 9.00E-10 1.13E-05 1 2.791 7.74E+02 1.638E-005 0.01128 1.630E-005 1.863E-008 0.1013 
00S8 9:17 318.5 36.4 3.58E+00 1.30E-09 1.17E-05 1 2.719 7.92E+02 1.392E-005 0.009736 1.385E-005 3.382E-008 0.2508 
00S9 9:36 320.8 36.14 3.59E+00 1.73E-09 1.21E-05 1 2.65 7.94E+02 1.392E-005 0.009698 1.385E-005 3.368E-008 0.2508 
0S10 9:55 323.3 35.86 3.60E+00 2.08E-09 1.19E-05 1 2.545 7.95E+02 1.336E-005 0.009295 1.329E-005 3.083E-008 0.2496 
0S11 10:16 325.9 35.58 3.61E+00 2.74E-09 1.13E-05 1 2.436 7.76E+02 1.342E-005 0.009153 1.335E-005 3.042E-008 0.249 
0S12 10:37 328.3 35.32 3.63E+00 2.47E-09 8.71E-06 1 2.221 7.20E+02 1.654E-005 0.01074 1.645E-005 1.145E-008 0.06478 
0S13 11:1 330.6 35.07 3.64E+00 4.15E-09 1.14E-05 1 2.29 7.58E+02 1.417E-005 0.009402 1.409E-005 3.314E-008 0.2502 
0S14 11:21 333.5 34.77 3.65E+00 1.14E-08 2.64E-05 1 2.759 8.76E+02 1.380E-005 0.009226 1.372E-005 3.166E-008 0.2501 
0S15 11:52 336 34.51 3.66E+00 1.99E-08 4.16E-05 1 3.082 9.70E+02 1.380E-005 0.009066 1.373E-005 3.105E-008 0.2496 
