fname time Tem kT_1 n Rs Io Rsh Iph Voc Isc FF Pm Vm Im rmsre 
00L1 41766 320.21 36.208 1.048239682E+00 2.485086916E+00 2.066534084E-09 1.616883792E+04 1.521963964E-04 3.202093964E-01 1.488754356E-04 6.599756996E-01 3.146190839E-05 2.494096451E-01 1.261404881E-04 5.892096018E-02 
00L2 41920 320.03 36.228 1.046935133E+00 2.668003837E+00 1.992824412E-09 1.787320588E+04 1.520370856E-04 3.207071770E-01 1.490105196E-04 6.609928051E-01 3.158801533E-05 2.500717178E-01 1.262819216E-04 3.797651509E-01 
00L3 42026 319.96 36.236 1.046575738E+00 2.791696481E+00 1.971720675E-09 1.817650832E+04 1.514632422E-04 3.207655952E-01 1.485988352E-04 6.608156502E-01 3.149803821E-05 2.501852282E-01 1.258849245E-04 4.511402898E-01 
00L4 42126 319.92 36.241 1.126881382E+00 4.174468314E+00 5.117489631E-09 5.100987664E+04 1.486788090E-04 3.207965454E-01 1.486788090E-04 6.604029601E-01 3.149834732E-05 2.491715195E-01 1.264078997E-04 2.387493004E+00 
00L5 42220 319.91 36.242 9.736508784E-01 4.376605559E+00 7.004895578E-10 9.068999778E+03 1.554005644E-04 3.206186272E-01 1.484240843E-04 6.593851579E-01 3.137850845E-05 2.499501022E-01 1.255400618E-04 1.346012636E+00 
00L6 42320 319.9 36.243 1.013879151E+00 3.312385362E+00 1.272769160E-09 1.168671503E+04 1.534622687E-04 3.206304398E-01 1.482515537E-04 6.613134542E-01 3.143484785E-05 2.500028402E-01 1.257221667E-04 4.519771184E-01 
00L7 42420 319.9 36.243 1.020460455E+00 3.386509775E+00 1.419527714E-09 1.655220669E+04 1.516822674E-04 3.204279991E-01 1.484474951E-04 6.612031992E-01 3.145127659E-05 2.500540693E-01 1.257623882E-04 5.750780709E-01 
00L8 42516 319.9 36.243 1.014723854E+00 3.405065328E+00 1.309448525E-09 1.404671527E+04 1.520299652E-04 3.203824944E-01 1.481395091E-04 6.600468621E-01 3.132668572E-05 2.494942991E-01 1.255521572E-04 3.996877587E-01 
00L9 42614 319.91 36.242 1.012968122E+00 3.342334865E+00 1.260656253E-09 1.215096723E+04 1.534045542E-04 3.203322052E-01 1.483444457E-04 6.601037534E-01 3.136780256E-05 2.497025637E-01 1.256017031E-04 4.029680925E-01 
0L10 42716 319.9 36.243 1.005335969E+00 3.505057710E+00 1.150303917E-09 1.338090221E+04 1.521070929E-04 3.201593384E-01 1.479058184E-04 6.603670544E-01 3.127064439E-05 2.498961624E-01 1.251345240E-04 4.597599892E-01 
