N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 3.162e+15 310 1.142035219E+00 1.145702475E+00
1.468000E+10 3.162e+15 310 1.143200335E+00 1.145720473E+00
2.154000E+10 3.162e+15 310 1.144019119E+00 1.145746667E+00
3.162000E+10 3.162e+15 310 1.144603422E+00 1.145785797E+00
4.642000E+10 3.162e+15 310 1.145033152E+00 1.145841708E+00
6.813000E+10 3.162e+15 310 1.145369711E+00 1.145922334E+00
1.000000E+11 3.162e+15 310 1.145661702E+00 1.146039464E+00
1.468000E+11 3.162e+15 310 1.145948544E+00 1.146206883E+00
2.154000E+11 3.162e+15 310 1.146265616E+00 1.146442457E+00
3.162000E+11 3.162e+15 310 1.146647948E+00 1.146769206E+00
4.642000E+11 3.162e+15 310 1.147128910E+00 1.147212187E+00
6.813000E+11 3.162e+15 310 1.147704221E+00 1.147761521E+00
1.000000E+12 3.162e+15 310 1.148453515E+00 1.148493101E+00
1.468000E+12 3.162e+15 310 1.149933399E+00 1.150023543E+00
2.154000E+12 3.162e+15 310 1.154077872E+00 1.154155317E+00
3.162000E+12 3.162e+15 310 1.159472558E+00 1.159541547E+00
4.642000E+12 3.162e+15 310 1.161368385E+00 1.161378498E+00
6.813000E+12 3.162e+15 310 1.162053366E+00 1.162060366E+00
1.000000E+13 3.162e+15 310 1.162887890E+00 1.162892801E+00
