N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 3.162e+15 300 1.158899999E+00 1.161431919E+00
1.468000E+10 3.162e+15 300 1.159714155E+00 1.161448400E+00
2.154000E+10 3.162e+15 300 1.160286430E+00 1.161472496E+00
3.162000E+10 3.162e+15 300 1.160697219E+00 1.161507548E+00
4.642000E+10 3.162e+15 300 1.161005083E+00 1.161558379E+00
6.813000E+10 3.162e+15 300 1.161253962E+00 1.161631647E+00
1.000000E+11 3.162e+15 300 1.161478668E+00 1.161736505E+00
1.468000E+11 3.162e+15 300 1.161708787E+00 1.161884805E+00
2.154000E+11 3.162e+15 300 1.161971101E+00 1.162091340E+00
3.162000E+11 3.162e+15 300 1.162290987E+00 1.162373173E+00
4.642000E+11 3.162e+15 300 1.162689609E+00 1.162745846E+00
6.813000E+11 3.162e+15 300 1.163182957E+00 1.163221489E+00
1.000000E+12 3.162e+15 300 1.163774469E+00 1.163800894E+00
1.468000E+12 3.162e+15 300 1.165695587E+00 1.165842620E+00
2.154000E+12 3.162e+15 300 1.172318758E+00 1.172444270E+00
3.162000E+12 3.162e+15 300 1.175220409E+00 1.175229839E+00
4.642000E+12 3.162e+15 300 1.175055834E+00 1.175062247E+00
6.813000E+12 3.162e+15 300 1.175306048E+00 1.175310438E+00
1.000000E+13 3.162e+15 300 1.175528303E+00 1.175530628E+00
