T d154 d184 d214 d244
d 150 180 210 240
290 1.272985619E+00 1.273289736E+00 1.273267768E+00 1.273207873E+00
295 1.271891094E+00 1.271897812E+00 1.272065184E+00 1.271931589E+00
300 1.271370266E+00 1.271133628E+00 1.271235118E+00 1.271270876E+00
305 1.272121053E+00 1.271846029E+00 1.271931482E+00 1.272048702E+00
310 1.273729287E+00 1.273632457E+00 1.273439649E+00 1.273673013E+00
315 1.275712844E+00 1.275618006E+00 1.275354306E+00 1.275617386E+00
320 1.278788783E+00 1.278862587E+00 1.278330900E+00 1.278637122E+00
325 1.282249727E+00 1.282302015E+00 1.281902886E+00 1.281978067E+00
330 1.285635093E+00 1.285709395E+00 1.285553503E+00 1.285277039E+00
335 1.289551318E+00 1.289679104E+00 1.289434214E+00 1.289269587E+00
340 1.293389637E+00 1.293463752E+00 1.293233979E+00 1.293090512E+00
