Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000E+10 1.164895703E+00 1.190873322E+0 -2.597761900E-02 1.164895703E+00 1.190873322E+0 -2.597761900E-02
1.468000E+10 1.164921547E+00 1.105480383E+0 5.944116400E-02 1.164921547E+00 1.105480383E+0 5.944116400E-02
2.154000E+10 1.164958863E+00 1.058026989E+0 1.069318740E-01 1.164958863E+00 1.058026989E+0 1.069318740E-01
3.162000E+10 1.165013117E+00 1.031772224E+0 1.332408930E-01 1.165013117E+00 1.031772224E+0 1.332408930E-01
4.642000E+10 1.165091894E+00 1.017338197E+0 1.477536970E-01 1.165091894E+00 1.017338197E+0 1.477536970E-01
6.813000E+10 1.165205185E+00 1.009438528E+0 1.557666570E-01 1.165205185E+00 1.009438528E+0 1.557666570E-01
1.000000E+11 1.165366566E+00 1.005124466E+0 1.602421000E-01 1.165366566E+00 1.005124466E+0 1.602421000E-01
1.468000E+11 1.165594123E+00 1.002774975E+0 1.628191480E-01 1.165594123E+00 1.002774975E+0 1.628191480E-01
2.154000E+11 1.165908572E+00 1.001500476E+0 1.644080960E-01 1.165908572E+00 1.001500476E+0 1.644080960E-01
3.162000E+11 1.166334321E+00 1.000809023E+0 1.655252980E-01 1.166334321E+00 1.000809023E+0 1.655252980E-01
4.642000E+11 1.166892083E+00 1.000435276E+0 1.664568070E-01 1.166892083E+00 1.000435276E+0 1.664568070E-01
6.813000E+11 1.167594239E+00 1.000233830E+0 1.673604090E-01 1.167594239E+00 1.000233830E+0 1.673604090E-01
1.000000E+12 1.168436621E+00 1.000125365E+0 1.683112560E-01 1.168436621E+00 1.000125365E+0 1.683112560E-01
1.468000E+12 1.169392586E+00 1.000067076E+0 1.693255100E-01 1.169392586E+00 1.000067076E+0 1.693255100E-01
2.154000E+12 1.171127321E+00 1.000035854E+0 1.710914670E-01 1.171127321E+00 1.000035854E+0 1.710914670E-01
3.162000E+12 1.171869238E+00 1.000019119E+0 1.718501190E-01 1.171869238E+00 1.000019119E+0 1.718501190E-01
4.642000E+12 1.179858753E+00 1.000010177E+0 1.798485760E-01 1.179858753E+00 1.000010177E+0 1.798485760E-01
6.813000E+12 1.181188398E+00 1.000005411E+0 1.811829870E-01 1.181188398E+00 1.000005411E+0 1.811829870E-01
1.000000E+13 1.181696286E+00 1.000002873E+0 1.816934130E-01 1.181696286E+00 1.000002873E+0 1.816934130E-01
