fname time Tem kT_1 n1 Rs tau_n Rsh n2 tau_g rmsre 
00D1 32310 289.98 39.983 1.000000000E+00 8.746152630E-01 1.248808148E-05 6.481139896E+05 1.981745443E+00 6.679098273E-06 2.951970515E-02 
00D1 32310 289.98 39.983 1.000000000E+00 8.746152630E-01 1.248808148E-05 6.481139896E+05 1.981745443E+00 6.679098273E-06 2.951970515E-02 
00D1 32310 289.98 39.983 1.000000000E+00 8.746152630E-01 1.248808148E-05 6.481139896E+05 1.981745443E+00 6.679098273E-06 2.951970515E-02 
00D2 32446 289.96 39.986 1.000000000E+00 8.868221984E-01 1.206810751E-05 6.488153551E+05 2.030600988E+00 5.796176084E-06 4.166066169E-01 
00D2 32446 289.96 39.986 1.000000000E+00 8.868221984E-01 1.206810751E-05 6.488153551E+05 2.030600988E+00 5.796176084E-06 4.166066169E-01 
00D2 32446 289.96 39.986 1.000000000E+00 8.868221984E-01 1.206810751E-05 6.488153551E+05 2.030600988E+00 5.796176084E-06 4.166066169E-01 
00D3 32588 289.96 39.986 1.000000000E+00 8.500271980E-01 1.250865046E-05 5.914998391E+05 1.947273353E+00 7.221133395E-06 2.287965924E-02 
00D3 32588 289.96 39.986 1.000000000E+00 8.500271980E-01 1.250865046E-05 5.914998391E+05 1.947273353E+00 7.221133395E-06 2.287965924E-02 
00D3 32588 289.96 39.986 1.000000000E+00 8.500271980E-01 1.250865046E-05 5.914998391E+05 1.947273353E+00 7.221133395E-06 2.287965924E-02 
00D4 33208 292.62 39.622 1.000000000E+00 8.723934067E-01 1.260005029E-05 5.803736058E+05 1.952232984E+00 7.340949597E-06 2.891701021E-02 
00D4 33208 292.62 39.622 1.000000000E+00 8.912201412E-01 1.226903597E-05 5.987187556E+05 2.009952396E+00 6.124924098E-06 2.862438046E-02 
00D4 33208 292.62 39.622 1.000000000E+00 8.912201412E-01 1.226903597E-05 5.987187556E+05 2.009952396E+00 6.124924098E-06 2.862438046E-02 
00D5 33312 292.61 39.623 1.000000000E+00 8.767588413E-01 1.241068368E-05 5.394580185E+05 1.957319200E+00 7.209057445E-06 1.912918234E-02 
00D5 33312 292.61 39.623 1.000000000E+00 8.767588413E-01 1.241068368E-05 5.394580185E+05 1.957319200E+00 7.209057445E-06 1.912918234E-02 
00D5 33312 292.61 39.623 1.000000000E+00 8.767588413E-01 1.241068368E-05 5.394580185E+05 1.957319200E+00 7.209057445E-06 1.912918234E-02 
00D6 33430 292.6 39.625 1.000000000E+00 8.592081529E-01 1.266645653E-05 5.444990569E+05 1.948026215E+00 7.285547614E-06 4.010231497E-02 
00D6 33430 292.6 39.625 1.000000000E+00 8.592081529E-01 1.266645653E-05 5.444990569E+05 1.948026215E+00 7.285547614E-06 4.010231497E-02 
00D6 33430 292.6 39.625 1.000000000E+00 8.592081529E-01 1.266645653E-05 5.444990569E+05 1.948026215E+00 7.285547614E-06 4.010231497E-02 
00D7 34398 295.09 39.29 1.000000000E+00 8.303576816E-01 1.221113970E-05 4.919821724E+05 1.943121969E+00 7.823303415E-06 2.512211585E-02 
00D7 34398 295.09 39.29 1.000000000E+00 8.303576816E-01 1.221113970E-05 4.919821724E+05 1.943121969E+00 7.823303415E-06 2.512211585E-02 
00D7 34398 295.09 39.29 1.000000000E+00 8.303576816E-01 1.221113970E-05 4.919821724E+05 1.943121969E+00 7.823303415E-06 2.512211585E-02 
00D8 34512 295.07 39.293 1.000000000E+00 9.337032280E-01 1.068881954E-05 5.413275213E+05 2.088253746E+00 5.214575123E-06 2.547981212E-02 
00D8 34512 295.07 39.293 1.000000000E+00 9.337032280E-01 1.068881954E-05 5.413275213E+05 2.088253746E+00 5.214575123E-06 2.547981212E-02 
00D8 34512 295.07 39.293 1.000000000E+00 9.337032280E-01 1.068881954E-05 5.413275213E+05 2.088253746E+00 5.214575123E-06 2.547981212E-02 
00D9 34640 295.06 39.294 1.000000000E+00 8.526449895E-01 1.226760338E-05 4.712545335E+05 1.923987724E+00 7.801228689E-06 2.202336491E-02 
00D9 34640 295.06 39.294 1.000000000E+00 8.526449895E-01 1.226760338E-05 4.712545335E+05 1.923987724E+00 7.801228689E-06 2.202336491E-02 
00D9 34640 295.06 39.294 1.000000000E+00 8.526449895E-01 1.226760338E-05 4.712545335E+05 1.923987724E+00 7.801228689E-06 2.202336491E-02 
0D10 35594 297.58 38.962 1.000000000E+00 8.882143933E-01 1.147628711E-05 4.432471305E+05 1.927653068E+00 8.116892088E-06 1.939326853E-02 
0D10 35594 297.58 38.962 1.000000000E+00 8.882143933E-01 1.147628711E-05 4.432471305E+05 1.927653068E+00 8.116892088E-06 1.939326853E-02 
0D10 35594 297.58 38.962 1.000000000E+00 8.882143933E-01 1.147628711E-05 4.432471305E+05 1.927653068E+00 8.116892088E-06 1.939326853E-02 
0D11 35688 297.57 38.963 1.000000000E+00 8.527725805E-01 1.148120172E-05 4.548552032E+05 2.006373628E+00 6.489073205E-06 3.325830422E-02 
0D11 35688 297.57 38.963 1.000000000E+00 8.527725805E-01 1.148120172E-05 4.548552032E+05 2.006373628E+00 6.489073205E-06 3.325830422E-02 
0D11 35688 297.57 38.963 1.000000000E+00 8.527725805E-01 1.148120172E-05 4.548552032E+05 2.006373628E+00 6.489073205E-06 3.325830422E-02 
0D12 35796 297.57 38.963 1.000000000E+00 8.498252412E-01 1.150396620E-05 4.481967430E+05 1.993698931E+00 6.485482110E-06 1.819760747E-02 
0D12 35796 297.57 38.963 1.000000000E+00 8.498252412E-01 1.150396620E-05 4.481967430E+05 1.993698931E+00 6.485482110E-06 1.819760747E-02 
0D12 35796 297.57 38.963 1.000000000E+00 8.498252412E-01 1.150396620E-05 4.481967430E+05 1.993698931E+00 6.485482110E-06 1.819760747E-02 
0D13 36656 300.07 38.638 1.000000000E+00 8.276901828E-01 1.152280047E-05 3.851205462E+05 1.880110044E+00 9.234500999E-06 1.705925525E-02 
0D13 36656 300.07 38.638 1.000000000E+00 8.276901828E-01 1.152280047E-05 3.851205462E+05 1.880110044E+00 9.234500999E-06 1.705925525E-02 
0D13 36656 300.07 38.638 1.000000000E+00 8.276901828E-01 1.152280047E-05 3.851205462E+05 1.880110044E+00 9.234500999E-06 1.705925525E-02 
0D14 36760 300.06 38.64 1.000000000E+00 8.410298879E-01 1.123001835E-05 4.012477858E+05 1.998263572E+00 6.630111640E-06 1.930834090E-02 
0D14 36760 300.06 38.64 1.000000000E+00 8.410298879E-01 1.123001835E-05 4.012477858E+05 1.998263572E+00 6.630111640E-06 1.930834090E-02 
0D14 36760 300.06 38.64 1.000000000E+00 8.410298879E-01 1.123001835E-05 4.012477858E+05 1.998263572E+00 6.630111640E-06 1.930834090E-02 
