N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe
1.000000E+10 5.623E+16 300 2.800E-4 3.384350E-1 2.631480E+1 4.864130E-1 7.992610E+1
1.468000E+10 5.623E+16 300 2.800E-4 3.375574E-1 2.623860E+1 4.862880E-1 7.992240E+1
2.154000E+10 5.623E+16 300 2.800E-4 3.362894E-1 2.612860E+1 4.861080E-1 7.991710E+1
3.162000E+10 5.623E+16 300 2.800E-4 3.344699E-1 2.597090E+1 4.858490E-1 7.990930E+1
4.642000E+10 5.623E+16 300 2.800E-4 3.318851E-1 2.574710E+1 4.854810E-1 7.989810E+1
6.813000E+10 5.623E+16 300 2.800E-4 3.282640E-1 2.543390E+1 4.849640E-1 7.988210E+1
1.000000E+11 5.623E+16 300 2.800E-4 3.232873E-1 2.500430E+1 4.842500E-1 7.985930E+1
1.468000E+11 5.623E+16 300 2.800E-4 3.166194E-1 2.443010E+1 4.832860E-1 7.982750E+1
2.154000E+11 5.623E+16 300 2.800E-4 3.079714E-1 2.368770E+1 4.820210E-1 7.978410E+1
3.162000E+11 5.623E+16 300 2.800E-4 2.971877E-1 2.276570E+1 4.804120E-1 7.972680E+1
4.642000E+11 5.623E+16 300 2.800E-4 2.843208E-1 2.167060E+1 4.783420E-1 7.966950E+1
6.813000E+11 5.623E+16 300 2.800E-4 2.696437E-1 2.042790E+1 4.758860E-1 7.959750E+1
1.000000E+12 5.623E+16 300 2.800E-4 2.535696E-1 1.907460E+1 4.730860E-1 7.950380E+1
1.468000E+12 5.623E+16 300 2.800E-4 2.365228E-1 1.764830E+1 4.699390E-1 7.938840E+1
2.154000E+12 5.623E+16 300 2.800E-4 2.188505E-1 1.617940E+1 4.662480E-1 7.928070E+1
3.162000E+12 5.623E+16 300 2.800E-4 2.008248E-1 1.469240E+1 4.622350E-1 7.913760E+1
4.642000E+12 5.623E+16 300 2.800E-4 1.826997E-1 1.320990E+1 4.577240E-1 7.898200E+1
6.813000E+12 5.623E+16 300 2.800E-4 1.647516E-1 1.175600E+1 4.527550E-1 7.880140E+1
1.000000E+13 5.623E+16 300 2.800E-4 1.472744E-1 1.035530E+1 4.472930E-1 7.859860E+1
1.468000E+13 5.623E+16 300 2.800E-4 1.305477E-1 9.030700E+0 4.413980E-1 7.835970E+1
2.154000E+13 5.623E+16 300 2.800E-4 1.148080E-1 7.800400E+0 4.349510E-1 7.810420E+1
3.162000E+13 5.623E+16 300 2.800E-4 1.002327E-1 6.677100E+0 4.281220E-1 7.779970E+1
4.642000E+13 5.623E+16 300 2.800E-4 8.693423E-2 5.667500E+0 4.208590E-1 7.745140E+1
6.813000E+13 5.623E+16 300 2.800E-4 7.496397E-2 4.773100E+0 4.130930E-1 7.706700E+1
1.000000E+14 5.623E+16 300 2.800E-4 6.431964E-2 3.991000E+0 4.049330E-1 7.661770E+1
