d81a 1.12503E+21
d81b 1.67105E+21
d81c 1.2E+21
d82a 1.29358E+21
d82b 1.52009E+21
d83a 1.47478E+21
d83b 1.09106E+21
d84a 1.22593E+21
d84b 1.14129E+21
d41 1.38749E+21
d42 1.13106E+21
d43b 1.23205E+21
d43s 1.18656E+21
d44b 1.27835E+21
d44s 1.17078E+21
d51a 1.38196E+21
d51b 1.39181E+21
d51c 1.50737E+21
d51d 1.55803E+21
d52a 1.59911E+21
d52b 1.96643E+21
d53a 1.33261E+21
d53b 1.13241E+21
d53c 1.46606E+21
d54a 1.66626E+21
d54b 1.36662E+21
d54c 1.82710E+21
d61a 1.20165E+21
d61c 1.80418E+21
d62a 1.53047E+21
d62b 1.23477E+21
d63a 1.54785E+21
d63b 1.11970E+21
d64a 1.17783E+21
d64b 1.32082E+21
d71a 1.12156E+21
d71b 1.03413E+21
d72a 8.47503E+20
d72b 1.18363E+21
d72c 9.91199E+20
d73a 1.39002E+21
d73b 1.22448E+21
d73c 1.40685E+21
d74a 8.57647E+20
d74b 1.22213E+21
d31 1.90E+21
d33a 1.51105E+21
d33b 1.56433E+21
d34 1.85206E+21
d35 1.40163E+21
