T d154 d184 d214 d244
d 150 180 210 240
290 1.210059524E+00 1.210148754E+00 1.209819648E+00 1.209433831E+00
295 1.205531727E+00 1.205984275E+00 1.205834505E+00 1.204316208E+00
300 1.195774731E+00 1.196902568E+00 1.197146684E+00 1.195805424E+00
305 1.175139948E+00 1.177549215E+00 1.178590977E+00 1.177638381E+00
310 1.134345620E+00 1.139191435E+00 1.141796109E+00 1.141609155E+00
315 1.061297028E+00 1.070326316E+00 1.075726196E+00 1.076904384E+00
320 1.018772829E+00 1.017623024E+00 1.016953634E+00 1.016587833E+00
325 1.020042288E+00 1.018516145E+00 1.017632534E+00 1.017152561E+00
330 1.023756227E+00 1.021523573E+00 1.020190854E+00 1.019456280E+00
335 1.030771648E+00 1.027338693E+00 1.025170404E+00 1.023928233E+00
340 1.042181740E+00 1.036947622E+00 1.033387099E+00 1.031193204E+00
