N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.033508521E+00 1.032407461E+00 1.031441945E+00 1.030545220E+00
1.600000000E+01 1.239536892E+00 1.232002425E+00 1.223645829E+00 1.218951730E+00
1.700000000E+01 1.317277894E+00 1.313999194E+00 1.310695761E+00 1.308612901E+00
1.549996187E+01 1.011384418E+00 1.010201313E+00 1.009355309E+00 1.008692727E+00
1.649996187E+01 1.288913847E+00 1.285900306E+00 1.282376935E+00 1.279226019E+00
1.674996808E+01 1.304719979E+00 1.300444315E+00 1.297873088E+00 1.295008818E+00
1.624993176E+01 1.270817031E+00 1.266107064E+00 1.261595448E+00 1.257303055E+00
1.574996808E+01 1.167629135E+00 1.152750906E+00 1.140053324E+00 1.130058235E+00
1.524993176E+01 1.016111991E+00 1.015070096E+00 1.014246028E+00 1.013558822E+00
