Complexity,Loss,Equation
1,0.3123348,"2.7430215"
2,0.31233478,"log(15.534028)"
4,0.009434512,"3.5402799 / exp(por)"
5,0.0037282207,"-2.7037525 * (-1.2879769 + por)"
7,0.0034662157,"((por ^ 1.0790163) + -1.247249) * -2.75853"
8,0.0034297386,"-2.8593478 * (-0.7311831 + tanh(por + -0.51341534))"
9,0.0011465381,"((-2.7146819 * por) + 3.4693608) + (0.9979331 ^ lb)"
10,0.0006240434,"((-2.690887 * por) + 3.4578254) / cos(-293.1016 / lb)"
11,0.0005607392,"((-2.677539 * por) + 3.4603508) ^ (1.6220474 ^ (0.9975148 ^ lb))"
12,0.0002301452,"(3.4073355 + (-2.758373 * (por ^ 1.0963478))) / cos(-296.73022 / lb)"
13,0.00016473091,"(((por ^ 1.0965512) * -2.7468536) + 3.4108944) ^ (1.6432239 ^ (0.9975148 ^ lb))"
14,0.00012603273,"((((por ^ 1.0963703) * -2.7388873) + 2.2504015) / cos(376.27567 / lb)) + 1.1533955"
15,0.00010891396,"((2.2099621 + (-2.9979868 * sin(por ^ 1.1895592))) / cos(-380.43866 / lb)) + 1.172911"
16,9.129512e-5,"1.2277404 + (((2.0211396 + ((por ^ 1.1595613) * -2.5104141)) ^ 1.0961715) / cos(-384.7217 / lb))"
17,8.287356e-5,"(((sin((por + 0.12605195) ^ 1.3556478) * -2.8868082) + 2.376247) / cos(-381.466 / lb)) + 1.1934015"
18,6.8344365e-5,"((2.2375724 + (((por ^ 9.321686) + -2.795756) * (por ^ 1.1266198))) / cos(-377.87405 / lb)) + 1.1573077"
19,6.83354e-5,"((((por ^ 1.1271652) * ((por ^ PowInv(0.1079475)) + -2.796755)) + 2.2374527) / cos(-377.87405 / lb)) + 1.1572583"
20,6.16085e-5,"((2.3287475 + (((por + 0.07256679) ^ 1.173652) * (-2.7207525 + (por ^ 9.321608)))) / cos(-381.46475 / lb)) + 1.201253"
21,6.0113813e-5,"((2.3537235 + (((por ^ PowInv(0.1136969)) + -2.7183905) * ((por + 0.08179946) ^ 1.1873952))) / cos(-380.43866 / lb)) + 1.1893824"
22,5.8077323e-5,"1.1599135 + ((2.3408186 + (((0.08980546 + por) ^ 1.2658826) * (-2.7668004 + (por ^ (por / 0.12429309))))) / cos(377.1468 / lb))"
23,5.7449888e-5,"((2.3541157 + ((-2.7494578 + sin(por ^ (por / 0.12866141))) * ((por + 0.10413223) ^ 1.2844056))) / cos(-377.50156 / lb)) + 1.1636943"
25,5.7030935e-5,"((2.3414376 + ((-2.7458162 + tanh((por + 0.022203023) ^ (9.448392 * por))) * ((por + 0.09259181) ^ 1.2653608))) / cos(377.69177 / lb)) + 1.1652813"
