Ytrue por Lambda Ypred RelError
2.756100e+00 2.700000e+01 7.013000e+03 2.760489e+00 1.592581e-03
2.812230e+00 2.600000e+01 2.680000e+03 2.800821e+00 4.057010e-03
3.080490e+00 1.400000e+01 5.329000e+03 3.092370e+00 3.856484e-03
2.828490e+00 2.500000e+01 3.063000e+03 2.823456e+00 1.779700e-03
3.359370e+00 3.000000e+00 6.270000e+03 3.345852e+00 4.023899e-03
1.602150e+00 6.800000e+01 7.426000e+03 1.601544e+00 3.783198e-04
2.382480e+00 4.100000e+01 7.613000e+03 2.374211e+00 3.470926e-03
2.734770e+00 2.900000e+01 2.134000e+03 2.729256e+00 2.016325e-03
1.399850e+00 7.600000e+01 7.830000e+03 1.401655e+00 1.289133e-03
1.772310e+00 6.200000e+01 3.350000e+03 1.771213e+00 6.192374e-04
1.573390e+00 6.900000e+01 2.101000e+03 1.580995e+00 4.833275e-03
1.350850e+00 7.900000e+01 1.569000e+03 1.343445e+00 5.481512e-03
2.561250e+00 3.400000e+01 4.894000e+03 2.572951e+00 4.568577e-03
1.563130e+00 6.900000e+01 8.622000e+03 1.574671e+00 7.382978e-03
1.991430e+00 5.400000e+01 7.903000e+03 1.998762e+00 3.681681e-03
3.144600e+00 1.200000e+01 2.678000e+03 3.155026e+00 3.315549e-03
3.049570e+00 1.600000e+01 2.932000e+03 3.054635e+00 1.660859e-03
2.244130e+00 4.600000e+01 5.468000e+03 2.232174e+00 5.327761e-03
2.371620e+00 4.100000e+01 7.145000e+03 2.374412e+00 1.177307e-03
3.434140e+00 3.000000e+00 1.236000e+03 3.447597e+00 3.918591e-03
2.631190e+00 3.200000e+01 8.101000e+03 2.625211e+00 2.272317e-03
1.442310e+00 7.400000e+01 6.187000e+03 1.448239e+00 4.110906e-03
1.585070e+00 6.900000e+01 1.131000e+03 1.598260e+00 8.321143e-03
2.433270e+00 3.900000e+01 3.679000e+03 2.436004e+00 1.123697e-03
2.147660e+00 4.900000e+01 7.778000e+03 2.144092e+00 1.661266e-03
3.218540e+00 1.000000e+01 2.318000e+03 3.209289e+00 2.874418e-03
1.333830e+00 8.000000e+01 1.276000e+03 1.326357e+00 5.602909e-03
3.322860e+00 4.000000e+00 6.742000e+03 3.322621e+00 7.189292e-05
4.019850e+00 1.000000e+00 5.550000e+02 4.024900e+00 1.256327e-03
2.368250e+00 4.100000e+01 3.423000e+03 2.380113e+00 5.008990e-03
1.763500e+00 6.500000e+01 6.700000e+02 1.778012e+00 8.228909e-03
2.137410e+00 4.900000e+01 9.350000e+03 2.143736e+00 2.959823e-03
2.259480e+00 4.500000e+01 6.880000e+03 2.260056e+00 2.550544e-04
2.752780e+00 2.700000e+01 4.891000e+03 2.762938e+00 3.689951e-03
1.510900e+00 7.200000e+01 6.588000e+03 1.497289e+00 9.008661e-03
2.264920e+00 4.500000e+01 1.090100e+04 2.259063e+00 2.585937e-03
3.037640e+00 1.700000e+01 2.995000e+03 3.029206e+00 2.776464e-03
1.602680e+00 6.800000e+01 1.094800e+04 1.601238e+00 8.995338e-04
2.519280e+00 3.600000e+01 7.761000e+03 2.514953e+00 1.717643e-03
2.413830e+00 4.000000e+01 7.382000e+03 2.402690e+00 4.615242e-03
2.962600e+00 1.900000e+01 7.564000e+03 2.966905e+00 1.453062e-03
3.225360e+00 8.000000e+00 9.629000e+03 3.230013e+00 1.442600e-03
2.508460e+00 3.700000e+01 2.577000e+03 2.499770e+00 3.464428e-03
2.282990e+00 4.400000e+01 8.288000e+03 2.288278e+00 2.316247e-03
2.063860e+00 5.200000e+01 1.130800e+04 2.056393e+00 3.617790e-03
2.850140e+00 2.400000e+01 2.962000e+03 2.850636e+00 1.738522e-04
1.677860e+00 6.500000e+01 7.933000e+03 1.683642e+00 3.446299e-03
2.955180e+00 1.900000e+01 5.503000e+03 2.968905e+00 4.644548e-03
2.297960e+00 4.400000e+01 1.982000e+03 2.307801e+00 4.282624e-03
2.295720e+00 5.200000e+01 5.730000e+02 2.292039e+00 1.603605e-03
2.343950e+00 4.200000e+01 2.845000e+03 2.354746e+00 4.605972e-03
1.537420e+00 7.000000e+01 8.855000e+03 1.548321e+00 7.090589e-03
1.891450e+00 5.800000e+01 4.409000e+03 1.884589e+00 3.627626e-03
1.599600e+00 6.800000e+01 1.116200e+04 1.601228e+00 1.018038e-03
3.407110e+00 2.000000e+00 1.822000e+03 3.412879e+00 1.693207e-03
2.268310e+00 4.500000e+01 1.069300e+04 2.259089e+00 4.065198e-03
3.233140e+00 8.000000e+00 9.399000e+03 3.230092e+00 9.428558e-04
3.300650e+00 5.000000e+00 8.866000e+03 3.298573e+00 6.292686e-04
2.451160e+00 3.800000e+01 5.639000e+03 2.460348e+00 3.748609e-03
1.936880e+00 5.600000e+01 5.674000e+03 1.941509e+00 2.390139e-03
2.496580e+00 3.700000e+01 9.480000e+03 2.486508e+00 4.034119e-03
2.539250e+00 4.200000e+01 7.220000e+02 2.526329e+00 5.088662e-03
3.075890e+00 1.600000e+01 1.592000e+03 3.092969e+00 5.552591e-03
3.106510e+00 1.300000e+01 8.390000e+03 3.113477e+00 2.242840e-03
3.292140e+00 6.000000e+00 3.800000e+03 3.284462e+00 2.332172e-03
2.025890e+00 5.300000e+01 1.167200e+04 2.027303e+00 6.972470e-04
3.180460e+00 1.200000e+01 1.734000e+03 3.182937e+00 7.788646e-04
1.468470e+00 7.300000e+01 1.149900e+04 1.472087e+00 2.463432e-03
2.484230e+00 3.700000e+01 6.623000e+03 2.487610e+00 1.360525e-03
