Ytrue por Lambda Ypred RelError
1.381480e+00 7.700000e+01 9.492000e+03 1.379577e+00 1.377730e-03
2.977150e+00 1.900000e+01 2.412000e+03 2.986945e+00 3.289926e-03
3.073640e+00 1.500000e+01 1.157000e+04 3.064371e+00 3.015777e-03
1.449120e+00 7.400000e+01 4.558000e+03 1.448687e+00 2.990854e-04
2.892230e+00 2.300000e+01 1.837000e+03 2.899383e+00 2.473312e-03
2.379400e+00 4.100000e+01 3.540000e+03 2.379630e+00 9.659712e-05
1.645410e+00 6.600000e+01 4.143000e+03 1.657453e+00 7.318912e-03
1.448300e+00 7.400000e+01 1.071700e+04 1.447886e+00 2.858568e-04
2.609860e+00 3.300000e+01 7.473000e+03 2.598093e+00 4.508822e-03
3.071790e+00 1.500000e+01 3.306000e+03 3.075811e+00 1.309052e-03
2.912560e+00 2.100000e+01 9.745000e+03 2.915451e+00 9.926060e-04
3.018770e+00 1.700000e+01 8.416000e+03 3.016270e+00 8.280457e-04
3.244350e+00 8.000000e+00 6.727000e+03 3.231680e+00 3.905099e-03
2.088380e+00 5.100000e+01 8.094000e+03 2.085936e+00 1.170472e-03
1.607910e+00 6.800000e+01 2.606000e+03 1.605607e+00 1.432483e-03
3.144960e+00 1.200000e+01 7.167000e+03 3.138012e+00 2.209188e-03
2.433670e+00 3.900000e+01 6.908000e+03 2.431204e+00 1.013158e-03
1.851940e+00 6.400000e+01 5.890000e+02 1.846443e+00 2.968032e-03
1.431300e+00 7.500000e+01 8.256000e+03 1.424444e+00 4.789911e-03
2.896210e+00 2.200000e+01 4.290000e+03 2.895292e+00 3.169734e-04
1.891940e+00 5.800000e+01 1.011600e+04 1.882448e+00 5.016997e-03
3.127860e+00 1.200000e+01 6.693000e+03 3.138414e+00 3.374283e-03
3.374450e+00 2.000000e+00 1.004000e+04 3.366332e+00 2.405819e-03
2.270720e+00 4.500000e+01 1.060400e+04 2.259100e+00 5.117151e-03
3.224100e+00 1.000000e+01 1.835000e+03 3.225702e+00 4.968715e-04
1.791610e+00 6.100000e+01 5.448000e+03 1.797341e+00 3.198720e-03
2.423520e+00 4.000000e+01 2.591000e+03 2.414320e+00 3.795976e-03
1.949310e+00 5.600000e+01 1.088900e+04 1.940255e+00 4.645144e-03
1.325110e+00 8.000000e+01 6.205000e+03 1.319578e+00 4.174551e-03
2.765360e+00 2.700000e+01 3.116000e+03 2.769950e+00 1.659719e-03
1.457410e+00 7.400000e+01 8.743000e+03 1.447975e+00 6.474050e-03
2.424820e+00 3.900000e+01 8.220000e+03 2.430648e+00 2.403485e-03
1.486610e+00 7.300000e+01 1.494000e+03 1.482030e+00 3.081083e-03
2.595980e+00 3.300000e+01 7.623000e+03 2.598021e+00 7.863052e-04
1.507630e+00 7.200000e+01 2.538000e+03 1.500460e+00 4.756042e-03
2.870110e+00 2.300000e+01 3.067000e+03 2.875816e+00 1.988126e-03
2.105650e+00 5.000000e+01 5.473000e+03 2.116215e+00 5.017464e-03
2.284210e+00 4.400000e+01 6.576000e+03 2.288965e+00 2.081794e-03
2.463610e+00 3.900000e+01 2.125000e+03 2.449549e+00 5.707532e-03
2.451740e+00 3.800000e+01 1.038500e+04 2.458299e+00 2.675330e-03
2.321570e+00 4.300000e+01 9.533000e+03 2.316641e+00 2.123083e-03
2.094630e+00 5.100000e+01 6.227000e+03 2.086628e+00 3.820153e-03
3.093250e+00 1.400000e+01 1.140400e+04 3.088587e+00 1.507412e-03
3.334840e+00 4.000000e+00 1.147400e+04 3.320405e+00 4.328585e-03
2.052660e+00 5.200000e+01 2.410000e+03 2.066955e+00 6.963911e-03
3.061400e+00 1.500000e+01 5.192000e+03 3.068391e+00 2.283712e-03
2.521800e+00 3.600000e+01 5.394000e+03 2.516667e+00 2.035589e-03
3.140780e+00 1.600000e+01 1.178000e+03 3.139574e+00 3.839807e-04
2.986300e+00 1.900000e+01 3.224000e+03 2.977076e+00 3.088626e-03
1.680850e+00 6.500000e+01 6.167000e+03 1.684028e+00 1.890933e-03
1.535250e+00 7.100000e+01 5.217000e+03 1.523050e+00 7.946489e-03
3.318810e+00 5.000000e+00 4.265000e+03 3.305021e+00 4.154951e-03
1.656620e+00 6.900000e+01 6.160000e+02 1.665613e+00 5.428736e-03
2.128890e+00 5.000000e+01 8.289000e+03 2.114936e+00 6.554404e-03
1.705980e+00 6.500000e+01 1.819000e+03 1.694442e+00 6.763007e-03
2.631480e+00 3.200000e+01 3.624000e+03 2.631581e+00 3.846126e-05
3.026360e+00 1.700000e+01 4.428000e+03 3.021153e+00 1.720555e-03
1.760880e+00 6.200000e+01 3.083000e+03 1.771913e+00 6.265727e-03
2.297420e+00 4.400000e+01 3.705000e+03 2.292968e+00 1.937672e-03
2.463830e+00 3.800000e+01 9.693000e+03 2.458426e+00 2.193428e-03
2.962530e+00 1.900000e+01 3.476000e+03 2.975333e+00 4.321563e-03
3.211300e+00 9.000000e+00 8.400000e+03 3.207475e+00 1.191236e-03
3.015520e+00 1.800000e+01 2.240000e+03 3.015872e+00 1.166376e-04
1.579160e+00 6.900000e+01 7.293000e+03 1.574827e+00 2.743640e-03
3.312370e+00 7.000000e+00 1.461000e+03 3.322961e+00 3.197403e-03
1.865920e+00 5.900000e+01 2.711000e+03 1.859874e+00 3.240207e-03
3.253300e+00 7.000000e+00 3.618000e+03 3.262697e+00 2.888360e-03
2.571630e+00 3.400000e+01 9.288000e+03 2.569922e+00 6.640861e-04
2.600970e+00 3.300000e+01 4.845000e+03 2.600622e+00 1.336699e-04
1.869710e+00 6.300000e+01 6.240000e+02 1.863212e+00 3.475643e-03
2.488140e+00 3.900000e+01 1.330000e+03 2.482062e+00 2.442670e-03
2.832440e+00 2.400000e+01 1.058900e+04 2.838017e+00 1.969109e-03
