N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.000000E+10 1.000E+15 303 1.500E-4 1.123981703E+00 1.124254187E+00 1.193283351E+00 1.196343069E+00
1.468000E+10 1.000E+15 303 1.500E-4 1.124418170E+00 1.124596468E+00 1.194201019E+00 1.196356444E+00
2.154000E+10 1.000E+15 303 1.500E-4 1.124976857E+00 1.125095100E+00 1.194870955E+00 1.196376032E+00
3.162000E+10 1.000E+15 303 1.500E-4 1.125739605E+00 1.125819022E+00 1.195360525E+00 1.196404690E+00
4.642000E+10 1.000E+15 303 1.500E-4 1.126810679E+00 1.126864676E+00 1.195725409E+00 1.196446586E+00
6.813000E+10 1.000E+15 303 1.500E-4 1.128326752E+00 1.128363949E+00 1.196011005E+00 1.196507729E+00
1.000000E+11 1.000E+15 303 1.500E-4 1.130464718E+00 1.130490763E+00 1.196255038E+00 1.196596717E+00
1.468000E+11 1.000E+15 303 1.500E-4 1.133443001E+00 1.133461626E+00 1.196490720E+00 1.196725753E+00
2.154000E+11 1.000E+15 303 1.500E-4 1.137507546E+00 1.137521264E+00 1.196749961E+00 1.196911863E+00
3.162000E+11 1.000E+15 303 1.500E-4 1.142889170E+00 1.142899682E+00 1.197066419E+00 1.197178274E+00
4.642000E+11 1.000E+15 303 1.500E-4 1.149719513E+00 1.149727985E+00 1.197478063E+00 1.197555714E+00
6.813000E+11 1.000E+15 303 1.500E-4 1.157910825E+00 1.157918019E+00 1.198028834E+00 1.198083145E+00
1.000000E+12 1.000E+15 303 1.500E-4 1.167050855E+00 1.167057254E+00 1.198768867E+00 1.198807257E+00
1.468000E+12 1.000E+15 303 1.500E-4 1.176418491E+00 1.176424323E+00 1.199752780E+00 1.199780314E+00
2.154000E+12 1.000E+15 303 1.500E-4 1.185202817E+00 1.185208167E+00 1.201036360E+00 1.201056496E+00
3.162000E+12 1.000E+15 303 1.500E-4 1.192840617E+00 1.192845467E+00 1.202672666E+00 1.202687748E+00
4.642000E+12 1.000E+15 303 1.500E-4 1.199216772E+00 1.199221100E+00 1.204707966E+00 1.204719587E+00
6.813000E+12 1.000E+15 303 1.500E-4 1.204570230E+00 1.204574054E+00 1.207175435E+00 1.207184658E+00
1.000000E+13 1.000E+15 303 1.500E-4 1.209239436E+00 1.209242792E+00 1.210084499E+00 1.210092034E+00
1.000000E+10 1.778E+16 303 1.500E-4 1.249417827E+00 1.267507472E+00 1.213056419E+00 1.224178142E+00
1.468000E+10 1.778E+16 303 1.500E-4 1.253534715E+00 1.267547797E+00 1.216189785E+00 1.224250884E+00
2.154000E+10 1.778E+16 303 1.500E-4 1.256920048E+00 1.267606772E+00 1.218573650E+00 1.224356833E+00
3.162000E+10 1.778E+16 303 1.500E-4 1.259687047E+00 1.267692934E+00 1.220400509E+00 1.224510664E+00
4.642000E+10 1.778E+16 303 1.500E-4 1.261924588E+00 1.267818578E+00 1.221833767E+00 1.224733011E+00
6.813000E+10 1.778E+16 303 1.500E-4 1.263726315E+00 1.268001304E+00 1.223017210E+00 1.225052218E+00
1.000000E+11 1.778E+16 303 1.500E-4 1.265199493E+00 1.268265966E+00 1.224080512E+00 1.225506219E+00
1.468000E+11 1.778E+16 303 1.500E-4 1.266462057E+00 1.268647073E+00 1.225141935E+00 1.226160082E+00
2.154000E+11 1.778E+16 303 1.500E-4 1.267637422E+00 1.269191397E+00 1.226322000E+00 1.227039562E+00
3.162000E+11 1.778E+16 303 1.500E-4 1.268851570E+00 1.269960124E+00 1.227714463E+00 1.228225566E+00
4.642000E+11 1.778E+16 303 1.500E-4 1.270232101E+00 1.271029456E+00 1.229418596E+00 1.229791507E+00
6.813000E+11 1.778E+16 303 1.500E-4 1.271906435E+00 1.272487822E+00 1.231495456E+00 1.231770997E+00
1.000000E+12 1.778E+16 303 1.500E-4 1.273995843E+00 1.274427827E+00 1.233996493E+00 1.234205872E+00
1.468000E+12 1.778E+16 303 1.500E-4 1.276603458E+00 1.276931930E+00 1.236936806E+00 1.237101024E+00
2.154000E+12 1.778E+16 303 1.500E-4 1.279797468E+00 1.280053620E+00 1.240314766E+00 1.240448367E+00
3.162000E+12 1.778E+16 303 1.500E-4 1.283595394E+00 1.283800075E+00 1.244087203E+00 1.244198138E+00
4.642000E+12 1.778E+16 303 1.500E-4 1.287958736E+00 1.288125675E+00 1.248226372E+00 1.248320384E+00
6.813000E+12 1.778E+16 303 1.500E-4 1.292805244E+00 1.292943404E+00 1.252698256E+00 1.252778902E+00
1.000000E+13 1.778E+16 303 1.500E-4 1.298035312E+00 1.298150626E+00 1.257474813E+00 1.257544282E+00
1.000000E+10 3.162E+16 303 1.500E-4 1.255687189E+00 1.282711664E+00 1.210593975E+00 1.224137686E+00
1.468000E+10 3.162E+16 303 1.500E-4 1.261081365E+00 1.282761210E+00 1.214524634E+00 1.224277969E+00
2.154000E+10 3.162E+16 303 1.500E-4 1.265629997E+00 1.282833647E+00 1.217517730E+00 1.224480824E+00
3.162000E+10 3.162E+16 303 1.500E-4 1.269510926E+00 1.282939445E+00 1.219840098E+00 1.224772301E+00
4.642000E+10 3.162E+16 303 1.500E-4 1.272813838E+00 1.283093668E+00 1.221715096E+00 1.225187374E+00
6.813000E+10 3.162E+16 303 1.500E-4 1.275599633E+00 1.283317828E+00 1.223335338E+00 1.225771048E+00
1.000000E+11 3.162E+16 303 1.500E-4 1.277943538E+00 1.283642217E+00 1.224869881E+00 1.226578020E+00
1.468000E+11 3.162E+16 303 1.500E-4 1.279952476E+00 1.284108750E+00 1.226466705E+00 1.227669377E+00
2.154000E+11 3.162E+16 303 1.500E-4 1.281763007E+00 1.284773860E+00 1.228250692E+00 1.229105449E+00
3.162000E+11 3.162E+16 303 1.500E-4 1.283531345E+00 1.285710672E+00 1.230318290E+00 1.230935533E+00
4.642000E+11 3.162E+16 303 1.500E-4 1.285422972E+00 1.287008802E+00 1.232731694E+00 1.233187844E+00
6.813000E+11 3.162E+16 303 1.500E-4 1.287602519E+00 1.288769516E+00 1.235517405E+00 1.235864532E+00
1.000000E+12 3.162E+16 303 1.500E-4 1.290220855E+00 1.291093908E+00 1.238671966E+00 1.238944830E+00
1.468000E+12 3.162E+16 303 1.500E-4 1.293397094E+00 1.294063572E+00 1.242173785E+00 1.242395032E+00
2.154000E+12 3.162E+16 303 1.500E-4 1.297197801E+00 1.297717664E+00 1.245997216E+00 1.246181280E+00
3.162000E+12 3.162E+16 303 1.500E-4 1.301621997E+00 1.302035702E+00 1.250124155E+00 1.250280148E+00
4.642000E+12 3.162E+16 303 1.500E-4 1.306603173E+00 1.306937745E+00 1.254548645E+00 1.254682370E+00
6.813000E+12 3.162E+16 303 1.500E-4 1.312032655E+00 1.312306221E+00 1.259272969E+00 1.259388242E+00
1.000000E+13 3.162E+16 303 1.500E-4 1.317793767E+00 1.318018792E+00 1.264299222E+00 1.264398696E+00
1.000000E+10 5.623E+15 303 1.500E-4 1.233938226E+00 1.241111777E+00
1.468000E+10 5.623E+15 303 1.500E-4 1.235968614E+00 1.241147798E+00
2.154000E+10 5.623E+15 303 1.500E-4 1.237506718E+00 1.241200424E+00
3.162000E+10 5.623E+15 303 1.500E-4 1.238669828E+00 1.241277165E+00
4.642000E+10 5.623E+15 303 1.500E-4 1.239562602E+00 1.241388790E+00
6.813000E+10 5.623E+15 303 1.500E-4 1.240278065E+00 1.241550497E+00
1.000000E+11 5.623E+15 303 1.500E-4 1.240899196E+00 1.241783433E+00
1.468000E+11 5.623E+15 303 1.500E-4 1.241501896E+00 1.242116297E+00
2.154000E+11 5.623E+15 303 1.500E-4 1.242158771E+00 1.242586775E+00
3.162000E+11 5.623E+15 303 1.500E-4 1.242942307E+00 1.243242151E+00
4.642000E+11 5.623E+15 303 1.500E-4 1.243926216E+00 1.244138252E+00
6.813000E+11 5.623E+15 303 1.500E-4 1.245184101E+00 1.245336142E+00
1.000000E+12 5.623E+15 303 1.500E-4 1.246785460E+00 1.246896583E+00
1.468000E+12 5.623E+15 303 1.500E-4 1.248790203E+00 1.248873421E+00
2.154000E+12 5.623E+15 303 1.500E-4 1.251242579E+00 1.251306704E+00
