0.DAT T=287.8 Voc=0.1747 Isc=9.507E-006
1.DAT T=287.9 Voc=0.1737 Isc=9.601E-006
2.DAT T=287.9 Voc=0.1783 Isc=1.014E-005
3.DAT T=287.9 Voc=0.1761 Isc=9.742E-006
4.DAT T=288.1 Voc=0.1752 Isc=9.674E-006
5.DAT T=288.1 Voc=0.1754 Isc=9.661E-006
6.DAT T=288.2 Voc=0.1754 Isc=9.669E-006
6.DAT T=288.2 Voc=0.1754 Isc=9.669E-006
7.DAT T=288.3 Voc=0.1756 Isc=9.727E-006
8.DAT T=288.3 Voc=0.1754 Isc=9.725E-006
9.DAT T=288.4 Voc=0.1757 Isc=9.75E-006
30.DAT T=290.5 Voc=0.1679 Isc=9.648E-006
31.DAT T=290.5 Voc=0.1676 Isc=9.667E-006
32.DAT T=290.5 Voc=0.1673 Isc=9.649E-006
33.DAT T=290.6 Voc=0.1668 Isc=9.68E-006
34.DAT T=290.6 Voc=0.1667 Isc=9.654E-006
35.DAT T=290.6 Voc=0.1667 Isc=9.654E-006
36.DAT T=290.7 Voc=0.166 Isc=9.593E-006
37.DAT T=290.7 Voc=0.1662 Isc=9.634E-006
38.DAT T=290.7 Voc=0.1662 Isc=9.641E-006
38.DAT T=290.7 Voc=0.1662 Isc=9.641E-006
39.DAT T=290.8 Voc=0.1663 Isc=9.651E-006
39.DAT T=290.8 Voc=0.1663 Isc=9.651E-006
39.DAT T=290.8 Voc=0.1663 Isc=9.651E-006
39.DAT T=290.8 Voc=0.1663 Isc=9.651E-006
39.DAT T=290.8 Voc=0.1663 Isc=9.651E-006
36.DAT T=290.7 Voc=0.166 Isc=9.593E-006
10.DAT T=288.5 Voc=0.317 Isc=0.0001138
11.DAT T=288.6 Voc=0.3161 Isc=0.0001131
12.DAT T=288.6 Voc=0.316 Isc=0.0001132
13.DAT T=288.7 Voc=0.3177 Isc=0.0001132
13.DAT T=288.7 Voc=0.3178 Isc=0.0001132
14.DAT T=288.7 Voc=0.3157 Isc=0.0001131
15.DAT T=288.8 Voc=0.3174 Isc=0.0001132
16.DAT T=288.8 Voc=0.3154 Isc=0.0001132
17.DAT T=288.9 Voc=0.3156 Isc=0.0001131
18.DAT T=288.9 Voc=0.3145 Isc=0.0001131
19.DAT T=289 Voc=0.3156 Isc=0.0001132
19.DAT T=289 Voc=0.3152 Isc=0.0001132
19.DAT T=289 Voc=0.3147 Isc=0.0001132
19.DAT T=289 Voc=0.3149 Isc=0.0001132
50.DAT T=292.4 Voc=0.3002 Isc=0.0001124
50.DAT T=292.4 Voc=0.3056 Isc=0.0001124
51.DAT T=292.4 Voc=0.3052 Isc=0.0001146
52.DAT T=292.4 Voc=0.3055 Isc=0.0001137
53.DAT T=292.4 Voc=0.3038 Isc=0.0001123
54.DAT T=292.5 Voc=0.3044 Isc=0.000113
55.DAT T=292.5 Voc=0.3034 Isc=0.0001129
55.DAT T=292.5 Voc=0.3033 Isc=0.0001129
56.DAT T=292.5 Voc=0.3034 Isc=0.0001123
57.DAT T=292.4 Voc=0.3023 Isc=0.000113
58.DAT T=292.4 Voc=0.3039 Isc=0.0001132
59.DAT T=292.5 Voc=0.3022 Isc=0.0001107
14.DAT T=288.7 Voc=0.3165 Isc=0.0001131
14.DAT T=288.7 Voc=0.3158 Isc=0.0001131
17.DAT T=288.9 Voc=0.3152 Isc=0.0001132
19.DAT T=289 Voc=0.315 Isc=0.0001132
51.DAT T=292.4 Voc=0.3052 Isc=0.0001146
58.DAT T=292.4 Voc=0.3042 Isc=0.0001132
