fname time Tem kT_1 Io Et Ud Iph dev 
01RV 01rv.dat 340 34.1 5.678E-002 2.143E-003 1.965E+000 0.000E+000 8.074E-003 
02RV 02rv.dat 340 34.1 4.818E-002 2.112E-003 1.903E+000 0.000E+000 8.500E-003 
03RV 03rv.dat 340 34.1 2.515E-002 1.983E-003 1.658E+000 0.000E+000 1.029E-002 
04RV 04rv.dat 340 34.1 6.961E-002 2.170E-003 2.034E+000 0.000E+000 7.373E-003 
05RV 05rv.dat 340 34.1 4.884E-002 2.106E-003 1.932E+000 0.000E+000 9.806E-003 
06RV 06rv.dat 340 34.1 3.222E-002 2.021E-003 1.766E+000 0.000E+000 7.702E-003 
07RV 07rv.dat 340 34.1 1.722E-002 1.894E-003 1.519E+000 0.000E+000 6.728E-003 
08RV 08rv.dat 340 34.1 2.330E-002 1.953E-003 1.628E+000 0.000E+000 9.903E-003 
09RV 09rv.dat 340 34.1 4.650E+004 4.632E-003 6.763E+000 0.000E+000 4.091E-002 
10RV 10rv.dat 340 34.1 2.281E-002 1.946E-003 1.582E+000 0.000E+000 8.571E-003 
11RV 11rv.dat 340 34.1 1.587E-002 1.880E-003 1.489E+000 0.000E+000 1.184E-002 
12RV 12rv.dat 340 34.1 1.626E-002 1.876E-003 1.446E+000 0.000E+000 1.030E-002 
13RV 13rv.dat 340 34.1 1.866E-002 1.905E-003 1.550E+000 0.000E+000 9.784E-003 
14RV 14rv.dat 340 34.1 2.155E-002 1.919E-003 1.639E+000 0.000E+000 8.430E-003 
15RV 15rv.dat 340 34.1 5.518E-002 2.097E-003 2.018E+000 0.000E+000 8.914E-003 
16RV 16rv.dat 340 34.1 2.902E-002 1.960E-003 1.741E+000 0.000E+000 1.303E-002 
17RV 17rv.dat 340 34.1 1.873E-002 1.883E-003 1.620E+000 0.000E+000 9.663E-003 
18RV 18rv.dat 340.1 34.09 2.900E-002 1.969E-003 1.786E+000 0.000E+000 1.329E-002 
19RV 19rv.dat 340 34.1 1.024E-002 1.762E-003 1.382E+000 0.000E+000 1.063E-002 
20RV 20rv.dat 340 34.1 2.402E-002 1.942E-003 1.772E+000 0.000E+000 1.372E-002 
21RV 21rv.dat 340 34.1 2.191E-002 1.933E-003 1.692E+000 0.000E+000 1.066E-002 
22RV 22rv.dat 340 34.1 2.762E-002 1.968E-003 1.720E+000 0.000E+000 9.232E-003 
23RV 23rv.dat 340 34.1 2.408E-002 1.940E-003 1.696E+000 0.000E+000 1.052E-002 
24RV 24rv.dat 340 34.1 5.085E+002 3.801E-003 5.240E+000 0.000E+000 3.543E-002 
25RV 25rv.dat 340.1 34.09 2.817E-002 1.975E-003 1.769E+000 0.000E+000 1.029E-002 
26RV 26rv.dat 340 34.1 1.862E-002 1.886E-003 1.622E+000 0.000E+000 1.222E-002 
27RV 27rv.dat 340 34.1 1.195E-002 1.802E-003 1.442E+000 0.000E+000 1.274E-002 
28RV 28rv.dat 340 34.1 6.796E-002 2.125E-003 1.963E+000 0.000E+000 1.431E-002 
29RV 29rv.dat 340 34.1 2.056E+005 4.865E-003 7.186E+000 0.000E+000 4.883E-002 
30RV 30rv.dat 340 34.1 2.196E-002 1.908E-003 1.579E+000 0.000E+000 1.227E-002 
31RV 31rv.dat 340 34.1 2.040E-002 1.903E-003 1.613E+000 0.000E+000 1.202E-002 
32RV 32rv.dat 340 34.1 3.828E-002 2.031E-003 1.846E+000 0.000E+000 1.283E-002 
33RV 33rv.dat 340.1 34.09 1.096E-002 1.776E-003 1.343E+000 0.000E+000 1.219E-002 
34RV 34rv.dat 339.9 34.11 3.793E-002 2.024E-003 1.833E+000 0.000E+000 4.016E-002 
35RV 35rv.dat 340.1 34.09 2.664E-002 1.962E-003 1.716E+000 0.000E+000 1.213E-002 
36RV 36rv.dat 340.1 34.09 2.290E-002 1.934E-003 1.662E+000 0.000E+000 1.068E-002 
37RV 37rv.dat 339.8 34.12 2.149E-002 1.940E-003 1.661E+000 0.000E+000 1.228E-002 
38RV 38rv.dat 340.1 34.09 2.458E-002 1.961E-003 1.659E+000 0.000E+000 1.100E-002 
39RV 39rv.dat 339.9 34.11 2.428E-002 1.962E-003 1.646E+000 0.000E+000 1.251E-002 
40RV 40rv.dat 340.1 34.09 1.617E-002 1.894E-003 1.566E+000 0.000E+000 8.870E-003 
41RV 41rv.dat 340.1 34.09 3.028E-002 2.011E-003 1.755E+000 0.000E+000 8.957E-003 
42RV 42rv.dat 340 34.1 3.737E-002 2.056E-003 1.850E+000 0.000E+000 9.457E-003 
43RV 43rv.dat 340 34.1 4.852E-002 2.105E-003 1.924E+000 0.000E+000 9.348E-003 
44RV 44rv.dat 340 34.1 9.372E-003 1.778E-003 1.259E+000 0.000E+000 1.125E-002 
45RV 45rv.dat 340 34.1 2.837E-002 2.003E-003 1.735E+000 0.000E+000 1.073E-002 
46RV 46rv.dat 340 34.1 1.774E-002 1.907E-003 1.518E+000 0.000E+000 8.839E-003 
47RV 47rv.dat 340 34.1 1.847E-002 1.916E-003 1.539E+000 0.000E+000 7.127E-003 
48RV 48rv.dat 340.1 34.09 2.659E-002 1.990E-003 1.705E+000 0.000E+000 9.287E-003 
49RV 49rv.dat 340.1 34.09 6.712E-002 2.170E-003 2.066E+000 0.000E+000 1.016E-002 
50RV 50rv.dat 340.1 34.09 2.999E+007 5.631E-003 8.000E+000 0.000E+000 6.287E-002 
51RV 51rv.dat 340 34.1 1.761E-002 1.910E-003 1.547E+000 0.000E+000 9.276E-003 
52RV 52rv.dat 340 34.1 1.476E-002 1.872E-003 1.435E+000 0.000E+000 9.846E-003 
53RV 53rv.dat 340.1 34.09 2.673E-002 1.990E-003 1.682E+000 0.000E+000 8.361E-003 
54RV 54rv.dat 340 34.1 2.313E-002 1.958E-003 1.606E+000 0.000E+000 9.977E-003 
