T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.221430798E+00 1.198620201E+00 2.281059700E-02 1.221248389E+00 1.198374244E+00 2.287414500E-02 1.824090000E-04 2.459570000E-04
295 1.221950403E+00 1.200485796E+00 2.146460700E-02 1.221780748E+00 1.200251911E+00 2.152883700E-02 1.696550000E-04 2.338850000E-04
300 1.221364653E+00 1.202048135E+00 1.931651800E-02 1.221200289E+00 1.201820469E+00 1.937982000E-02 1.643640000E-04 2.276660000E-04
305 1.218014330E+00 1.204296747E+00 1.371758300E-02 1.217850882E+00 1.204064534E+00 1.378634800E-02 1.634480000E-04 2.322130000E-04
310 1.209183619E+00 1.205874756E+00 3.308863000E-03 1.209023161E+00 1.205625432E+00 3.397729000E-03 1.604580000E-04 2.493240000E-04
315 1.189683371E+00 1.206456832E+00 -1.677346100E-02 1.189540405E+00 1.206185867E+00 -1.664546200E-02 1.429660000E-04 2.709650000E-04
320 1.151632694E+00 1.205450335E+00 -5.381764100E-02 1.151543995E+00 1.205149301E+00 -5.360530600E-02 8.869900000E-05 3.010340000E-04
325 1.085014878E+00 1.200366142E+00 -1.153512640E-01 1.085046473E+00 1.200037126E+00 -1.149906530E-01 -3.159500000E-05 3.290160000E-04
330 1.009013004E+00 1.186351203E+00 -1.773381990E-01 1.008939942E+00 1.186017027E+00 -1.770770850E-01 7.306200000E-05 3.341760000E-04
335 1.009297680E+00 1.154674536E+00 -1.453768560E-01 1.009220766E+00 1.154396012E+00 -1.451752460E-01 7.691400000E-05 2.785240000E-04
340 1.010513501E+00 1.090739160E+00 -8.022565900E-02 1.010422622E+00 1.090644877E+00 -8.022225500E-02 9.087900000E-05 9.428300000E-05
