T JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
290 2.616810E-1 1.767590E+1 4.314260E-1 7.828370E+1 2.931677E-1 2.050730E+1 4.433710E-1 7.888500E+1 1.0740167E+01 1.3806791E+01 2.6941320E+00 7.6224884E-01
295 2.642248E-1 1.709620E+1 4.172550E-1 7.753440E+1 2.961910E-1 1.989710E+1 4.297550E-1 7.815670E+1 1.0792428E+01 1.4076926E+01 2.9086340E+00 7.9622093E-01
300 2.667010E-1 1.650080E+1 4.031000E-1 7.674280E+1 2.989346E-1 1.925090E+1 4.159170E-1 7.741730E+1 1.0782827E+01 1.4285566E+01 3.0816245E+00 8.7125229E-01
305 2.691382E-1 1.589250E+1 3.889460E-1 7.590980E+1 3.010937E-1 1.854400E+1 4.019440E-1 7.661350E+1 1.0613141E+01 1.4298425E+01 3.2337838E+00 9.1850653E-01
310 2.715314E-1 1.527170E+1 3.747150E-1 7.504750E+1 3.032579E-1 1.783070E+1 3.879400E-1 7.578120E+1 1.0461887E+01 1.4351652E+01 3.4090323E+00 9.6818208E-01
315 2.738631E-1 1.463850E+1 3.605620E-1 7.412300E+1 3.050663E-1 1.708210E+1 3.737940E-1 7.490030E+1 1.0228334E+01 1.4305033E+01 3.5399177E+00 1.0377796E+00
320 2.761872E-1 1.399660E+1 3.462930E-1 7.317210E+1 3.063288E-1 1.628390E+1 3.594240E-1 7.394900E+1 9.8396233E+00 1.4046389E+01 3.6533454E+00 1.0505889E+00
325 2.784711E-1 1.334540E+1 3.320970E-1 7.215290E+1 3.074437E-1 1.547280E+1 3.448870E-1 7.296190E+1 9.4237091E+00 1.3749289E+01 3.7084610E+00 1.1087979E+00
330 2.807057E-1 1.268530E+1 3.178610E-1 7.108570E+1 3.081647E-1 1.463160E+1 3.302490E-1 7.188480E+1 8.9104949E+00 1.3302031E+01 3.7511090E+00 1.1116397E+00
335 2.829620E-1 1.202090E+1 3.036330E-1 6.995640E+1 3.084439E-1 1.375850E+1 3.152110E-1 7.075590E+1 8.2614375E+00 1.2629284E+01 3.6730952E+00 1.1299411E+00
340 2.851858E-1 1.135050E+1 2.894520E-1 6.875110E+1 3.085669E-1 1.287940E+1 3.001750E-1 6.952530E+1 7.5773195E+00 1.1870895E+01 3.5722495E+00 1.1135515E+00
