T JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
290 2.779823E-1 1.911940E+1 4.380140E-1 7.851220E+1 3.080792E-1 2.193160E+1 4.498900E-1 7.911710E+1 9.7692087E+00 1.2822594E+01 2.6397564E+00 7.6456291E-01
295 2.802825E-1 1.848250E+1 4.239330E-1 7.777460E+1 3.107633E-1 2.126480E+1 4.362460E-1 7.842780E+1 9.8083654E+00 1.3084064E+01 2.8224901E+00 8.3286794E-01
300 2.825178E-1 1.783150E+1 4.098980E-1 7.699010E+1 3.131829E-1 2.056450E+1 4.226140E-1 7.768650E+1 9.7914350E+00 1.3289893E+01 3.0088923E+00 8.9642345E-01
305 2.847146E-1 1.716900E+1 3.957260E-1 7.619210E+1 3.150528E-1 1.980590E+1 4.087280E-1 7.690360E+1 9.6295605E+00 1.3313710E+01 3.1810886E+00 9.2518426E-01
310 2.868690E-1 1.649560E+1 3.816380E-1 7.533580E+1 3.169277E-1 1.904280E+1 3.948130E-1 7.609370E+1 9.4844029E+00 1.3376184E+01 3.3370228E+00 9.9600887E-01
315 2.889661E-1 1.581130E+1 3.674780E-1 7.444880E+1 3.184727E-1 1.824650E+1 3.808430E-1 7.521950E+1 9.2650328E+00 1.3346121E+01 3.5093201E+00 1.0246013E+00
320 2.910536E-1 1.511960E+1 3.533330E-1 7.351110E+1 3.195100E-1 1.740240E+1 3.664850E-1 7.430830E+1 8.9062627E+00 1.3117731E+01 3.5886871E+00 1.0728277E+00
325 2.931036E-1 1.442010E+1 3.392100E-1 7.251820E+1 3.204143E-1 1.654690E+1 3.521290E-1 7.332860E+1 8.5235584E+00 1.2853163E+01 3.6688259E+00 1.1051622E+00
330 2.951081E-1 1.371330E+1 3.250180E-1 7.148620E+1 3.209564E-1 1.566270E+1 3.375170E-1 7.229280E+1 8.0535238E+00 1.2446130E+01 3.7032209E+00 1.1157404E+00
335 2.971304E-1 1.300330E+1 3.109100E-1 7.037860E+1 3.210885E-1 1.474730E+1 3.226350E-1 7.117790E+1 7.4615254E+00 1.1825894E+01 3.6341376E+00 1.1229609E+00
340 2.991227E-1 1.228880E+1 2.967270E-1 6.922650E+1 3.210792E-1 1.382670E+1 3.076190E-1 6.999410E+1 6.8383439E+00 1.1122683E+01 3.5407436E+00 1.0966639E+00
