T JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
290 1.739572E-1 1.057840E+1 3.963480E-1 7.671360E+1 2.098795E-1 1.335360E+1 4.109560E-1 7.741100E+1 1.7115678E+01 2.0782411E+01 3.5546385E+00 9.0090556E-01
295 1.769643E-1 1.025240E+1 3.818480E-1 7.586130E+1 2.139784E-1 1.301310E+1 3.968240E-1 7.662710E+1 1.7298054E+01 2.1214776E+01 3.7739653E+00 9.9938533E-01
300 1.799286E-1 9.909400E+0 3.672610E-1 7.497900E+1 2.177896E-1 1.263200E+1 3.826590E-1 7.578690E+1 1.7384209E+01 2.1553198E+01 4.0239482E+00 1.0660154E+00
305 1.828823E-1 9.551700E+0 3.527010E-1 7.404080E+1 2.209337E-1 1.218570E+1 3.682210E-1 7.489410E+1 1.7222995E+01 2.1615500E+01 4.2148601E+00 1.1393421E+00
310 1.858182E-1 9.179500E+0 3.381180E-1 7.305190E+1 2.241103E-1 1.172780E+1 3.537760E-1 7.396000E+1 1.7086274E+01 2.1728713E+01 4.4259645E+00 1.2278259E+00
315 1.887125E-1 8.792600E+0 3.235100E-1 7.201050E+1 2.268622E-1 1.122890E+1 3.392290E-1 7.295410E+1 1.6816244E+01 2.1696693E+01 4.6337430E+00 1.2934160E+00
320 1.916322E-1 8.394800E+0 3.089410E-1 7.089840E+1 2.289400E-1 1.067580E+1 3.243030E-1 7.189450E+1 1.6295885E+01 2.1366080E+01 4.7369281E+00 1.3855024E+00
325 1.945356E-1 7.985000E+0 2.943060E-1 6.973370E+1 2.308225E-1 1.010430E+1 3.093840E-1 7.074560E+1 1.5720694E+01 2.0974239E+01 4.8735552E+00 1.4303363E+00
330 1.974073E-1 7.563300E+0 2.797620E-1 6.847480E+1 2.321844E-1 9.497800E+0 2.941490E-1 6.953270E+1 1.4978224E+01 2.0367875E+01 4.8910586E+00 1.5214424E+00
335 2.003406E-1 7.134600E+0 2.651210E-1 6.716260E+1 2.329607E-1 8.856200E+0 2.786950E-1 6.820330E+1 1.4002405E+01 1.9439489E+01 4.8705574E+00 1.5258792E+00
340 2.032756E-1 6.697100E+0 2.505980E-1 6.573390E+1 2.335132E-1 8.205200E+0 2.630770E-1 6.678280E+1 1.2948990E+01 1.8379808E+01 4.7434781E+00 1.5706140E+00
