N_Fe T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.000000000E+01 1.525483300E-02 1.750795600E-02 2.071539800E-02 2.465034700E-02 2.977963800E-02 3.635410800E-02 4.215860100E-02 4.937677200E-02 5.680764500E-02 6.340046300E-02 7.026451400E-02
1.016672606E+01 1.124532900E-02 1.269183600E-02 1.484932700E-02 1.759182500E-02 2.135021400E-02 2.683443900E-02 3.034631900E-02 3.589067700E-02 4.176708300E-02 4.718254000E-02 5.299191800E-02
1.033324570E+01 8.243179000E-03 9.141092000E-03 1.055609700E-02 1.270698400E-02 1.556666100E-02 1.888699700E-02 2.192349300E-02 2.554852300E-02 3.000090500E-02 3.422803400E-02 3.887593800E-02
1.049996187E+01 6.021833000E-03 6.553677000E-03 7.455638000E-03 9.004889000E-03 1.091737600E-02 1.325057900E-02 1.585570900E-02 1.787733300E-02 2.114208100E-02 2.431691600E-02 2.787944700E-02
1.066670514E+01 4.403217000E-03 4.694159000E-03 5.247237000E-03 6.235528000E-03 7.532727000E-03 9.079518000E-03 1.085300000E-02 1.233221500E-02 1.466654700E-02 1.698345100E-02 1.962879700E-02
1.083333839E+01 3.242976000E-03 3.377877000E-03 3.697052000E-03 4.350065000E-03 5.154634000E-03 6.202650000E-03 7.428797000E-03 8.405289000E-03 1.004074700E-02 1.169510400E-02 1.361379800E-02
1.100000000E+01 2.423227000E-03 2.459754000E-03 2.625010000E-03 3.032942000E-03 3.538093000E-03 4.187109000E-03 4.949897000E-03 5.728548000E-03 6.797629000E-03 7.957706000E-03 9.324334000E-03
1.116672606E+01 1.849184000E-03 1.830438000E-03 1.894619000E-03 2.123233000E-03 2.419917000E-03 2.811480000E-03 3.286010000E-03 3.882177000E-03 4.561221000E-03 5.361006000E-03 6.319003000E-03
1.133324570E+01 1.446846000E-03 1.395449000E-03 1.439961000E-03 1.512177000E-03 1.668922000E-03 1.903777000E-03 2.144687000E-03 2.569803000E-03 3.043371000E-03 3.584839000E-03 4.245757000E-03
1.149996187E+01 1.160810000E-03 1.094767000E-03 1.094482000E-03 1.103705000E-03 1.177804000E-03 1.294276000E-03 1.456015000E-03 1.704360000E-03 2.029137000E-03 2.388397000E-03 2.836516000E-03
1.166670514E+01 9.516570000E-04 8.825210000E-04 8.560270000E-04 8.277270000E-04 8.546160000E-04 9.144970000E-04 9.977150000E-04 1.156260000E-03 1.360987000E-03 1.593976000E-03 1.892265000E-03
1.183333839E+01 7.928640000E-04 7.274220000E-04 6.885300000E-04 6.472550000E-04 6.355860000E-04 6.697490000E-04 7.080240000E-04 8.001380000E-04 9.253380000E-04 1.072593000E-03 1.267385000E-03
1.200000000E+01 6.675040000E-04 6.093920000E-04 5.667660000E-04 5.152150000E-04 4.993400000E-04 5.056050000E-04 5.188720000E-04 5.688280000E-04 6.424300000E-04 7.326060000E-04 8.573610000E-04
1.216672606E+01 5.650910000E-04 5.158190000E-04 4.746110000E-04 4.264650000E-04 4.033240000E-04 3.967400000E-04 3.935290000E-04 4.173180000E-04 4.580250000E-04 5.108550000E-04 5.890490000E-04
1.233324570E+01 4.792210000E-04 4.389730000E-04 4.020000000E-04 3.595290000E-04 3.345080000E-04 3.206890000E-04 3.084980000E-04 3.164330000E-04 3.365350000E-04 3.652630000E-04 4.128340000E-04
1.249996187E+01 4.060480000E-04 3.741830000E-04 3.433940000E-04 3.062180000E-04 2.822760000E-04 2.655100000E-04 2.490390000E-04 2.477130000E-04 2.551480000E-04 2.685560000E-04 2.961960000E-04
1.266670514E+01 3.430350000E-04 3.184600000E-04 2.933870000E-04 2.619680000E-04 2.391070000E-04 2.237940000E-04 2.059470000E-04 1.995670000E-04 1.994620000E-04 2.033170000E-04 2.180910000E-04
1.283333839E+01 2.887130000E-04 2.708700000E-04 2.511540000E-04 2.259070000E-04 2.070410000E-04 1.920090000E-04 1.769690000E-04 1.704140000E-04 1.746470000E-04 1.597020000E-04 1.375200000E-04
1.300000000E+01 2.417560000E-04 2.289750000E-04 2.140800000E-04 1.937060000E-04 1.781840000E-04 1.645900000E-04 1.507620000E-04 1.423150000E-04 1.442810000E-04 1.501750000E-04 1.621380000E-04
