T Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
290 1.485922700E-02 1.073943500E-02 7.748763000E-03 5.583054000E-03 4.061360000E-03 2.995400000E-03 2.258293000E-03 1.748467000E-03 1.390092000E-03 1.131007000E-03 9.369610000E-04 7.860250000E-04 6.644150000E-04 5.636130000E-04 4.784170000E-04 4.064920000E-04 3.435670000E-04 2.889760000E-04 2.412900000E-04
295 1.756641300E-02 1.250905200E-02 8.850521000E-03 6.245629000E-03 4.416147000E-03 3.234059000E-03 2.358752000E-03 1.760251000E-03 1.354756000E-03 1.074353000E-03 8.725630000E-04 7.239800000E-04 6.086340000E-04 5.159280000E-04 4.386760000E-04 3.741630000E-04 3.186490000E-04 2.704070000E-04 2.291840000E-04
300 2.128229500E-02 1.504031000E-02 1.052399400E-02 7.315569000E-03 5.076480000E-03 3.541001000E-03 2.504601000E-03 1.812784000E-03 1.352000000E-03 9.876540000E-04 1.057776000E-03 7.912340000E-04 6.400460000E-04 4.706310000E-04 3.923270000E-04 3.542910000E-04 2.814440000E-04 2.445910000E-04 2.139440000E-04
305 2.560226700E-02 1.804353000E-02 1.254692500E-02 8.635085000E-03 5.905358000E-03 4.036302000E-03 2.779211000E-03 1.946124000E-03 1.398560000E-03 1.037961000E-03 7.839060000E-04 7.003250000E-04 5.555880000E-04 4.572570000E-04 3.955770000E-04 3.292230000E-04 2.549700000E-04 2.190310000E-04 1.940170000E-04
310 3.098905200E-02 2.191978100E-02 1.525239300E-02 1.047174500E-02 7.117591000E-03 4.811295000E-03 3.255733000E-03 2.224464000E-03 1.549316000E-03 1.109383000E-03 8.210510000E-04 6.289250000E-04 4.975080000E-04 4.043540000E-04 3.360900000E-04 3.027180000E-04 2.310650000E-04 1.999590000E-04 1.774560000E-04
315 3.716966500E-02 2.648778300E-02 1.851830000E-02 1.274183200E-02 8.654732000E-03 5.824504000E-03 3.903939000E-03 2.624852000E-03 1.786085000E-03 1.241136000E-03 8.873330000E-04 6.555480000E-04 5.009460000E-04 3.951790000E-04 3.205240000E-04 2.763170000E-04 2.110090000E-04 1.788200000E-04 1.615220000E-04
320 4.328418400E-02 3.113783200E-02 2.192188400E-02 1.515683100E-02 1.032255300E-02 6.946769000E-03 4.638682000E-03 3.091300000E-03 2.071572000E-03 1.407798000E-03 9.779110000E-04 6.985740000E-04 5.150450000E-04 3.922740000E-04 3.082260000E-04 2.483250000E-04 2.072730000E-04 1.722610000E-04 1.475770000E-04
325 5.013199100E-02 3.650346400E-02 2.595394100E-02 1.808837700E-02 1.239682100E-02 8.379261000E-03 5.604792000E-03 3.749711000E-03 2.642511000E-03 1.662561000E-03 1.132063000E-03 7.879960000E-04 5.634940000E-04 4.152150000E-04 3.156360000E-04 2.531250000E-04 2.175450000E-04 1.669340000E-04 1.401200000E-04
330 5.685730400E-02 4.195802700E-02 3.017129100E-02 2.123065000E-02 1.467058900E-02 9.984487000E-03 6.712449000E-03 4.474299000E-03 2.971938000E-03 1.979630000E-03 1.331456000E-03 9.100210000E-04 6.354120000E-04 4.550990000E-04 3.352960000E-04 2.789670000E-04 2.250280000E-04 1.729400000E-04 1.388120000E-04
335 6.463300100E-02 4.959636500E-02 3.558528900E-02 2.480241900E-02 1.682212700E-02 1.155012100E-02 7.825822000E-03 5.248574000E-03 3.498458000E-03 2.329654000E-03 1.559022000E-03 1.054442000E-03 7.244170000E-04 5.076100000E-04 3.640770000E-04 1.994340000E-04 2.623310000E-04 1.839480000E-04 1.355950000E-04
340 7.134864300E-02 5.439051300E-02 3.947939300E-02 2.845483500E-02 1.973436200E-02 1.370408600E-02 9.387282000E-03 6.359695000E-03 4.274810000E-03 2.862611000E-03 1.918941000E-03 1.293992000E-03 8.815840000E-04 6.090430000E-04 4.281230000E-04 3.071830000E-04 2.851540000E-04 2.077480000E-04 1.445320000E-04
