N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -7.706000000E-05 -1.211120000E-04 -1.554700000E-04 -1.861690000E-04
1.600000000E+01 6.290779000E-03 5.569725000E-03 5.090896000E-03 4.766945000E-03
1.700000000E+01 3.795937400E-02 3.617639700E-02 3.509204200E-02 3.436327500E-02
1.549996187E+01 2.031434000E-03 1.795135000E-03 1.642920000E-03 1.535521000E-03
1.649996187E+01 1.685445100E-02 1.538689000E-02 1.439958500E-02 1.371381100E-02
1.674996808E+01 2.587905000E-02 2.412555400E-02 2.300383300E-02 2.221480400E-02
1.624993176E+01 1.048440500E-02 9.398050000E-03 8.667111000E-03 8.162114000E-03
1.574996808E+01 3.658668000E-03 3.233046000E-03 2.950877000E-03 2.761737000E-03
1.524993176E+01 9.241370000E-04 8.043550000E-04 7.206260000E-04 6.585500000E-04
