fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc Pm FF Vm Im dev 
00L3 31800 300.07 38.638 2.533654347E-10 2.709557586E+00 6.405976133E+03 8.957716847E-05 4.410971316E+00 2.428605322E+03 0.000000000E+00 2.561967577E-04 4.927882531E-01 2.301033538E-04 4.375937025E-05 3.859115421E-01 2.872699013E-01 1.523284202E-04 1.812373583E-03 
00L4 31822 300.07 38.638 7.655310404E-10 2.918654765E+00 6.666936950E+03 9.119727457E-05 4.185785004E+00 2.419288361E+03 0.000000000E+00 2.547090184E-04 4.937993242E-01 2.299736707E-04 4.375051289E-05 3.852605499E-01 2.882445442E-01 1.517826227E-04 1.713659746E-03 
0L25 32242 300.02 38.645 1.709374927E-10 2.669973150E+00 6.274216187E+03 9.012188623E-05 4.478291368E+00 2.434182511E+03 0.000000000E+00 2.548034409E-04 4.952331906E-01 2.282077535E-04 4.367054019E-05 3.864100603E-01 2.895054267E-01 1.508453250E-04 2.249841878E-03 
0L26 32262 300.02 38.645 7.020523056E-10 2.901978693E+00 6.611204018E+03 8.613998344E-05 4.006949885E+00 2.367116752E+03 0.000000000E+00 2.520097509E-04 4.949807695E-01 2.280104759E-04 4.367044716E-05 3.869407875E-01 2.901943163E-01 1.504869141E-04 9.776924780E-04 
0L27 32284 300.02 38.645 2.580678121E-10 2.731603329E+00 6.395156735E+03 8.869944912E-05 4.327131518E+00 2.413387548E+03 0.000000000E+00 2.537265576E-04 4.951416503E-01 2.280642850E-04 4.370415504E-05 3.870222990E-01 2.894725980E-01 1.509785567E-04 1.133712915E-03 
0L28 32304 300.01 38.646 1.842527915E-10 2.678451447E+00 6.290534146E+03 8.804877540E-05 4.387718667E+00 2.420367559E+03 0.000000000E+00 2.543228946E-04 4.954980210E-01 2.281069787E-04 4.372277276E-05 3.868362808E-01 2.895417093E-01 1.510068199E-04 2.253912441E-03 
0L29 32322 300.03 38.643 5.576823283E-10 2.850491179E+00 6.577525660E+03 8.408998816E-05 4.040018205E+00 2.348112999E+03 0.000000000E+00 2.520652327E-04 4.952708815E-01 2.279936059E-04 4.372229655E-05 3.872019207E-01 2.901207816E-01 1.507037735E-04 1.965189129E-03 
0L30 32342 300.02 38.645 7.390250939E-11 2.551587633E+00 6.176139729E+03 9.328470509E-05 4.730714863E+00 2.486896807E+03 0.000000000E+00 2.557034981E-04 4.954017111E-01 2.279072382E-04 4.372496444E-05 3.872699901E-01 2.893728744E-01 1.511024989E-04 2.518026621E-03 
0L31 32362 300.02 38.645 1.668088328E-10 2.663004673E+00 6.347315857E+03 9.000423526E-05 4.484001732E+00 2.432346014E+03 0.000000000E+00 2.540288130E-04 4.953658042E-01 2.277610850E-04 4.369175038E-05 3.872522033E-01 2.893386110E-01 1.510055994E-04 6.590884293E-04 
0L32 32384 300.03 38.643 3.457179529E-10 2.782678590E+00 6.369479136E+03 8.682032825E-05 4.152434123E+00 2.388741258E+03 0.000000000E+00 2.530314404E-04 4.950715594E-01 2.278468035E-04 4.365839547E-05 3.870408924E-01 2.903226336E-01 1.503788903E-04 2.833340836E-03 
