fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc Pm FF Vm Im dev 
00L1 27792 300.01 38.646 1.778318462E-09 3.025209957E+00 7.311255178E+03 8.697665411E-05 4.178220207E+00 2.421459448E+03 0.000000000E+00 2.555159393E-04 4.924048998E-01 2.322525155E-04 4.378165390E-05 3.828330040E-01 2.847565665E-01 1.537511652E-04 3.467448144E-03 
0L10 31942 300.03 38.643 1.038143679E-10 2.592555499E+00 6.144423209E+03 9.128598549E-05 4.572186975E+00 2.460979578E+03 0.000000000E+00 2.569289882E-04 4.943995773E-01 2.294060104E-04 4.385590045E-05 3.866741588E-01 2.887787623E-01 1.518667789E-04 1.002793429E-03 
0L11 31964 300.03 38.643 1.705777530E-10 2.667240785E+00 6.324230469E+03 9.186388256E-05 4.541825857E+00 2.453891398E+03 0.000000000E+00 2.560174778E-04 4.947792725E-01 2.292730983E-04 4.382921769E-05 3.863661954E-01 2.887703702E-01 1.517787911E-04 1.229335591E-03 
0L12 31982 300.03 38.643 1.754671863E-10 2.671499621E+00 6.303868680E+03 9.128298499E-05 4.502166192E+00 2.446261237E+03 0.000000000E+00 2.559662381E-04 4.947477794E-01 2.292855532E-04 4.383717326E-05 3.864399318E-01 2.888070969E-01 1.517870362E-04 1.990554273E-03 
0L13 32004 300.02 38.645 2.879244535E-10 2.744908623E+00 6.445423054E+03 8.915319630E-05 4.325611324E+00 2.421649006E+03 0.000000000E+00 2.545758262E-04 4.946095964E-01 2.289781824E-04 4.381435105E-05 3.868652682E-01 2.890442208E-01 1.515835568E-04 2.141296183E-03 
L100 33764 300.03 38.643 2.287814264E-10 2.731174198E+00 6.354652973E+03 8.969741406E-05 4.355012438E+00 2.444001861E+03 0.000000000E+00 2.515358582E-04 4.962257554E-01 2.256758401E-04 4.333172848E-05 3.869382327E-01 2.909222982E-01 1.489460545E-04 1.867915460E-03 
L101 33784 300.02 38.645 1.978140865E-10 2.702190927E+00 6.308920094E+03 8.906239647E-05 4.380513321E+00 2.426510152E+03 0.000000000E+00 2.516682171E-04 4.959401043E-01 2.256753067E-04 4.331464468E-05 3.870093752E-01 2.903683357E-01 1.491713777E-04 1.165893567E-03 
L102 33804 300.02 38.645 1.089470043E-10 2.610300782E+00 6.214445476E+03 9.038368050E-05 4.589768647E+00 2.449626689E+03 0.000000000E+00 2.526222586E-04 4.961756188E-01 2.256550706E-04 4.331763778E-05 3.868870995E-01 2.904144417E-01 1.491580016E-04 8.696805641E-04 
L103 33824 300.02 38.645 1.328704680E-10 2.643427055E+00 6.274801334E+03 9.102130635E-05 4.586247281E+00 2.449033302E+03 0.000000000E+00 2.523969583E-04 4.966119938E-01 2.256557719E-04 4.333259073E-05 3.866793719E-01 2.905137879E-01 1.491584652E-04 7.585217301E-04 
L104 33842 300 38.647 1.601465683E-10 2.676549794E+00 6.359441287E+03 9.286927226E-05 4.593794668E+00 2.466802525E+03 0.000000000E+00 2.522257355E-04 4.964721873E-01 2.256821337E-04 4.333442642E-05 3.867594636E-01 2.904921586E-01 1.491758904E-04 1.205179647E-03 
