N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.016543230E+00 1.015009941E+00 1.013854879E+00 1.012936159E+00
1.600000000E+01 1.237513310E+00 1.234095176E+00 1.231363689E+00 1.229684935E+00
1.700000000E+01 1.271177333E+00 1.271084835E+00 1.270913187E+00 1.270665481E+00
1.549996187E+01 1.204563102E+00 1.199589409E+00 1.195885636E+00 1.192669818E+00
1.649996187E+01 1.246760429E+00 1.244809007E+00 1.243434346E+00 1.242717876E+00
1.674996808E+01 1.255238941E+00 1.254354914E+00 1.253693980E+00 1.253188834E+00
1.624993176E+01 1.243030805E+00 1.240160350E+00 1.238115728E+00 1.236785421E+00
1.574996808E+01 1.226743278E+00 1.222988211E+00 1.220059533E+00 1.217765471E+00
1.524993176E+01 1.125718290E+00 1.115718745E+00 1.108098215E+00 1.102518378E+00
