T nFsrh nFBsrh dnsrh nF nFB dn
290 1.149731668E+00 1.161037717E+0 -1.130604900E-02 1.149731668E+00 1.161037717E+0 -1.130604900E-02
295 1.153714902E+00 1.158146042E+0 -4.431140000E-03 1.153714902E+00 1.158146042E+0 -4.431140000E-03
300 1.154365530E+00 1.148694110E+0 5.671420000E-03 1.154365530E+00 1.148694110E+0 5.671420000E-03
305 1.131725866E+00 1.128884692E+0 2.841174000E-03 1.131725866E+00 1.128884692E+0 2.841174000E-03
310 1.112877900E+00 1.098569494E+0 1.430840600E-02 1.112877900E+00 1.098569494E+0 1.430840600E-02
315 1.093791292E+00 1.065105672E+0 2.868562000E-02 1.093791292E+00 1.065105672E+0 2.868562000E-02
320 1.067375215E+00 1.037949146E+0 2.942606900E-02 1.067375215E+00 1.037949146E+0 2.942606900E-02
325 1.011943956E+00 1.020459377E+0 -8.515421000E-03 1.011943956E+00 1.020459377E+0 -8.515421000E-03
330 1.010905287E+00 1.010645196E+0 2.600910000E-04 1.010905287E+00 1.010645196E+0 2.600910000E-04
335 1.010861064E+00 1.005490928E+0 5.370136000E-03 1.010861064E+00 1.005490928E+0 5.370136000E-03
340 1.012864406E+00 1.002847655E+0 1.001675100E-02 1.012864406E+00 1.002847655E+0 1.001675100E-02
