N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.000E+17 290 2.400E-4 1.247108523E+00 1.257677644E+00
1.468000E+10 1.000E+17 290 2.400E-4 1.247961023E+00 1.258776703E+00
2.154000E+10 1.000E+17 290 2.400E-4 1.255410769E+00 1.260223633E+00
3.162000E+10 1.000E+17 290 2.400E-4 1.259528964E+00 1.262027855E+00
4.642000E+10 1.000E+17 290 2.400E-4 1.262458486E+00 1.264238623E+00
6.813000E+10 1.000E+17 290 2.400E-4 1.266457300E+00 1.267122648E+00
1.000000E+11 1.000E+17 290 2.400E-4 1.269440232E+00 1.270292595E+00
1.468000E+11 1.000E+17 290 2.400E-4 1.272982218E+00 1.273658691E+00
2.154000E+11 1.000E+17 290 2.400E-4 1.276182337E+00 1.277318184E+00
3.162000E+11 1.000E+17 290 2.400E-4 1.280356304E+00 1.281248182E+00
4.642000E+11 1.000E+17 290 2.400E-4 1.284519570E+00 1.285447892E+00
6.813000E+11 1.000E+17 290 2.400E-4 1.289114924E+00 1.289956455E+00
1.000000E+12 1.000E+17 290 2.400E-4 1.294046665E+00 1.294772321E+00
1.468000E+12 1.000E+17 290 2.400E-4 1.299379505E+00 1.299957632E+00
2.154000E+12 1.000E+17 290 2.400E-4 1.295241563E+00 1.295743966E+00
3.162000E+12 1.000E+17 290 2.400E-4 1.306487778E+00 1.306923107E+00
4.642000E+12 1.000E+17 290 2.400E-4 1.319488479E+00 1.319870100E+00
6.813000E+12 1.000E+17 290 2.400E-4 1.325997479E+00 1.326323181E+00
1.000000E+13 1.000E+17 290 2.400E-4 1.333286508E+00 1.333563945E+00
