N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.213740917E+00 1.209687648E+00 1.206181199E+00 1.202588313E+00
1.016672606E+01 1.213762348E+00 1.209722361E+00 1.206233623E+00 1.202663293E+00
1.033324570E+01 1.213793705E+00 1.209773081E+00 1.206310058E+00 1.202772388E+00
1.049996187E+01 1.213839515E+00 1.209847005E+00 1.206421182E+00 1.202930473E+00
1.066670514E+01 1.213906318E+00 1.209954441E+00 1.206582015E+00 1.203158200E+00
1.083333839E+01 1.214003454E+00 1.210109853E+00 1.206813330E+00 1.203483562E+00
1.100000000E+01 1.214144077E+00 1.210333264E+00 1.207143050E+00 1.203943051E+00
1.116672606E+01 1.214346435E+00 1.210651490E+00 1.207607286E+00 1.204581661E+00
1.133324570E+01 1.214635123E+00 1.211099088E+00 1.208249876E+00 1.205450335E+00
1.149996187E+01 1.215042116E+00 1.211717968E+00 1.209119550E+00 1.206599622E+00
1.166670514E+01 1.215606767E+00 1.212554755E+00 1.210263478E+00 1.208069165E+00
1.183333839E+01 1.216374029E+00 1.213654955E+00 1.211717553E+00 1.209876063E+00
1.200000000E+01 1.217390031E+00 1.215054688E+00 1.213496667E+00 1.212007247E+00
1.216672606E+01 1.218695540E+00 1.216772717E+00 1.215589783E+00 1.214421265E+00
1.233324570E+01 1.220319173E+00 1.218806526E+00 1.217962860E+00 1.217058840E+00
1.249996187E+01 1.222272924E+00 1.221134243E+00 1.220567974E+00 1.219857202E+00
1.266670514E+01 1.224551103E+00 1.223720559E+00 1.223354497E+00 1.222764086E+00
1.283333839E+01 1.227131935E+00 1.226524727E+00 1.226280612E+00 1.225748861E+00
1.300000000E+01 1.229981907E+00 1.229510217E+00 1.229322847E+00 1.228807441E+00
