N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.183972697E+00 1.179302138E+00 1.174689626E+00 1.170085387E+00
1.600000000E+01 1.215932059E+00 1.213077615E+00 1.210729433E+00 1.208316124E+00
1.700000000E+01 1.212996271E+00 1.208150833E+00 1.203774110E+00 1.200380306E+00
1.549996187E+01 1.206068863E+00 1.203647353E+00 1.201484843E+00 1.199179825E+00
1.649996187E+01 1.212062444E+00 1.208010167E+00 1.204758590E+00 1.201681656E+00
1.674996808E+01 1.210790425E+00 1.206392794E+00 1.202326429E+00 1.199037626E+00
1.624993176E+01 1.215231620E+00 1.211936237E+00 1.209208244E+00 1.206504783E+00
1.574996808E+01 1.211700680E+00 1.209200950E+00 1.207087491E+00 1.204688952E+00
1.524993176E+01 1.200731166E+00 1.197928195E+00 1.195258538E+00 1.192666202E+00
