x N
1.5093361E+0 1.2860316E+21
1.4967812E+0 1.2807993E+21
1.4840162E+0 1.2079395E+21
1.4696909E+0 1.1724784E+21
1.4558540E+0 1.2016444E+21
1.4419457E+0 1.1722694E+21
1.4271309E+0 1.2128884E+21
1.4139209E+0 1.2524231E+21
1.3997122E+0 1.2172684E+21
1.3854333E+0 1.2169207E+21
1.3709210E+0 1.1965592E+21
1.3558386E+0 1.2024904E+21
1.3411553E+0 1.2272206E+21
1.3263477E+0 1.2168251E+21
1.3110765E+0 1.2249479E+21
1.2961293E+0 1.2106853E+21
1.2801332E+0 1.1689433E+21
1.2636880E+0 1.2023963E+21
1.2482017E+0 1.2259897E+21
1.2319609E+0 1.2007485E+21
1.2153861E+0 1.2072869E+21
1.1988834E+0 1.1941058E+21
1.1814693E+0 1.1784609E+21
1.1640225E+0 1.1996966E+21
1.1467147E+0 1.1906314E+21
1.1284579E+0 1.1906425E+21
1.1105964E+0 1.2003130E+21
1.0920366E+0 1.1778215E+21
1.0728498E+0 1.1880172E+21
1.0539608E+0 1.1774692E+21
1.0337138E+0 1.1707712E+21
1.0138636E+0 1.1648197E+21
9.9258572E-1 1.1368797E+21
