N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -1.514156010E-01 -1.576791540E-01 -1.597254740E-01 -1.596700890E-01
1.600000000E+01 3.049785600E-02 3.039628700E-02 2.986576200E-02 2.954583100E-02
1.700000000E+01 6.029222800E-02 5.868188100E-02 5.630766800E-02 5.622409800E-02
1.549996187E+01 7.354911000E-03 5.675879000E-03 6.172096000E-03 6.533683000E-03
1.649996187E+01 5.116786400E-02 5.120254400E-02 5.049634900E-02 4.993147500E-02
1.674996808E+01 5.960105100E-02 5.703466400E-02 5.659833400E-02 5.599672800E-02
1.624993176E+01 4.052913500E-02 4.038636100E-02 4.014221500E-02 3.984580500E-02
1.574996808E+01 2.225360400E-02 2.167152500E-02 2.132097700E-02 2.197815300E-02
1.524993176E+01 -3.617358100E-02 -3.881959300E-02 -3.945144400E-02 -3.908330800E-02
