N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 3.162E+16 320 1.800E-4 1.257943677E+00 1.289023244E+00
1.468000E+10 3.162E+16 320 1.800E-4 1.266294008E+00 1.289089778E+00
2.154000E+10 3.162E+16 320 1.800E-4 1.272580411E+00 1.289186736E+00
3.162000E+10 3.162E+16 320 1.800E-4 1.277319164E+00 1.289327578E+00
4.642000E+10 3.162E+16 320 1.800E-4 1.280916856E+00 1.289531249E+00
6.813000E+10 3.162E+16 320 1.800E-4 1.283692533E+00 1.289823851E+00
1.000000E+11 3.162E+16 320 1.800E-4 1.285905229E+00 1.290240377E+00
1.468000E+11 3.162E+16 320 1.800E-4 1.287774073E+00 1.290825863E+00
2.154000E+11 3.162E+16 320 1.800E-4 1.289489302E+00 1.291635072E+00
3.162000E+11 3.162E+16 320 1.800E-4 1.291216310E+00 1.292729404E+00
4.642000E+11 3.162E+16 320 1.800E-4 1.293094715E+00 1.294170218E+00
6.813000E+11 3.162E+16 320 1.800E-4 1.295234793E+00 1.296009240E+00
1.000000E+12 3.162E+16 320 1.800E-4 1.297708260E+00 1.298278280E+00
1.468000E+12 3.162E+16 320 1.800E-4 1.300552948E+00 1.300983801E+00
2.154000E+12 3.162E+16 320 1.800E-4 1.303922937E+00 1.304257755E+00
3.162000E+12 3.162E+16 320 1.800E-4 1.307555950E+00 1.307824002E+00
4.642000E+12 3.162E+16 320 1.800E-4 1.311435773E+00 1.311655756E+00
6.813000E+12 3.162E+16 320 1.800E-4 1.315506924E+00 1.315690451E+00
1.000000E+13 3.162E+16 320 1.800E-4 1.319919877E+00 1.320073938E+00
