Time mark : 46171
4.62020E+4 3.39578E+2 4.62020E+4 1.29900E-4
4.62220E+4 3.39556E+2 4.62220E+4 1.30600E-4
4.62410E+4 3.39567E+2 4.62410E+4 1.31200E-4
4.62600E+4 3.39588E+2 4.62600E+4 1.31500E-4
4.62790E+4 3.39653E+2 4.62790E+4 1.31800E-4
4.62980E+4 3.39685E+2 4.62980E+4 1.32500E-4
4.63170E+4 3.39739E+2 4.63170E+4 1.33000E-4
4.63360E+4 3.39792E+2 4.63360E+4 1.33500E-4
4.63550E+4 3.39835E+2 4.63550E+4 1.34300E-4
4.63740E+4 3.39889E+2 4.63740E+4 1.34900E-4
4.63930E+4 3.39921E+2 4.63930E+4 1.35600E-4
4.64120E+4 3.39953E+2 4.64120E+4 1.35900E-4
4.64310E+4 3.39985E+2 4.64310E+4 1.36200E-4
4.64500E+4 3.40007E+2 4.64500E+4 1.36700E-4
4.64690E+4 3.40028E+2 4.64690E+4 1.37300E-4
4.64880E+4 3.40039E+2 4.64880E+4 1.37900E-4
4.65070E+4 3.40050E+2 4.65070E+4 1.38500E-4
4.65260E+4 3.40050E+2 4.65260E+4 1.39100E-4
4.65450E+4 3.40060E+2 4.65450E+4 1.39600E-4
4.65640E+4 3.40050E+2 4.65640E+4 1.39700E-4
4.65830E+4 3.40050E+2 4.65830E+4 1.40100E-4
4.66020E+4 3.40050E+2 4.66020E+4 1.40700E-4
4.66210E+4 3.40039E+2 4.66210E+4 1.41400E-4
4.66400E+4 3.40039E+2 4.66400E+4 1.41900E-4
4.66590E+4 3.40028E+2 4.66590E+4 1.42500E-4
4.66780E+4 3.40028E+2 4.66780E+4 1.42900E-4
4.66970E+4 3.40017E+2 4.66970E+4 1.43200E-4
4.67160E+4 3.40017E+2 4.67160E+4 1.43400E-4
4.67350E+4 3.40017E+2 4.67350E+4 1.43800E-4
4.67540E+4 3.40017E+2 4.67540E+4 1.44300E-4
4.67730E+4 3.40007E+2 4.67730E+4 1.44900E-4
4.67920E+4 3.40007E+2 4.67920E+4 1.45500E-4
4.68110E+4 3.40007E+2 4.68110E+4 1.46000E-4
4.68300E+4 3.40007E+2 4.68300E+4 1.46100E-4
4.68490E+4 3.40007E+2 4.68490E+4 1.46200E-4
4.68680E+4 3.40007E+2 4.68680E+4 1.46700E-4
4.68870E+4 3.40007E+2 4.68900E+4 1.47200E-4
4.69060E+4 3.40007E+2 4.69060E+4 1.47600E-4
4.69250E+4 3.40007E+2 4.69250E+4 1.48100E-4
4.69440E+4 3.40007E+2 4.69440E+4 1.48600E-4
4.69630E+4 3.40007E+2 4.69630E+4 1.48900E-4
4.69820E+4 3.40007E+2 4.69820E+4 1.48800E-4
4.70010E+4 3.40007E+2 4.70010E+4 1.49200E-4
4.70200E+4 3.40007E+2 4.70200E+4 1.49700E-4
4.70390E+4 3.40007E+2 4.70390E+4 1.50200E-4
4.70580E+4 3.40007E+2 4.70580E+4 1.50400E-4
4.70770E+4 3.40007E+2 4.70770E+4 1.51000E-4
4.70960E+4 3.40007E+2 4.70960E+4 1.51200E-4
4.71150E+4 3.40007E+2 4.71150E+4 1.51200E-4
4.71340E+4 3.40007E+2 4.71340E+4 1.51400E-4
4.71530E+4 3.40007E+2 4.71530E+4 1.51900E-4
4.71720E+4 3.40007E+2 4.71720E+4 1.52300E-4
4.71910E+4 3.40007E+2 4.71910E+4 1.52500E-4
4.72100E+4 3.40007E+2 4.72100E+4 1.52900E-4
