Time mark : 50014
5.00520E+4 3.39385E+2 5.00520E+4 1.24700E-4
5.00710E+4 3.39277E+2 5.00710E+4 1.25000E-4
5.00900E+4 3.39342E+2 5.00900E+4 1.25300E-4
5.01090E+4 3.39438E+2 5.01090E+4 1.25900E-4
5.01280E+4 3.39546E+2 5.01280E+4 1.26500E-4
5.01470E+4 3.39653E+2 5.01470E+4 1.27000E-4
5.01660E+4 3.39749E+2 5.01660E+4 1.27200E-4
5.01850E+4 3.39835E+2 5.01850E+4 1.27600E-4
5.02040E+4 3.39910E+2 5.02040E+4 1.28200E-4
5.02230E+4 3.39975E+2 5.02230E+4 1.28800E-4
5.02420E+4 3.40017E+2 5.02420E+4 1.29400E-4
5.02610E+4 3.40050E+2 5.02610E+4 1.30000E-4
5.02800E+4 3.40060E+2 5.02800E+4 1.30600E-4
5.02990E+4 3.40071E+2 5.02990E+4 1.31000E-4
5.03180E+4 3.40071E+2 5.03180E+4 1.31700E-4
5.03370E+4 3.40060E+2 5.03370E+4 1.31800E-4
5.03560E+4 3.40050E+2 5.03560E+4 1.32300E-4
5.03750E+4 3.40039E+2 5.03750E+4 1.33000E-4
5.03940E+4 3.40028E+2 5.03940E+4 1.33500E-4
5.04130E+4 3.40017E+2 5.04130E+4 1.34000E-4
5.04320E+4 3.40007E+2 5.04320E+4 1.34600E-4
5.04510E+4 3.40007E+2 5.04510E+4 1.35000E-4
5.04700E+4 3.39996E+2 5.04700E+4 1.35800E-4
5.04890E+4 3.39996E+2 5.04890E+4 1.36000E-4
5.05080E+4 3.39985E+2 5.05080E+4 1.36400E-4
5.05270E+4 3.39985E+2 5.05270E+4 1.36700E-4
5.05460E+4 3.39985E+2 5.05460E+4 1.37200E-4
5.05650E+4 3.39985E+2 5.05650E+4 1.37700E-4
5.05840E+4 3.39985E+2 5.05840E+4 1.38200E-4
5.06030E+4 3.39985E+2 5.06030E+4 1.38900E-4
5.06220E+4 3.39985E+2 5.06220E+4 1.39400E-4
5.06410E+4 3.39985E+2 5.06410E+4 1.40000E-4
5.06600E+4 3.39985E+2 5.06600E+4 1.40300E-4
5.06790E+4 3.39985E+2 5.06790E+4 1.40400E-4
5.06980E+4 3.39985E+2 5.06980E+4 1.41200E-4
5.07170E+4 3.39985E+2 5.07170E+4 1.41500E-4
5.07360E+4 3.39985E+2 5.07360E+4 1.42100E-4
5.07550E+4 3.39985E+2 5.07550E+4 1.42500E-4
5.07740E+4 3.39985E+2 5.07740E+4 1.43100E-4
5.07930E+4 3.39996E+2 5.07930E+4 1.43600E-4
5.08120E+4 3.39985E+2 5.08120E+4 1.43900E-4
5.08310E+4 3.39996E+2 5.08310E+4 1.43900E-4
5.08500E+4 3.39996E+2 5.08500E+4 1.44300E-4
5.08690E+4 3.39985E+2 5.08690E+4 1.45100E-4
5.08880E+4 3.39985E+2 5.08880E+4 1.45300E-4
5.09070E+4 3.39985E+2 5.09070E+4 1.45900E-4
5.09260E+4 3.39985E+2 5.09260E+4 1.46500E-4
5.09450E+4 3.39985E+2 5.09450E+4 1.46800E-4
5.09640E+4 3.39985E+2 5.09640E+4 1.46700E-4
5.09830E+4 3.39996E+2 5.09830E+4 1.47100E-4
5.10020E+4 3.39996E+2 5.10020E+4 1.47500E-4
5.10210E+4 3.39996E+2 5.10210E+4 1.47900E-4
5.10400E+4 3.39985E+2 5.10400E+4 1.48500E-4
5.10590E+4 3.39996E+2 5.10590E+4 1.49000E-4
5.10780E+4 3.39985E+2 5.10780E+4 1.49300E-4
5.10970E+4 3.39985E+2 5.10970E+4 1.49400E-4
5.11160E+4 3.39985E+2 5.11160E+4 1.49600E-4
5.11350E+4 3.39996E+2 5.11350E+4 1.50000E-4
5.11540E+4 3.39996E+2 5.11540E+4 1.50400E-4
5.11730E+4 3.39996E+2 5.11730E+4 1.50600E-4
5.11920E+4 3.39996E+2 5.11920E+4 1.51200E-4
5.12110E+4 3.39996E+2 5.12120E+4 1.51600E-4
5.12300E+4 3.39996E+2 5.12300E+4 1.51600E-4
5.12490E+4 3.39996E+2 5.12490E+4 1.51600E-4
5.12680E+4 3.39996E+2 5.12680E+4 1.51900E-4
5.12870E+4 3.39985E+2 5.12870E+4 1.52400E-4
5.13060E+4 3.39985E+2 5.13060E+4 1.52800E-4
5.13250E+4 3.39985E+2 5.13250E+4 1.53100E-4
5.13440E+4 3.39996E+2 5.13440E+4 1.53600E-4
5.13630E+4 3.39985E+2 5.13630E+4 1.53500E-4
5.13820E+4 3.39985E+2 5.13820E+4 1.53600E-4
5.14010E+4 3.39985E+2 5.14010E+4 1.53900E-4
5.14200E+4 3.39985E+2 5.14200E+4 1.54300E-4
