Time mark : 41434
4.14600E+4 3.39878E+2 4.14600E+4 1.50500E-4
4.14790E+4 3.39857E+2 4.14800E+4 1.50500E-4
4.14980E+4 3.39867E+2 4.14990E+4 1.50700E-4
4.15170E+4 3.39878E+2 4.15180E+4 1.51000E-4
4.15360E+4 3.39889E+2 4.15370E+4 1.51400E-4
4.15550E+4 3.39910E+2 4.15560E+4 1.51400E-4
4.15740E+4 3.39932E+2 4.15750E+4 1.51500E-4
4.15930E+4 3.39953E+2 4.15930E+4 1.51200E-4
4.16120E+4 3.39975E+2 4.16130E+4 1.51700E-4
4.16310E+4 3.39985E+2 4.16320E+4 1.51800E-4
4.16500E+4 3.39996E+2 4.16510E+4 1.52300E-4
4.16690E+4 3.40007E+2 4.16700E+4 1.52600E-4
4.16880E+4 3.40028E+2 4.16890E+4 1.52800E-4
4.17070E+4 3.40028E+2 4.17080E+4 1.52800E-4
4.17260E+4 3.40028E+2 4.17260E+4 1.52500E-4
4.17450E+4 3.40039E+2 4.17460E+4 1.52900E-4
4.17640E+4 3.40039E+2 4.17650E+4 1.53000E-4
4.17830E+4 3.40050E+2 4.17830E+4 1.53300E-4
4.18020E+4 3.40050E+2 4.18020E+4 1.53500E-4
4.18210E+4 3.40050E+2 4.18210E+4 1.53900E-4
4.18400E+4 3.40050E+2 4.18410E+4 1.53800E-4
4.18590E+4 3.40039E+2 4.18600E+4 1.53800E-4
4.18780E+4 3.40039E+2 4.18790E+4 1.53900E-4
4.18970E+4 3.40039E+2 4.18980E+4 1.54200E-4
4.19160E+4 3.40039E+2 4.19170E+4 1.54300E-4
4.19350E+4 3.40039E+2 4.19360E+4 1.54600E-4
4.19540E+4 3.40028E+2 4.19550E+4 1.54800E-4
4.19730E+4 3.40028E+2 4.19740E+4 1.54600E-4
4.19920E+4 3.40028E+2 4.19930E+4 1.54700E-4
4.20110E+4 3.40017E+2 4.20120E+4 1.54700E-4
4.20300E+4 3.40028E+2 4.20310E+4 1.55000E-4
4.20490E+4 3.40017E+2 4.20500E+4 1.55300E-4
4.20680E+4 3.40017E+2 4.20690E+4 1.55500E-4
4.20870E+4 3.40017E+2 4.20880E+4 1.55500E-4
4.21060E+4 3.40017E+2 4.21070E+4 1.55300E-4
4.21250E+4 3.40017E+2 4.21260E+4 1.55300E-4
4.21440E+4 3.40017E+2 4.21440E+4 1.55600E-4
4.21630E+4 3.40017E+2 4.21640E+4 1.55600E-4
4.21820E+4 3.40017E+2 4.21830E+4 1.56000E-4
4.22010E+4 3.40017E+2 4.22020E+4 1.56200E-4
4.22200E+4 3.40017E+2 4.22210E+4 1.56200E-4
4.22390E+4 3.40017E+2 4.22400E+4 1.55800E-4
4.22580E+4 3.40017E+2 4.22590E+4 1.56000E-4
4.22770E+4 3.40017E+2 4.22780E+4 1.56100E-4
4.22960E+4 3.40017E+2 4.22970E+4 1.56300E-4
4.23150E+4 3.40017E+2 4.23160E+4 1.56500E-4
4.23340E+4 3.40017E+2 4.23350E+4 1.56700E-4
4.23530E+4 3.40028E+2 4.23540E+4 1.56400E-4
